,https://roic.ai/company/GMAB,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,68326000,4101000,98505000,135547000,529537000,745113000,586076000,582077000,350936000,484636000,663570000,850385000,1133041000,1816122000,2365436000,3025137000,5366000000,10111000000,8482000000
2,COGS,- -,- -,- -,- -,- -,- -,48812000,- -,582512000,532507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,696301000,- -,-435000,-181571000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9345,- -,-0.0007,-0.5174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,396234000,345983000,373330000,304103000,359953000,618503000,1422770000,935361000,- -,- -,536702000,527576000,505679000,487656000,660876000,874278000,1431159000,2386000000,3137000000,4181000000
6,General and Administrative Exp.,86847000,64552000,72044000,38040000,37113000,38593000,143529000,148749000,160254000,67851000,64613000,66741000,79529000,91224000,102413000,146987000,213695000,342000000,661000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",86847000,64552000,72044000,38040000,37113000,38593000,143529000,148749000,160254000,67851000,64613000,66741000,79529000,91224000,102413000,146987000,213695000,342000000,661000000,1283000000
9,Other Expenses,-42907000,- -,-882546000,184286000,210695000,309574000,-221182000,- -,- -,- -,- -,- -,- -,-176218000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,440174000,410535000,-437172000,526429000,607761000,966670000,1345117000,1084110000,160254000,67851000,601315000,594317000,585208000,402662000,763289000,1021265000,1644854000,2728000000,3798000000,5464000000
11,COGS and Expenses,440174000,410535000,-437172000,526429000,607761000,966670000,1393929000,1084110000,742766000,600358000,601315000,594317000,585208000,402662000,763289000,1021265000,1644854000,2728000000,3798000000,5464000000
12,Interest Income ,53389000,68678000,42520000,34775000,46249000,155113000,126674000,181099000,1402000,3494000,17827000,28613000,38331000,37263000,32583000,41426000,62922000,348000000,184000000,197000000
13,Interest Expense (Gain),100374000,83707000,68581000,1353000,1033000,1149000,- -,25054000,39648000,43088000,2722000,3326000,4054000,118000,213000,2802000,417000,14000000,10000000,13000000
