,https://roic.ai/company/WINT,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,- -,- -,- -,180000,740000,1110000,1780000,1040000,1210000,130000,- -,- -,4600000,- -,- -,580000,200000,390000,2835000,987000,2042000,1485000,1788000,198000,- -,- -
2,COGS,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1650000,520000,- -,929000,- -,- -,- -,- -,- -,- -
3,Gross Profit,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1450000,-130000,- -,58000,2042000,- -,- -,- -,- -,- -
4,Gross Profit Ratio,5.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7.2500,-0.3333,- -,0.0588,1.0000,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,1180000,8040000,13280000,2870000,7360000,8010000,14350000,19750000,25790000,40920000,23720000,26200000,26570000,19080000,15930000,16090000,17710000,27660000,26690000,28888000,31705000,17376000,10562000,12687000,15373000,17787000
6,General and Administrative Exp.,- -,1260000,1840000,2790000,2420000,5280000,5070000,5460000,5720000,13320000,18510000,18390000,13750000,16430000,10120000,8390000,7860000,17810000,16720000,16732000,11004000,8373000,6657000,7421000,12404000,14944000,14473000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2500000,1300000,1800000,2800000,2421000,5283000,5067000,5458000,5722000,13322000,18505000,18386000,13747000,16428000,10120000,8392000,7864000,16444000,16718000,16732000,11004000,8373000,6657000,7421000,12404000,14944000,14473000
9,Other Expenses,400000,-1080000,60000,-8080000,86000,119000,-3000,-3000,- -,3000,-16783000,-4000,- -,-4000,-3000,1206000,1140000,3860000,1000,- -,- -,- -,- -,- -,- -,- -,45020000
