,https://roic.ai/company/MHPC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,17996975,30361067,17454197,22740817,2984992,2839579,2623071,2361828,- -,- -,689788,2000312,3021691,6380515,8362277
2,COGS,14717471,25080121,15294871,19980169,1575192,1549693,1330848,1514507,- -,- -,58731,216155,376957,- -,- -
3,Gross Profit,3279504,5280946,2159326,2760648,1409800,1289886,1292223,847321,- -,- -,631057,1784157,2644734,6380515,- -
4,Gross Profit Ratio,0.1822,0.1739,0.1237,0.1214,0.4723,0.4543,0.4926,0.3588,- -,- -,0.9149,0.8919,0.8752,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1235273,425033,475356,- -,779269,292876,941606,- -,- -,397353,1490753,2026214,2510086,821234
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1235273,425033,475356,- -,779269,292876,941606,- -,- -,397353,1490753,2026214,2510086,821234
9,Other Expenses,5076352,4689394,3195584,2342744,2194319,1509376,1334472,2232667,- -,- -,162680,534290,786179,-876606,1810036
10,Operating Expenses,5076352,5924667,3620617,2818100,2194319,2288645,1627348,3174273,- -,- -,560033,2025043,2812393,1633480,2631270
11,COGS and Expenses,19793823,31004788,18915488,22798269,3769511,3838338,2958196,4688780,- -,- -,618764,2241198,3189350,1633480,- -
12,Interest Income ,- -,- -,- -,- -,36451,126105,50129,525,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1563858,1261567,764221,790235,288269,197131,130709,162245,- -,- -,251798,1001455,1312469,1961843,2243876
14,Depreciation and Amortization,748317,- -,- -,- -,- -,- -,451017,613806,- -,- -,162680,534290,738789,133190,230173
15,EBITDA,-5451614,-2126161,-4477560,432670,2590565,-972114,-115314,-1712621,- -,- -,-91609,247638,18858,1943319,915097
16,EBITDA ratio,-0.3029,-0.0700,-0.2565,0.0190,0.8679,-0.3423,-0.0440,-0.7251,- -,- -,-0.1328,0.1238,0.0062,0.3046,0.1094
17,Operating Income,-1796848,-2143721,-4268291,-57452,-784519,-998759,-335125,-2326952,- -,- -,71024,-240886,-167659,-151714,- -
18,Operating Income ratio,-0.0998,-0.0706,-0.2445,-0.0025,-0.2628,-0.3517,-0.1278,-0.9852,- -,- -,0.1030,-0.1204,-0.0555,-0.0238,- -
19,Total Other Income Expenses (Gains),-8563858,-1261567,-948071,-300113,-373962,-170486,-361915,-161720,- -,- -,-556357,-1001455,-1864741,- -,- -
20,Income Before Tax,-10360706,-3405288,-5216362,-357565,-1158481,-1169245,-697040,-2488672,- -,- -,-485333,-1242341,-2032400,-151714,-1558952
21,Income Before Tax Ratio,-0.5757,-0.1122,-0.2989,-0.0157,-0.3881,-0.4118,-0.2657,-1.0537,- -,- -,-0.7036,-0.6211,-0.6726,-0.0238,-0.1864
22,Income Tax expense (Gain),-3522195,314400,-1450856,-139700,-390400,-398200,791700,-496700,- -,- -,- -,8286,6347,- -,1714863
23,Net Income,-4241594,-3702128,-3790925,-217865,2692696,-771045,-1488740,-1991972,- -,- -,-506087,-1296393,-2038747,-151714,-3273815
24,Net Income ratio,-0.2357,-0.1219,-0.2172,-0.0096,0.9021,-0.2715,-0.5676,-0.8434,- -,- -,-0.7337,-0.6481,-0.6747,-0.0238,-0.3915
25,EPS,-102.00,-84.00,-85.80,-4.80,60.60,-17.40,-33.60,-2.40,- -,- -,-0.10,-0.13,-0.19,-0.19,-0.25
26,EPS Diluted,-102.00,-84.00,-85.80,-4.80,60.60,-17.42,-33.60,-2.40,- -,- -,-0.10,-0.13,-0.19,-0.19,-0.25
27,Weighted Average Shares Outstanding,41972,43851,44262,44262,44262,44262,44262,852255,- -,- -,5175180,10100747,12624171,12896448,12896448
28,Weighted Average Shares Outstanding Diluted,41972,43851,44262,44262,44262,44262,44262,852255,- -,- -,5175180,10100747,12624171,12896448,12896448
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1277998/000110465908023043/0001104659-08-023043-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000110465909021714/0001104659-09-021714-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000107997410000191/0001079974-10-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000107997411000262/0001079974-11-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448812001315/0001354488-12-001315-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448813001350/0001354488-13-001350-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448814001387/0001354488-14-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448815001369/0001354488-15-001369-index.htm,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1277998/000165495419003817/0001654954-19-003817-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390020009162/0001213900-20-009162-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390021019353/0001213900-21-019353-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390022016309/0001213900-22-016309-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,238395,203200,142703,142236,758940,512835,875540,80025,- -,- -,355935,458271,4146411,1988857,2106329
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71684591
33,Cash and Short-Term Investments,238395,203200,142703,142236,758940,512835,875540,80025,- -,- -,355935,458271,4146411,1988857,73790920
34,Net Receivables,2970842,3392730,2948159,4532676,1683020,1112197,286893,270132,- -,- -,46400,12987,31881,46952,175955
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7873371,1625046,1745962,148010,53434,77315,54252,49586,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,11082608,5220976,4836824,4822922,2495394,1702347,1216685,399743,- -,- -,402335,471258,4178292,2035809,73966875
38,PP&E,- -,14285115,14425950,14560532,14820142,14928690,14939989,17051781,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,4936313,3436313,1536313,1536313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,4936313,3436313,1536313,1536313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,1611742,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,451400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,15682837,-8157056,-7797176,-8355025,-7615135,-8772769,-9888310,-10490444,- -,- -,12396605,12122063,33973839,- -,- -
45,Total Non-Current Assets,21070550,11176114,8165087,7741820,7205007,6155921,5051679,6561337,- -,- -,12396605,12122063,33973839,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40360943,- -
47,Total Assets,32153158,16397090,13001911,12564742,9700401,7858268,6268364,6961080,- -,- -,12798940,12593321,38152131,42396752,70047780
48,Accounts Payable,2491527,2818488,2436846,3723754,744180,723513,549896,931088,- -,- -,35726,71091,227406,236992,477484
49,Short-Term Debt,3347205,328555,6909178,5616670,3209780,2573504,1875032,2052040,- -,- -,- -,- -,797906,31216738,48891483
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,5877763,1603467,1607688,1284067,1618424,1618374,1488981,1792868,- -,- -,136360,612819,-246425,- -,- -
53,Total Current Liabilities,11716495,4750510,10953712,10624491,5572384,4915391,3913909,4775996,- -,- -,172086,683910,778887,31453730,49368967
54,Long-Term Debt,12976514,6884155,408179,337378,244189,194324,- -,- -,- -,- -,12402079,12731292,30887153,3214916,150000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1193400,1486900,1513847,1559500,907000,508800,1300500,803800,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,175990,305370,333670,364740,398710,435840,479165,- -,- -,88337,131149,316035,- -,14855173
58,Total Non-Current Liabilities,14169914,8547045,2227396,2230548,1515929,1101834,1736340,1282965,- -,- -,12490416,12862441,31203188,3214916,15005173
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7006426,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,25886409,13297555,13181108,12855039,7088313,6017225,5650249,6058961,- -,- -,12662502,13546351,31982075,35245240,64374140
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8882610,12073576,- -
63,Common Stock,25394,26556,26557,26557,26557,26557,26557,518082,- -,- -,100000,103500,123361,124016,124037
64,Retained Earnings,-5825688,-9527816,-12783790,-13001655,-10308959,-11080004,-12568744,-14634392,- -,- -,-504945,-1801338,-3840085,- -,-4672537
65,Other Comprehensive Income/Loss,-7874894,-1332227,-8017822,-8615840,-9107252,-9597881,-9934526,-10536660,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,19941937,13933022,20595858,21300641,22001742,22492371,23094828,25555089,- -,- -,238803,451567,-7878440,-17569862,4548500
67,Total Stockholders Equity,6266749,3099535,-179197,-290297,2612088,1841043,618115,902119,- -,- -,-166142,-1246271,-2712554,-5372270,5673640
68,Total Liabilities And Stockholders Equity,32153158,16397090,13001911,12564742,9700401,7858268,6268364,6961080,- -,- -,12496360,12300080,29269521,29872970,70047780
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302580,293241,8882610,12523782,- -
70,Total Liabilities & Equity,32153158,16397090,13001911,12564742,9700401,7858268,6268364,6961080,- -,- -,12798940,12593321,38152131,42396752,70047780
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1277998/000110465908023043/0001104659-08-023043-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000110465909021714/0001104659-09-021714-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000107997410000191/0001079974-10-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000107997411000262/0001079974-11-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448812001315/0001354488-12-001315-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448813001350/0001354488-13-001350-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448814001387/0001354488-14-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000135448815001369/0001354488-15-001369-index.htm,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1277998/000165495419003817/0001654954-19-003817-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390020009162/0001213900-20-009162-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390021019353/0001213900-21-019353-index.htm,https://www.sec.gov/Archives/edgar/data/1277998/000121390022016309/0001213900-22-016309-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-4241594,-3702128,-3790925,-217865,2692696,-771045,-1488740,-1991972,- -,- -,-506087,-1296393,-2038747,-151714,-1558952
74,Depreciation and Amortization,748317,- -,- -,- -,- -,- -,451017,613806,- -,- -,162680,534290,738789,133190,230173
75,Deferred Income Tax,-3522195,- -,-1450856,-139700,-390400,-398200,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,664310,50357,11525,- -,- -,- -,694369,- -,- -,34598,171500,349950,32500,- -
77,Change in Working Capital,1253427,1104353,-6587354,315319,2724579,-136054,515820,-1679029,- -,- -,4606502,-442901,3612057,-32817326,54015829
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46400,-26244,-29011,-11715,-129003
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12133,35365,156315,4820,241869
81,Other Working Capital,-633887,470466,-6116888,-5801569,-3076990,-3213044,-2697224,-4376253,- -,- -,230249,-212652,3399405,-29417921,24597908
