,https://roic.ai/company/EMX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,140866,133462,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1750975,3102888,2247334,1609553,2227322,2857927,2131947,1439000,1478000,3742000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4755768,1299583,1950995,1585304,1913445,2389076,2431516,1824282,9290000,9656000,12741000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4755768,451392,1151893,662030,-303892,-161754,426411,307665,-7851000,-8178000,-8999000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,0.2578,0.3712,0.2946,-0.1888,-0.0726,0.1492,0.1443,-5.4559,-5.5332,-2.4049
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1582092,2405698,5942747,9307553,5013634,5355281,3419415,3105850,3736407,9363782,6372000,7166000,9279000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1582092,2405698,5942747,9307553,5013634,5355281,3419415,3105850,3736407,9363782,6372000,7166000,9279000
9,Other Expenses,- -,- -,- -,- -,- -,1667876,2577036,3427390,5077279,6139652,2198077,2606371,1402,8330201,3839703,3988368,4364675,4999959,4471074,5949094,-1978000,-4700000,-4357000
10,Operating Expenses,- -,- -,- -,- -,- -,1667876,2577036,3427390,5077279,6139652,3780169,5012069,5944149,17637754,8853337,9343649,7784090,8105809,8207481,15312876,4394000,2466000,4922000
11,COGS and Expenses,- -,- -,- -,- -,- -,1667876,2577036,3427390,5077279,6139652,3780169,5012069,10699917,18937337,10804332,10928953,9697535,10494885,10638997,17137158,13684000,12122000,17663000
12,Interest Income ,- -,- -,- -,- -,- -,22378,46713,66300,- -,362213,314950,82793,229733,360791,173896,83829,- -,16328,246728,484918,1667000,937000,1256000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,5806,9462,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16328,- -,484918,- -,- -,2922000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,20669,53169,74901,100494,135592,103228,85191,141602,203121,262557,187714,150782,136200,39344,11736,21000,63000,3131000
15,EBITDA,-58702,51408,-52199,- -,- -,-1365996,-2472718,-3306477,-17320756,-5348340,-4145958,-4875620,-10843656,-20713609,-16113000,-20616798,-10156305,-3970286,-9843942,58930988,-14214000,-3325000,-27251000
16,EBITDA ratio,-0.4167,0.3852,-26099.5000,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.8298,-5.1929,-9.1739,-6.3100,-1.7825,-3.4444,27.6419,-9.8777,-2.2497,-7.2825
17,Operating Income,140866,133462,2,- -,- -,-1667876,-2577036,-3427390,-5138029,-6139652,-3780169,-5012069,-10699917,-17186362,-7701444,-8681619,-8087982,-8267563,-7781070,-9780927,-10578000,-9623000,-12586000
18,Operating Income ratio,1.0000,1.0000,1.0000,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.8153,-2.4820,-3.8631,-5.0250,-3.7119,-2.7226,-4.5878,-7.3509,-6.5108,-3.3634
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-281211,-51149,-46012,12261126,-663280,469017,31535,515074,-3730368,-8674113,-12122893,-2219105,4144749,-2102216,68215261,-3657000,6235000,-20718000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4980534,-10184843,-20916730,-16375557,-20804512,-10307087,-4122814,-9883286,58434334,-14235000,-3388000,-33304000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-11.9458,-5.2775,-9.2574,-6.4037,-1.8510,-3.4582,27.4089,-9.8923,-2.2923,-8.9001
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270940,-643315,-14677,-2392945,-3356471,-3431230,-1439332,-2489902,-3683267,-415000,2619000,-3555000
23,Net Income,-58702,51408,-52199,-60951,-78867,-1932515,-2590934,-3407102,7430968,-6440719,-2996202,-4710114,-9541528,-20902053,-13982612,-17448041,-6875857,-2683482,-7393384,62117601,-13820000,-6007000,-29749000
24,Net Income ratio,-0.4167,0.3852,-26099.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.9374,-4.5063,-7.7639,-4.2719,-1.2048,-2.5870,29.1366,-9.6039,-4.0643,-7.9500
25,EPS,-0.08,-0.04,-0.04,-0.06,-0.06,-0.20,-0.14,-0.16,0.32,-0.26,-0.11,-0.16,-0.24,-0.35,-0.19,-0.24,-0.09,-0.04,-0.09,0.78,-0.17,-0.07,-0.33
26,EPS Diluted,-0.08,-0.04,-0.04,-0.06,-0.06,-0.20,-0.14,-0.16,0.32,-0.26,-0.11,-0.16,-0.24,-0.35,-0.19,-0.24,-0.09,-0.04,-0.09,0.77,-0.17,-0.07,-0.33
27,Weighted Average Shares Outstanding,1052500,1150000,1150000,1150000,1171233,9861337,18052114,20651691,22994971,24994120,28243158,29331005,40055905,59990386,72509793,73154139,73480833,73874415,78002082,79979320,81801575,83680193,89134708
28,Weighted Average Shares Outstanding Diluted,1052500,1150000,1150000,1150000,1171233,9861337,18052114,20651691,23555840,24994120,28243158,29331005,40055905,59990386,72509793,73154139,73480833,73874415,78002082,80653474,81801575,83680193,89134708
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285786/000106299314001849/0001062993-14-001849-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299315002279/form20f.htm,https://www.sec.gov/Archives/edgar/data/1285786/000106299316008694/0001062993-16-008694-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299317001612/0001062993-17-001612-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299318001493/form20f.htm,https://www.sec.gov/Archives/edgar/data/1285786/000106299319001504/0001062993-19-001504-index.html,https://www.sec.gov/Archives/edgar/data/1285786/000106299320001575/0001062993-20-001575-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,3485314,3240699,3662480,11342389,9355139,8799950,11095799,48370004,21699983,12683069,6450308,5634601,3199686,3533611,86175331,68994000,52418000,25218000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2875968,353501,1585022,1229085,743786,235106,262756,1139447,1536036,5494000,16755000,15391000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,3485314,3240699,3662480,11342389,9355139,8799950,13971767,48723505,23285005,13912154,7194094,5869707,3462442,4673058,87711367,74488000,69173000,40609000
34,Net Receivables,- -,- -,- -,- -,- -,96587,256783,360363,308131,587017,1913064,570836,577737,1032058,1576535,838837,686465,3430006,3376411,7506316,2353000,3376000,11985000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71721,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,89981,58149,80545,126510,217007,150996,377180,204491,113256,52209,32344,28496,45194,32123,2069000,1629000,3901000
37,Total Current Assets,- -,- -,- -,- -,- -,3581901,3587463,4080992,11731065,10068666,10930021,14693599,49750143,24521554,15601945,8085140,6588516,6920944,8094663,95249806,78910000,74178000,56495000
38,PP&E,- -,- -,- -,- -,- -,403321,606135,1133169,1292613,1417755,1390707,10484502,10008746,45256515,39280507,32459075,31794980,28447856,24235987,16424843,15678000,19242000,84205000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8970514,9625795,8217542,6501886,4753324,1820307,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38738592,35063725,29327960,28798980,25831152,21943743,14346403,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8970514,9625795,8217542,6501886,4753324,1820307,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1709551,273583,79121,3002101,4160650,4372261,3527301,5205621,9778188,32738,4613000,8871000,47533000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1604038,2107000,- -,3909000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,64456,179312,488473,967086,1580800,164011,236558,800161,725103,1404323,1158075,2211446,2515810,1821639,1540097,919000,652000,17681000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,467777,785447,1621642,2259699,2998555,3264269,10994643,10888028,57954233,54471275,46206953,44035613,40922611,37656121,19601716,23317000,28765000,153328000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,4049678,4372910,5702634,13990764,13067221,14194290,25688242,60638171,82475787,70073220,54292093,50624129,47843555,45750784,114851522,102227000,102943000,209823000
48,Accounts Payable,- -,- -,- -,- -,- -,284614,132812,218878,589740,423207,- -,- -,- -,978960,395523,267214,663582,577265,749865,- -,- -,- -,2967000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64418000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228085,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40901,734103,429175,137825,341361,808905,615669,2404000,1565000,3423000
52,Other Current Liabilities,- -,- -,- -,- -,- -,26410,42700,- -,- -,410605,1035617,1100905,1602200,798838,254320,291835,- -,- -,- -,5731161,1328000,3618000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,311024,175512,218878,589740,833812,1035617,1100905,1602200,1818699,1383946,988224,801407,918626,1558770,6346830,3732000,5183000,70808000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3131547,2534458,12288419,10710552,8217542,6501886,4753324,1820307,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
