,https://roic.ai/company/OAS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,128927000,330422000,686668000,1141999000,1390228000,789735000,704665000,- -,2321947000,2071744000,1083334000,1579926000
2,COGS,- -,- -,13768000,33865000,336397000,532939000,759834000,727418000,694352000,- -,1591323000,1623255000,843286000,909837000
3,Gross Profit,- -,- -,115159000,296557000,350271000,609060000,630394000,62317000,10313000,- -,730624000,448489000,240048000,670089000
4,Gross Profit Ratio,- -,- -,0.8932,0.8975,0.5101,0.5333,0.4534,0.0789,0.0146,- -,0.3147,0.2165,0.2216,0.4241
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,28488000,29435000,57190000,75310000,92306000,92498000,93008000,- -,121346000,143506000,159518000,80688000
7,Selling and Marketing Exp.,- -,- -,- -,- -,9257000,25924000,29133000,31610000,40366000,- -,107193000,128806000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,66447000,101234000,121439000,124108000,133374000,- -,228539000,272312000,159518000,80688000
9,Other Expenses,- -,- -,14879000,35757000,-63197000,-98974000,-118375000,-121739000,-131589000,- -,-201107000,-265654000,2748000,2760000
10,Operating Expenses,- -,- -,14879000,35757000,3250000,2260000,3064000,2369000,1785000,- -,27432000,6658000,162266000,83448000
11,COGS and Expenses,- -,- -,94967000,174038000,406094000,636433000,884337000,853895000,829511000,- -,1847294000,1902225000,1005552000,993285000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151495000,167391000,176545000,17079000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158304000
15,EBITDA,- -,- -,13267000,126179000,245874000,363017000,814468000,-56371000,-371554000,- -,110356000,6433000,-3780104000,494012000
16,EBITDA ratio,- -,- -,0.1029,0.3819,0.3581,0.3179,0.5859,-0.0714,-0.5273,- -,0.0475,0.0031,-3.4893,0.3127
17,Operating Income,- -,- -,33960000,156384000,280574000,505566000,505891000,-64160000,-124846000,- -,119012000,-90175000,-4872983000,809444000
18,Operating Income ratio,- -,- -,0.2634,0.4733,0.4086,0.4427,0.3639,-0.0812,-0.1772,- -,0.0513,-0.0435,-4.4981,0.5123
19,Total Other Income Expenses (Gains),- -,- -,-20693000,-30205000,-34700000,-142549000,308577000,7789000,-246708000,- -,-144355000,-33187000,836001000,-621457000
20,Income Before Tax,- -,- -,13267000,126179000,245874000,363017000,814468000,-56371000,-371554000,- -,-25343000,-123362000,-4036982000,187987000
21,Income Before Tax Ratio,- -,- -,0.1029,0.3819,0.3581,0.3179,0.5859,-0.0714,-0.5273,- -,-0.0109,-0.0595,-3.7264,0.1190
22,Income Tax expense (Gain),- -,- -,42962000,46789000,92486000,135058000,307591000,-16123000,-128538000,- -,-5843000,-32715000,-266409000,-973000
23,Net Income,- -,- -,-29695000,79390000,153388000,227959000,506877000,-40248000,-243016000,- -,-35296000,-128243000,-3690240000,319602000
24,Net Income ratio,- -,- -,-0.2303,0.2403,0.2234,0.1996,0.3646,-0.0510,-0.3449,- -,-0.0152,-0.0619,-3.4064,0.2023
25,EPS,-0.37,-0.16,-0.61,0.86,1.66,2.45,5.09,-0.31,-1.32,0.53,-1.76,-6.41,-184.60,16.15
26,EPS Diluted,-0.37,-0.16,-0.61,0.86,1.66,2.44,5.05,-0.31,-1.32,0.52,-1.76,-6.41,-184.60,15.48
