,https://roic.ai/company/ZEV,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,3164000,-2759621,21
2,COGS,4233000,- -,26
3,Gross Profit,-1069000,- -,-5
4,Gross Profit Ratio,-0.3379,- -,-0.2525
5,Research and Development Exp.,975000,- -,3
6,General and Administrative Exp.,- -,2759621,- -
7,Selling and Marketing Exp.,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2759621,43
9,Other Expenses,7121000,- -,- -
10,Operating Expenses,8096000,2759621,46
11,COGS and Expenses,12329000,- -,72
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),575000,- -,13
14,Depreciation and Amortization,232000,362000,874
15,EBITDA,-8883000,-2353768,787
16,EBITDA ratio,-2.8075,0.8529,37.4713
17,Operating Income,-9165000,-13759000,-51
18,Operating Income ratio,-2.8966,4.9858,-2.4410
19,Total Other Income Expenses (Gains),-525000,11043232,-50
20,Income Before Tax,-9690000,-2715768,-101
21,Income Before Tax Ratio,-3.0626,0.9841,-4.8004
22,Income Tax expense (Gain),- -,13086,- -
23,Net Income,-9690000,-2728854,-101
24,Net Income ratio,-3.0626,0.9889,-4.8004
25,EPS,-0.17,-0.56,-0.00
26,EPS Diluted,-0.17,-0.56,-0.00
27,Weighted Average Shares Outstanding,73229705,73229705,73229705
28,Weighted Average Shares Outstanding Diluted,73229705,73229705,73229705
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1802749/000156459021017109/0001564590-21-017109-index.htm,https://www.sec.gov/Archives/edgar/data/1802749/000155837022004767/0001558370-22-004767-index.htm
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,1297000,1,169
32,Short-Term Investments,- -,0,- -
33,Cash and Short-Term Investments,1297000,1,169
34,Net Receivables,1106000,0,9
35,Inventory,3987000,- -,15
36,Other Current Assets,2378000,-1,7
37,Total Current Assets,8768000,0,199
38,PP&E,964000,- -,14
39,Goodwill,- -,- -,- -
40,Intangible Assets,- -,- -,- -
41,Intangible Assets,- -,- -,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,46000,- -,0
45,Total Non-Current Assets,1010000,- -,14
46,Other Assets,- -,203,- -
47,Total Assets,9778000,203,213
48,Accounts Payable,1157000,0,6
49,Short-Term Debt,3571000,- -,1
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,224000,- -,- -
52,Other Current Liabilities,1120000,2,7
53,Total Current Liabilities,6072000,2,14
54,Long-Term Debt,3008000,- -,73
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,38310000,8,101
58,Total Non-Current Liabilities,41318000,8,174
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,142000,- -,- -
61,Total Liabilities,47390000,10,188
62,Preferred Stock,- -,- -,- -
63,Common Stock,- -,188,0
64,Retained Earnings,-43164000,- -,-182
65,Other Comprehensive Income/Loss,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,207
67,Total Stockholders Equity,-37612000,5,25
68,Total Liabilities And Stockholders Equity,9778000,15,213
69,Minority Interest,- -,188,- -
70,Total Liabilities & Equity,9778000,203,213
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1802749/000156459021017109/0001564590-21-017109-index.htm,https://www.sec.gov/Archives/edgar/data/1802749/000155837022004767/0001558370-22-004767-index.htm
72,CASH FLOW STATEMENT, , , 
73,Net Income,-9690000,-2728854,-101
74,Depreciation and Amortization,232000,362000,874
75,Deferred Income Tax,- -,- -,- -
76,Stock Based Compensation,172000,275000,2538
77,Change in Working Capital,-4349000,-2696002,187
78,Accounts Receivable,-658000,-3016000,-8399
79,Inventory,-3246000,-1756000,917
80,Accounts Payable,832000,1442000,3578
81,Other Working Capital,2696000,-2,185
82,Other Non-Cash Items,409000,-11438144,-69305
83,Cash Provided by Operating Activities,-13226000,-16226000,-65807
84,CAPEX,-651000,-2013000,-3244
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,- -,- -,55
89,Cash Used for Investing Activites,-651000,-2013000,-3189
90,Debt Repayment,-2038000,-88000,-11500
91,Common Stock Issued,- -,- -,433
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,8400000,17490000,248141
95,Cash Used/Provided by Financing Activities,6362000,17402000,237074
96,Effect of Forex Changes on Cash,- -,- -,- -
97,Net Change In Cash,-7515000,-837000,-291462
98,Cash at the End of Period,1297000,460000,168538
99,Cash at the Beginning of Period,8812000,1297000,460000
100,Free Cash Flow,-13877000,-18239000,-69051
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1802749/000156459021017109/0001564590-21-017109-index.htm,https://www.sec.gov/Archives/edgar/data/1802749/000155837022004767/0001558370-22-004767-index.htm
102,false,,,
