,https://roic.ai/company/HUSN,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,7781690,15821980,25116140,14402330,1366420,618
2,COGS,- -,235150,380070,729750,654980,120,- -
3,Gross Profit,- -,7546540,15441910,24386390,13747350,1366300,618
4,Gross Profit Ratio,- -,0.9698,0.9760,0.9709,0.9545,0.9999,1.0000
5,Research and Development Exp.,- -,- -,- -,92680,3512510,- -,- -
6,General and Administrative Exp.,218730,1724750,1594110,3541240,12240920,1993960,4123108
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,10748
8,"Selling, General and Administrative Exp.",218730,1724750,1594110,3541240,12240920,1993960,4133856
9,Other Expenses,- -,1,-2,1,2,-1,- -
10,Operating Expenses,218730,1724751,1594108,3633921,15753432,1993959,4133856
11,COGS and Expenses,218730,1505070,2275280,4511780,25894220,59935750,4133856
12,Interest Income ,- -,1947266,2795407,4084200,6481224,2192297,365014
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,8613,9979,39314,59907,62358,1179
15,EBITDA,-218730,7491393,16351569,24720814,-5460963,-61926162,-9074174
16,EBITDA ratio,-Infinity,0.9627,1.0335,0.9843,-0.3792,-45.3200,-14683.1294
17,Operating Income,-218730,5821783,13847800,20604358,-2006082,-627665,-4133238
18,Operating Income ratio,-Infinity,0.7481,0.8752,0.8204,-0.1393,-0.4593,-6688.0874
19,Total Other Income Expenses (Gains),- -,1660987,2493790,4077142,-3514778,-61360855,-4942115
20,Income Before Tax,-218730,7482770,16341590,24681500,-5520860,-61988520,-9075353
21,Income Before Tax Ratio,-Infinity,0.9616,1.0328,0.9827,-0.3833,-45.3656,-14685.0372
22,Income Tax expense (Gain),-54480,1870750,2452820,633320,-1702130,7240,- -
23,Net Income,-164250,5612030,13888770,24048180,-3818740,-61995760,-9075353
24,Net Income ratio,-Infinity,0.7212,0.8778,0.9575,-0.2651,-45.3709,-14685.0372
25,EPS,-0.02,2.68,6.64,12.67,-1.87,-30.80,-3.12
26,EPS Diluted,-0.02,2.68,6.64,12.67,-1.87,-30.80,-3.12
27,Weighted Average Shares Outstanding,3733479,2090907,2090907,1898244,2010378,2010378,2911881
28,Weighted Average Shares Outstanding Diluted,3733479,2090907,2090907,1898244,2010378,2010378,2911881
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,4690,455200,1880430,27165260,1578830,13570,3274287
32,Short-Term Investments,- -,- -,- -,- -,837800,- -,- -
33,Cash and Short-Term Investments,4690,455200,1880430,27165260,2416630,13570,3274287
34,Net Receivables,180,29922930,27420410,48512670,62326100,5530420,186905
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,54690,10,312190,306470,41280,17040,9470
37,Total Current Assets,59560,30378140,29613030,75984400,64784010,5561030,3470662
38,PP&E,8120,40230,28780,222140,250890,1500,108467
39,Goodwill,- -,- -,- -,752350,- -,- -,- -
40,Intangible Assets,- -,3690,2770,1428570,3430,1940,806
41,Intangible Assets,- -,3690,2770,2180920,3430,1940,806
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,213510,- -,- -,- -
44,Other Non-Current Assets,236590,222930,208700,602440,1806760,4590,3031
45,Total Non-Current Assets,244710,266850,240250,3219010,2061080,8030,112304
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,304270,30644990,29853280,79203410,66845090,5569060,3582966
48,Accounts Payable,- -,- -,- -,71140,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,1599622,3755872,5680094,798999,986195,1053249
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,469150,2319600,4463940,7802980,1963970,2089070,1823876
53,Total Current Liabilities,469150,2319600,4463940,7874120,1963970,2089070,1823876
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -
