,https://roic.ai/company/CTXRW,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,3066,806,- -,- -,90000,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,3066,806,- -,- -,90000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,1.0000,- -,- -,1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,1797045,2933199,2933199,6562925,8596898,8812810,12240503
6,General and Administrative Exp.,12187,4059,2893,- -,946613,3783941,3783941,6446517,6285480,8094614,11291391
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12187,4059,2893,- -,946613,3783941,3783941,6446517,6285480,8094614,11291391
9,Other Expenses,28950,15559,25225,- -,486271,732151,732151,779701,715983,803261,- -
10,Operating Expenses,41137,19618,28118,- -,3229929,7449291,7449291,13789143,15598361,17710685,23531894
11,COGS and Expenses,41137,19618,28118,- -,3229929,7449291,7449291,13864143,15598361,17710685,23531894
12,Interest Income ,- -,- -,- -,- -,3066,806,- -,- -,52660,68066,261825
13,Interest Expense (Gain),- -,2388,- -,- -,7500,8994,8994,15838,16443,15673,10839
14,Depreciation and Amortization,- -,- -,- -,- -,- -,1343,1343,1753,893,152364,164868
15,EBITDA,-41137,-19618,-28118,- -,-2894768,-8285361,-7447948,-13787390,-15544808,-17396565,-23045284
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,- -,-944.1513,-10279.6042,-Infinity,-Infinity,-172.7201,-Infinity,-Infinity
17,Operating Income,-25637,-19618,-28118,- -,-3229929,-7449291,-9986311,-13789143,-15598361,-17710685,-23531894
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,- -,-1053.4667,-9242.2965,-Infinity,-Infinity,-173.3151,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-16204,-2388,-3251,- -,327661,-846407,1690613,1252505,31160505,162600,477460
20,Income Before Tax,-41841,-22006,-31369,- -,-2902268,-8295698,-8295698,-12536638,15562144,-17548085,-23054434
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,-946.5975,-10292.4293,-Infinity,-Infinity,172.9127,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-41841,-22006,-31369,- -,-2902268,-8295698,-8295698,-12536638,-15562144,-17548085,-23054434
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-946.5975,-10292.4293,-Infinity,-Infinity,-172.9127,-Infinity,-Infinity
25,EPS,-0.00,-0.00,-0.00,- -,-0.09,-0.15,-2.29,-1.17,-0.77,-0.50,-0.66
26,EPS Diluted,-0.00,-0.00,-0.00,- -,-0.09,-0.15,-2.29,-1.17,-0.77,-0.50,-0.66
27,Weighted Average Shares Outstanding,18000000,18000000,18000000,31835440,31835440,54348120,3623208,10731875,20161854,35017739,35017739
28,Weighted Average Shares Outstanding Diluted,18000000,18000000,18000000,31835440,31835440,54348120,3623208,10731875,20161854,35017739,35017739
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1506251/000118518512000067/0001185185-12-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518513000090/0001185185-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518514000261/0001185185-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793214007353/0001477932-14-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793215007617/0001477932-15-007617-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793216014315/0001477932-16-014315-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390017013191/0001213900-17-013191-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390018017214/0001213900-18-017214-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390019026259/0001213900-19-026259-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390020043004/0001213900-20-043004-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390021065464/0001213900-21-065464-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,212,- -,- -,1552060,676137,294351,3204108,9184003,7893804,13859748,70072946
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,212,- -,- -,1552060,676137,294351,3204108,9184003,7893804,13859748,70072946
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,60000,598484,220246,876075,48111,122237,2741404
37,Total Current Assets,212,- -,- -,1552060,736137,892835,3424354,10060078,7941915,13981985,72814350
38,PP&E,- -,- -,- -,- -,- -,3742,3236,1483,590,1577,829851
39,Goodwill,- -,- -,- -,- -,- -,1586796,1586796,1586796,1586796,9346796,9346796
