,https://roic.ai/company/TKLF,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,139573958,221514742
2,COGS,112088049,181559939
3,Gross Profit,27485909,39954803
4,Gross Profit Ratio,0.1969,0.1804
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,16145321,25007496
7,Selling and Marketing Exp.,1328269,3680768
8,"Selling, General and Administrative Exp.",17473590,28688264
9,Other Expenses,- -,- -
10,Operating Expenses,17473590,28688264
11,COGS and Expenses,129561639,210248203
12,Interest Income ,- -,- -
13,Interest Expense (Gain),1888018,1953490
14,Depreciation and Amortization,1474071,1660265
15,EBITDA,10908712,12443404
16,EBITDA ratio,0.0782,0.0562
17,Operating Income,10012319,11266539
18,Operating Income ratio,0.0717,0.0509
19,Total Other Income Expenses (Gains),-2465696,-2436890
20,Income Before Tax,7546623,8829649
21,Income Before Tax Ratio,0.0541,0.0399
22,Income Tax expense (Gain),2655786,3307048
23,Net Income,4890837,5522601
24,Net Income ratio,0.0350,0.0249
25,EPS,0.14,0.15
26,EPS Diluted,0.14,0.15
27,Weighted Average Shares Outstanding,36000054,36000054
28,Weighted Average Shares Outstanding Diluted,36000054,36000054
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,7529219,16380363
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,7529219,16380363
34,Net Receivables,39938776,47815025
35,Inventory,22530864,27122504
36,Other Current Assets,3612993,3926590
37,Total Current Assets,73611852,95244482
38,PP&E,12615464,13452275
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,333357
43,Tax Assets,228024,447124
44,Other Non-Current Assets,6496719,3464617
45,Total Non-Current Assets,19340207,17697373
46,Other Assets,- -,- -
47,Total Assets,92952059,112941855
48,Accounts Payable,4237618,11688488
49,Short-Term Debt,60677967,66716576
50,Tax Payable,1642267,2180764
51,Deferred Revenue,534444,186046
52,Other Current Liabilities,2621005,3043717
53,Total Current Liabilities,68071034,81634827
54,Long-Term Debt,8718132,8782861
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,199229,289730
58,Total Non-Current Liabilities,8917361,9072591
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,4826298,3329313
61,Total Liabilities,76988395,90707418
62,Preferred Stock,- -,- -
63,Common Stock,970023,2416635
64,Retained Earnings,14698699,20221300
65,Other Comprehensive Income/Loss,294942,-403498
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,15963664,22234437
68,Total Liabilities And Stockholders Equity,92952059,112941855
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,92952059,112941855
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,4890837,5522601
74,Depreciation and Amortization,1474071,1660265
75,Deferred Income Tax,-182140,-234362
76,Stock Based Compensation,- -,- -
77,Change in Working Capital,-14256773,-10899231
78,Accounts Receivable,-10906764,-10160567
79,Inventory,-1140268,-5344367
80,Accounts Payable,1068687,7845091
81,Other Working Capital,362812,-350790
82,Other Non-Cash Items,424284,573902
83,Cash Provided by Operating Activities,-7649721,-3376825
84,CAPEX,-3414703,-2939471
85,Acquisitions Net,- -,-348118
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,101946,5067263
89,Cash Used for Investing Activites,-3312757,1779674
90,Debt Repayment,-244782509,-417640952
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,260933389,428696258
95,Cash Used/Provided by Financing Activities,16150880,11055306
96,Effect of Forex Changes on Cash,85150,-607011
97,Net Change In Cash,5273552,8851144
98,Cash at the End of Period,7529219,16380363
99,Cash at the Beginning of Period,2255667,7529219
100,Free Cash Flow,-11064424,-6316296
101,SEC Link,- -,- -
102,false,,
