,https://roic.ai/company/BBWI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2387100000,3142700000,3527900000,4070800000,4647900000,5253500000,6149200000,6944300000,7245100000,7320800000,7881400000,8644800000,9188800000,9346900000,9723334000,10104606000,9363000000,8445000000,8934000000,9408000000,9699000000,10671000000,10134000000,9043000000,8632000000,9613000000,10364000000,10459000000,10773000000,11454000000,12154000000,12574000000,12632000000,13237000000,12914000000,11847000000,7882000000
2,COGS,1588100000,2083400000,2425800000,2713600000,3036600000,3438700000,4133000000,4706600000,5014900000,4938600000,5508000000,5858600000,6057500000,6062900000,6093414000,6396243000,6110000000,5351000000,5683000000,6030000000,6219000000,6658000000,6592000000,6037000000,5604000000,5982000000,6307000000,6073000000,6344000000,6646000000,6950000000,7449000000,7673000000,8338000000,8464000000,7180000000,4027000000
3,Gross Profit,799000000,1059300000,1102100000,1357200000,1611300000,1814800000,2016200000,2237700000,2230200000,2382200000,2373400000,2786200000,3131300000,3284000000,3629920000,3708363000,3253000000,3094000000,3251000000,3378000000,3480000000,4013000000,3542000000,3006000000,3028000000,3631000000,4057000000,4386000000,4429000000,4808000000,5204000000,5125000000,4959000000,4899000000,4450000000,4667000000,3855000000
4,Gross Profit Ratio,0.3347,0.3371,0.3124,0.3334,0.3467,0.3454,0.3279,0.3222,0.3078,0.3254,0.3011,0.3223,0.3408,0.3513,0.3733,0.3670,0.3474,0.3664,0.3639,0.3591,0.3588,0.3761,0.3495,0.3324,0.3508,0.3777,0.3915,0.4194,0.4111,0.4198,0.4282,0.4076,0.3926,0.3701,0.3446,0.3939,0.4891
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2720000000,2686000000,2855000000,3012000000,3122000000,3231000000,3563000000,3472000000,3087000000,-1846000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",442600000,523600000,583900000,747300000,821400000,932900000,1080800000,1202000000,1259900000,1315400000,1475500000,1848500000,2124700000,2300500000,2460338000,2561201000,2505000000,2222000000,2288000000,2351000000,2494000000,2837000000,2662000000,2311000000,2166000000,2341000000,2698000000,2720000000,2686000000,2855000000,3012000000,3122000000,3231000000,3563000000,3472000000,3087000000,-1846000000
9,Other Expenses,80100000,97400000,109400000,142500000,164700000,184400000,222700000,247000000,271400000,267800000,285900000,289600000,313300000,286000000,272443000,271146000,-170000000,34000000,- -,- -,- -,- -,- -,215000000,-9000000,- -,-111000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,522700000,621000000,693300000,889800000,986100000,1117300000,1303500000,1449000000,1531300000,1583200000,1761400000,2138100000,2438000000,2586500000,2732781000,2832347000,2335000000,2256000000,2288000000,2351000000,2494000000,2837000000,2662000000,2526000000,2157000000,2341000000,2587000000,2720000000,2686000000,2855000000,3012000000,3122000000,3231000000,3563000000,3472000000,3087000000,-1846000000
11,COGS and Expenses,2110800000,2704400000,3119100000,3603400000,4022700000,4556000000,5436500000,6155600000,6546200000,6521800000,7269400000,7996700000,8495500000,8649400000,8826195000,9228590000,8445000000,7607000000,7971000000,8381000000,8713000000,9495000000,9254000000,8563000000,7761000000,8323000000,8894000000,8793000000,9030000000,9501000000,9962000000,10571000000,10904000000,11901000000,11936000000,10267000000,2181000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,208000000,246000000,316000000,314000000,324000000,334000000,394000000,406000000,385000000,378000000,438000000,-388000000
14,Depreciation and Amortization,80100000,97400000,109400000,142500000,164700000,184400000,222700000,247000000,271400000,267800000,285900000,289600000,313300000,286000000,272443000,271146000,277000000,310000000,283000000,333000000,299000000,316000000,352000000,343000000,393000000,394000000,391000000,389000000,407000000,438000000,457000000,518000000,571000000,590000000,588000000,521000000,- -
15,EBITDA,319400000,492200000,487600000,538600000,738600000,837800000,883000000,992500000,916400000,1012100000,1470400000,964800000,713700000,2649600000,1104202000,1030051000,1181000000,1153000000,1449000000,1449000000,1273000000,1414000000,1481000000,796000000,1280000000,1853000000,1864000000,1986000000,2167000000,2398000000,2725000000,2608000000,2289000000,1832000000,785000000,2051000000,1035000000
16,EBITDA ratio,0.1338,0.1566,0.1382,0.1323,0.1589,0.1595,0.1436,0.1429,0.1265,0.1382,0.1866,0.1116,0.0777,0.2835,0.1136,0.1019,0.1261,0.1365,0.1622,0.1540,0.1313,0.1325,0.1461,0.0880,0.1483,0.1928,0.1799,0.1899,0.2012,0.2094,0.2242,0.2074,0.1812,0.1384,0.0608,0.1731,0.1313
17,Operating Income,276300000,438300000,408800000,467400000,625200000,697500000,712700000,788700000,698900000,799000000,612000000,648100000,693300000,697500000,897139000,876016000,918000000,838000000,963000000,1027000000,986000000,1176000000,1110000000,589000000,868000000,1284000000,1238000000,1573000000,1743000000,1953000000,2192000000,2003000000,1728000000,1237000000,258000000,1580000000,2009000000
