,https://roic.ai/company/PLXS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,19300000,23900000,24500000,51100000,78100000,78700000,120400000,157400000,159600000,242500000,283100000,316124000,386431000,396815000,492414000,751639000,1062304000,883603000,807837000,1040858000,1228900000,1460557000,1546300000,1841600000,1616600000,2013400000,2231200000,2306700000,2228000000,2378200000,2654290000,2556004000,2528052000,2873508000,3164434000,3390394000,3368865000
2,COGS,15600000,17700000,20500000,42900000,65600000,69000000,105000000,138300000,143900000,223200000,256200000,288791000,342415000,346869000,426005000,644475000,930514000,802283000,754872000,954080000,1123100000,1301857000,1382700000,1635900000,1461800000,1806500000,2016500000,2086800000,2014800000,2152700000,2414740000,2328645000,2272197000,2615908000,2872596000,3077688000,3045569000
3,Gross Profit,3700000,6200000,4000000,8200000,12500000,9700000,15400000,19100000,15700000,19300000,26900000,27333000,44016000,49946000,66409000,107164000,131790000,81320000,52965000,86778000,105800000,158700000,163600000,205700000,154800000,206900000,214700000,219900000,213200000,225500000,239550000,227359000,255855000,257600000,291838000,312706000,323296000
4,Gross Profit Ratio,0.1917,0.2594,0.1633,0.1605,0.1601,0.1233,0.1279,0.1213,0.0984,0.0796,0.0950,0.0865,0.1139,0.1259,0.1349,0.1426,0.1241,0.0920,0.0656,0.0834,0.0861,0.1087,0.1058,0.1117,0.0958,0.1028,0.0962,0.0953,0.0957,0.0948,0.0903,0.0890,0.1012,0.0896,0.0922,0.0922,0.0960
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,13346000,17199000,19024000,26443000,35049000,55844000,66921000,- -,- -,76300000,- -,37000,-15000,-38000,30000,-863000,46000,38000,18000,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82263000,100815000,93138000,107270000,113563000,115754000,116562000,113682000,122423000,120886000,- -,139317000,148105000,- -,- -
8,"Selling, General and Administrative Exp.",- -,3100000,3900000,3900000,4700000,3900000,5800000,7200000,6800000,8200000,11300000,13346000,17199000,19024000,26443000,35049000,55844000,66921000,65152000,68259000,76319000,78438000,82300000,100800000,93100000,107300000,112700000,115800000,116600000,113700000,122423000,120886000,125947000,139317000,148105000,153331000,143761000
9,Other Expenses,400000,900000,1400000,1700000,1800000,1900000,2100000,2400000,2600000,3100000,3200000,- -,- -,- -,-984000,1114000,4022000,5454000,- -,- -,39181000,- -,1800000,2100000,8700000,-100000,900000,-0,0,11200000,1691000,7034000,- -,- -,1678000,- -,- -
10,Operating Expenses,400000,4000000,5300000,5600000,6500000,5800000,7900000,9600000,9400000,11300000,14500000,13346000,17199000,19024000,25459000,36163000,59866000,72375000,65152000,68259000,115500000,78438000,84100000,102900000,101800000,107200000,113600000,115800000,116600000,124900000,124114000,127920000,125947000,139317000,149783000,153331000,143761000
11,COGS and Expenses,16000000,21700000,25800000,48500000,72100000,74800000,112900000,147900000,153300000,234500000,270700000,302137000,359614000,365893000,451464000,680638000,990380000,874658000,820024000,1022339000,1238600000,1380295000,1466800000,1738800000,1563600000,1913700000,2130100000,2202600000,2131400000,2277600000,2538854000,2456565000,2398144000,2755225000,3022379000,3231019000,3189330000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2323000,1436000,1367000,1761000,1640000,2934000,3499000,4242000,5042000,4696000,1949000,1878000,1372000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10875000,9589000,11649000,16064000,12638000,12295000,13964000,14635000,13578000,12226000,12853000,16162000,14253000
14,Depreciation and Amortization,400000,900000,1400000,1700000,1800000,1900000,2100000,2400000,2600000,3100000,3200000,3653000,4487000,6582000,9993000,16307000,29890000,36604000,27135000,25449000,23890000,23310000,26588000,29219000,34468000,40152000,47026000,49214000,49476000,47864000,48378000,47414000,45330000,48296000,52206000,56690000,61014000
15,EBITDA,3600000,2600000,-900000,2600000,5100000,4500000,7800000,10700000,6800000,8100000,13400000,16030000,31567000,38266000,46142000,84936000,95256000,30778000,-68071000,33060000,12890000,106157000,110824000,131790000,90735000,136052000,150822000,156520000,147138000,153471000,168637000,149443000,180731000,168132000,184014000,208249000,235678000
16,EBITDA ratio,0.1865,0.1088,-0.0367,0.0509,0.0653,0.0572,0.0648,0.0680,0.0426,0.0334,0.0473,0.0507,0.0817,0.0964,0.0937,0.1130,0.0897,0.0348,-0.0843,0.0318,0.0105,0.0727,0.0717,0.0716,0.0561,0.0676,0.0676,0.0679,0.0660,0.0645,0.0635,0.0585,0.0715,0.0585,0.0582,0.0614,0.0700
17,Operating Income,3300000,2200000,-1300000,2600000,6000000,3900000,7500000,9500000,6300000,8000000,12400000,13987000,26817000,30922000,40950000,71001000,71924000,8945000,-12187000,18519000,-9700000,80262000,79400000,102800000,53100000,99700000,101200000,104159000,96623000,100607000,115436000,99439000,129908000,118283000,142055000,153372000,176268000
18,Operating Income ratio,0.1710,0.0921,-0.0531,0.0509,0.0768,0.0496,0.0623,0.0604,0.0395,0.0330,0.0438,0.0442,0.0694,0.0779,0.0832,0.0945,0.0677,0.0101,-0.0151,0.0178,-0.0079,0.0550,0.0513,0.0558,0.0328,0.0495,0.0454,0.0452,0.0434,0.0423,0.0435,0.0389,0.0514,0.0412,0.0449,0.0452,0.0523
19,Total Other Income Expenses (Gains),-100000,-500000,-1000000,-1100000,-1300000,-1300000,-1800000,-1200000,-2100000,-3000000,-2200000,-1610000,263000,762000,-4801000,-2372000,-6558000,-14771000,-59537000,-10908000,-1300000,3090000,4900000,-200000,-7700000,-9300000,-9100000,-12959000,-11623000,-7307000,-9141000,-12045000,-8085000,-10673000,-16100000,-17975000,-15857000
20,Income Before Tax,3200000,1700000,-2300000,1500000,4700000,2600000,5700000,8300000,4200000,5000000,10200000,12377000,27080000,31684000,36149000,68629000,65366000,-5826000,-71724000,7611000,-11000000,83352000,84300000,102600000,45400000,90400000,92100000,91200000,85000000,93300000,106295000,87394000,121823000,107610000,125955000,135397000,160411000
21,Income Before Tax Ratio,0.1658,0.0711,-0.0939,0.0294,0.0602,0.0330,0.0473,0.0527,0.0263,0.0206,0.0360,0.0392,0.0701,0.0798,0.0734,0.0913,0.0615,-0.0066,-0.0888,0.0073,-0.0090,0.0571,0.0545,0.0557,0.0281,0.0449,0.0413,0.0395,0.0382,0.0392,0.0400,0.0342,0.0482,0.0374,0.0398,0.0399,0.0476
22,Income Tax expense (Gain),1500000,800000,-1000000,600000,1800000,1000000,2100000,3200000,1600000,1900000,3900000,4946000,10680000,12449000,15838000,28433000,26216000,-1753000,-27228000,39191000,1400000,-17178000,18536000,18471000,-908000,-3189000,2847000,29142000,2724000,6112000,11963000,10967000,9761000,94570000,10339000,17918000,21499000
23,Net Income,1700000,900000,-1300000,300000,1500000,1600000,3600000,5100000,2600000,3100000,6300000,7431000,16400000,19235000,20311000,40196000,39150000,-4073000,-67978000,-31580000,-12400000,100025000,65700000,84100000,46300000,89500000,89300000,62100000,82300000,87200000,94332000,76427000,112062000,13040000,108616000,117479000,138912000
24,Net Income ratio,0.0881,0.0377,-0.0531,0.0059,0.0192,0.0203,0.0299,0.0324,0.0163,0.0128,0.0223,0.0235,0.0424,0.0485,0.0412,0.0535,0.0369,-0.0046,-0.0841,-0.0303,-0.0101,0.0685,0.0425,0.0457,0.0286,0.0445,0.0400,0.0269,0.0369,0.0367,0.0355,0.0299,0.0443,0.0045,0.0343,0.0347,0.0412
25,EPS,0.01,0.01,-0.01,0.00,0.01,0.01,0.03,0.05,0.03,0.03,0.22,0.26,0.54,0.66,0.58,1.12,0.95,-0.10,-1.61,-0.74,-0.29,2.22,1.42,1.94,1.18,2.24,2.34,1.78,2.40,2.58,2.81,2.29,3.33,0.40,3.59,4.02,4.86
26,EPS Diluted,0.01,0.01,-0.01,0.00,0.01,0.01,0.03,0.05,0.03,0.03,0.22,0.26,0.52,0.60,0.55,1.04,0.91,-0.10,-1.61,-0.74,-0.29,2.15,1.41,1.92,1.17,2.19,2.30,1.75,2.36,2.52,2.74,2.24,3.24,0.38,3.50,3.93,4.76
27,Weighted Average Shares Outstanding,19664000,23396000,23396000,24696000,24700000,24796000,24840000,24032000,25792000,25840000,28314607,28580769,30028846,29424598,34646000,36026000,41129000,41895000,42284000,42961000,43373000,45146000,46312000,43340000,39411000,40051000,38063000,34874000,34330000,33785000,33618000,33374000,33612000,33003000,30271000,29195000,28575000
28,Weighted Average Shares Outstanding Diluted,19664000,23396000,23396000,24696000,24700000,24796000,24840000,24032000,25792000,25840000,28636364,28858252,31581770,31681282,37020000,38732000,43230000,41895000,42284000,42961000,43373000,46490000,46739000,43850000,39654000,40831000,38800000,35529000,34892000,34655000,34379000,34098000,34553000,33919000,31074000,29916000,29167000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785786/0000950124-96-000404-index.html,- -,https://www.sec.gov/Archives/edgar/data/785786/0000950124-97-006656-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785786/000095013706013086/0000950137-06-013086-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095013707017644/0000950137-07-017644-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095013708013796/0000950137-08-013796-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095012309063978/0000950123-09-063978-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095012310107157/0000950123-10-107157-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000119312511315563/0001193125-11-315563-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578612000018/0000785786-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578613000043/0000785786-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578614000044/0000785786-14-000044-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578615000044/0000785786-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578616000110/0000785786-16-000110-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578617000049/0000785786-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578618000051/0000785786-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578619000059/0000785786-19-000059-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578620000102/0000785786-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578621000082/0000785786-21-000082-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,300000,200000,400000,800000,1300000,300000,900000,800000,1100000,3600000,1847000,3655000,23195000,15906000,5293000,84591000,63347000,58993000,40924000,98700000,164912000,154100000,166000000,258400000,188300000,242100000,297600000,341900000,346600000,357106000,432964000,568860000,297269000,223761000,385807000,270172000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17224000,- -,20775000,53025000,19701000,4005000,10000000,30000000,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,300000,200000,400000,800000,1300000,300000,900000,800000,1100000,3600000,1847000,3655000,23195000,33130000,5293000,105366000,116372000,78694000,44929000,108700000,194912000,209100000,166000000,258400000,188300000,242100000,297600000,341900000,346600000,357106000,432964000,568860000,297269000,223761000,385807000,270172000
34,Net Receivables,3000000,2100000,4900000,5600000,7100000,9600000,13400000,17800000,21300000,43700000,47600000,35312000,47648000,48433000,69318000,140048000,114055000,95903000,111125000,148301000,167300000,209737000,230800000,253500000,193200000,311200000,284000000,323200000,305400000,324100000,384680000,416888000,365513000,394827000,579125000,596032000,634967000
35,Inventory,3400000,5600000,7800000,14200000,16800000,19600000,27000000,29600000,49400000,60000000,49000000,54386000,47931000,44303000,79017000,215998000,135409000,94032000,136515000,173518000,180100000,224342000,275900000,340200000,322400000,492400000,455800000,457700000,404000000,526000000,569371000,564131000,654642000,794346000,700938000,763461000,972312000
36,Other Current Assets,100000,400000,1200000,400000,500000,700000,600000,1500000,3400000,4000000,2700000,3204000,3552000,5320000,9932000,13560000,23979000,35504000,32049000,7699000,5900000,16458000,18400000,27300000,24400000,34100000,26700000,21300000,27700000,34100000,22882000,19364000,28440000,30719000,34467000,33859000,53435000
37,Total Current Assets,6600000,8400000,14100000,20600000,25200000,31200000,41300000,49800000,74900000,108800000,102900000,94749000,102786000,121251000,191397000,374899000,378809000,341811000,358383000,374447000,462000000,645449000,734200000,787000000,798400000,1026000000,1008600000,1099800000,1079000000,1230800000,1334039000,1433347000,1617455000,1517161000,1538291000,1779159000,1930886000
38,PP&E,6300000,9800000,11000000,11000000,10400000,11300000,12600000,12200000,19800000,12900000,11800000,12423000,18687000,21355000,35868000,89500000,145928000,170834000,131510000,129586000,123100000,134437000,159500000,179100000,197500000,235700000,247800000,265200000,325100000,334900000,317351000,291225000,314665000,341306000,384224000,453540000,467181000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64957000,- -,- -,7000000,7400000,8100000,7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1400000,1100000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48882000,70514000,- -,32269000,34179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8239000,6900000,- -,- -
41,Intangible Assets,- -,1400000,1100000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48882000,70514000,64957000,32269000,34179000,7000000,7400000,8100000,7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8239000,6900000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3624000,355000,24921000,- -,3600000,4542000,1800000,- -,- -,- -,- -,3300000,2100000,5200000,- -,- -,5292000,14376000,5305000,21422000,27385000
44,Other Non-Current Assets,4000000,2000000,1300000,900000,900000,900000,600000,700000,400000,300000,400000,202000,344000,1059000,2371000,2327000,3650000,5988000,5971000,7496000,6300000,9634000,12900000,18800000,26800000,28700000,48100000,43200000,41500000,38100000,40370000,41247000,38770000,51560000,66163000,35727000,36441000
45,Total Non-Current Assets,10300000,13200000,13400000,12700000,11300000,12200000,13200000,12900000,20200000,13200000,12200000,12625000,19031000,22414000,38239000,140709000,223716000,242134000,194671000,171261000,140000000,156013000,182300000,205200000,224300000,264400000,295900000,311700000,368700000,378200000,357721000,332472000,358727000,415481000,462592000,510689000,531007000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16900000,21600000,27500000,33300000,36500000,43400000,54500000,62700000,95100000,122000000,115100000,107374000,121817000,143665000,229636000,515608000,602525000,583945000,553054000,545708000,602000000,801462000,916500000,992200000,1022700000,1290400000,1304500000,1411500000,1447700000,1609000000,1691760000,1765819000,1976182000,1932642000,2000883000,2289848000,2461893000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,12800000,13800000,24000000,36900000,23300000,27758000,35099000,36948000,55928000,106257000,52307000,67310000,91445000,100588000,159100000,215332000,237000000,231600000,233100000,360700000,307200000,341300000,313400000,396400000,400710000,397200000,413999000,506322000,444944000,516297000,634969000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,63000,214000,114000,10000,8365000,8175000,1652000,958000,811000,770000,997000,1720000,16694000,16907000,17409000,17350000,10211000,3574000,4368000,3513000,78507000,286934000,5532000,100702000,146829000,66313000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7360000000,7603000,7436000,2368000,2353000,2799000,- -,5841000,2270000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000,- -,12932000,15517000,15057000,18959000,15750000,2232000,3917000,6449000,10686000,4834000,107837000,10825000,67900000,159972000,204985000
52,Other Current Liabilities,4800000,4900000,12200000,17300000,10200000,13800000,5100000,4700000,5700000,9100000,8200000,15503000,14215000,15893000,25048000,46681000,41272000,52995000,55665000,57688000,62603000,70052000,55348000,84089000,74236000,105432000,114400000,126157000,150509000,140083000,164389000,169895000,98821000,214994000,251957000,180419000,222436000
53,Total Current Liabilities,4800000,4900000,12200000,17300000,10200000,13800000,17900000,18500000,29700000,46000000,31600000,43324000,49528000,52955000,80986000,161303000,101754000,121957000,148068000,159087000,222600000,286381000,307000000,347900000,339300000,502500000,454700000,479900000,471400000,547300000,579298000,650436000,907591000,737673000,865503000,1003517000,1128703000
54,Long-Term Debt,6900000,6700000,6400000,5700000,14500000,16400000,19700000,20500000,40100000,40700000,41700000,15372000,3516000,152000,142000,141409000,70016000,25356000,- -,- -,22300000,- -,25100000,154500000,133200000,112500000,270300000,260200000,257800000,262000000,258293000,184002000,26173000,183085000,187278000,187975000,225003000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,200000,300000,400000,500000,400000,300000,600000,600000,500000,700000,661000,998000,700000,215000,1056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15750000,2232000,2128000,5191000,9664000,14484000,- -,14376000,5305000,6433000,5677000
57,Other Non-Current Liabilities,2300000,- -,- -,100000,- -,-200000,- -,- -,-100000,-100000,100000,- -,192000,519000,1890000,2478000,3903000,5943000,33970000,35208000,17100000,33514000,11200000,15900000,22700000,23500000,4850000,20068000,17072000,13409000,2233000,100000,16479000,76365000,77221000,114443000,74278000
58,Total Non-Current Liabilities,9300000,6900000,6700000,6200000,15000000,16600000,20000000,21100000,40600000,41100000,42500000,16033000,4706000,1371000,2247000,144943000,73919000,31299000,33970000,35208000,39400000,33514000,36300000,170400000,155900000,136000000,290900000,282500000,277000000,280600000,270190000,198586000,42652000,273826000,269804000,308851000,304958000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23502000,23160000,22310000,25653000,25082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36779000,37970000
61,Total Liabilities,14100000,11800000,18900000,23500000,25200000,30400000,37900000,39600000,70300000,87100000,74100000,59357000,54234000,54326000,83233000,306246000,175673000,153256000,182038000,194295000,262000000,319895000,343300000,518300000,495200000,638500000,745600000,762400000,748400000,827900000,849488000,849022000,950243000,1011499000,1135307000,1312368000,1433661000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,147000,148000,175000,371000,418000,420000,426000,432000,400000,462000,500000,500000,500000,500000,500000,500000,500000,500000,506000,513000,519000,526000,529000,535000,538000
64,Retained Earnings,1900000,4500000,3200000,3600000,5100000,6700000,10300000,15400000,17900000,21000000,26800000,33699000,49761000,67920000,94803000,136577000,174891000,170818000,102840000,71260000,58800000,158868000,224600000,309700000,356000000,445600000,534800000,596900000,679200000,766400000,860717000,937144000,1049206000,1062246000,1178677000,1295079000,1433991000
65,Other Comprehensive Income/Loss,-1100000,-1800000,-3100000,-4700000,-6200000,-7800000,-9500000,-11800000,-13400000,-15700000,-18300000,-21253000,-25335000,-30780000,-44200000,-60545000,-80633000,-120351000,-119547000,-136312000,7000000,9000000,12000000,11000000,5000000,7000000,8000000,16000000,20000000,19000000,-6000000,-12000000,-5000000,-12000000,-18000000,-5000000,-2984000
66,Other Total Stockholders Equity,2000000,7100000,8500000,10900000,12400000,14100000,15800000,19500000,20300000,29600000,32500000,35506000,43010000,52051000,95625000,132959000,332176000,379802000,387297000,416033000,273815000,313237000,336165000,152745000,165946000,198755000,15582000,35622000,-399000,-4767000,-12951000,-8860000,-18786000,-129629000,-295630000,-313134000,-403313000
67,Total Stockholders Equity,2800000,9800000,8600000,9800000,11300000,13000000,16600000,23100000,24800000,34900000,41000000,48017000,67583000,89339000,146403000,209362000,426852000,430689000,371016000,351413000,340015000,481567000,573265000,473945000,527446000,651855000,558882000,649022000,699301000,781133000,842272000,916797000,1025939000,921143000,865576000,977480000,1028232000
68,Total Liabilities And Stockholders Equity,16900000,21600000,27500000,33300000,36500000,43400000,54500000,62700000,95100000,122000000,115100000,107374000,121817000,143665000,229636000,515608000,602525000,583945000,553054000,545708000,602015000,801462000,916565000,992245000,1022646000,1290355000,1304482000,1411422000,1447701000,1609033000,1691760000,1765819000,1976182000,1932642000,2000883000,2289848000,2461893000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,- -,-65000,-45000,54000,45000,18000,78000,-1000,-33000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16900000,21600000,27500000,33300000,36500000,43400000,54500000,62700000,95100000,122000000,115100000,107374000,121817000,143665000,229636000,515608000,602525000,583945000,553054000,545708000,602000000,801462000,916500000,992200000,1022700000,1290400000,1304500000,1411500000,1447700000,1609000000,1691760000,1765819000,1976182000,1932642000,2000883000,2289848000,2461893000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785786/0000950124-96-000404-index.html,- -,https://www.sec.gov/Archives/edgar/data/785786/0000950124-97-006656-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785786/000095013706013086/0000950137-06-013086-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095013707017644/0000950137-07-017644-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095013708013796/0000950137-08-013796-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095012309063978/0000950123-09-063978-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000095012310107157/0000950123-10-107157-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000119312511315563/0001193125-11-315563-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578612000018/0000785786-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578613000043/0000785786-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578614000044/0000785786-14-000044-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578615000044/0000785786-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578616000110/0000785786-16-000110-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578617000049/0000785786-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578618000051/0000785786-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578619000059/0000785786-19-000059-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578620000102/0000785786-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/785786/000078578621000082/0000785786-21-000082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
