,https://roic.ai/company/FOX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,8894000000,9921000000,10153000000,11389000000,12303000000,12909000000
2,COGS,- -,- -,- -,7327000000,- -,- -
3,Gross Profit,- -,- -,- -,4062000000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.3567,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1191000000,1117000000,1262000000,1419000000,1741000000,1807000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1191000000,1117000000,1262000000,1419000000,1741000000,1807000000
9,Other Expenses,- -,- -,- -,7539000000,8065000000,8337000000
10,Operating Expenses,- -,- -,- -,8958000000,9806000000,10144000000
11,COGS and Expenses,6920000000,7386000000,7938000000,8746000000,9806000000,10144000000
12,Interest Income ,- -,- -,- -,41000000,35000000,4000000
13,Interest Expense (Gain),18000000,23000000,43000000,203000000,369000000,395000000
14,Depreciation and Amortization,170000000,169000000,171000000,212000000,258000000,300000000
15,EBITDA,1996000000,2396000000,2343000000,2591000000,2028000000,3562000000
16,EBITDA ratio,0.2244,0.2415,0.2308,0.2275,0.1648,0.2759
17,Operating Income,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-131000000,-294000000,-45000000,- -,-1033000000,153000000
20,Income Before Tax,1843000000,2241000000,2170000000,2224000000,1464000000,2918000000
21,Income Before Tax Ratio,0.2072,0.2259,0.2137,0.1953,0.1190,0.2260
22,Income Tax expense (Gain),736000000,832000000,-58000000,581000000,402000000,717000000
23,Net Income,1072000000,1372000000,2187000000,1595000000,999000000,2150000000
24,Net Income ratio,0.1205,0.1383,0.2154,0.1400,0.0812,0.1666
25,EPS,1.73,2.21,3.22,2.57,1.62,3.61
26,EPS Diluted,1.73,2.21,3.22,2.57,1.62,3.61
27,Weighted Average Shares Outstanding,620000000,620000000,620000000,621000000,616000000,595000000
28,Weighted Average Shares Outstanding Diluted,620000000,620000000,620000000,621000000,616000000,595000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/0001564590-19-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1754301/000156459020038975/0001564590-20-038975-index.htm,https://www.sec.gov/Archives/edgar/data/1754301/000156459021043103/0001564590-21-043103-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,19000000,2500000000,3234000000,4645000000,5886000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19000000,2500000000,3234000000,4645000000,5886000000
34,Net Receivables,- -,1693000000,1833000000,1967000000,1888000000,2029000000
35,Inventory,- -,1052000000,1180000000,1129000000,856000000,729000000
36,Other Current Assets,- -,43000000,67000000,148000000,97000000,105000000
37,Total Current Assets,- -,2807000000,5580000000,6478000000,7486000000,8749000000
38,PP&E,- -,1123000000,1169000000,1313000000,2037000000,2177000000
39,Goodwill,- -,2750000000,2747000000,2691000000,3409000000,3435000000
40,Intangible Assets,- -,3121000000,2866000000,2851000000,3198000000,3154000000
41,Intangible Assets,- -,5871000000,5613000000,5542000000,6607000000,6589000000
42,Investments,- -,54000000,275000000,865000000,865000000,899000000
43,Tax Assets,- -,- -,- -,4651000000,4358000000,3822000000
44,Other Non-Current Assets,- -,493000000,484000000,660000000,397000000,690000000
45,Total Non-Current Assets,- -,7541000000,7541000000,13031000000,14264000000,14177000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10348000000,13121000000,19509000000,21750000000,22926000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,122000000,841000000
50,Tax Payable,- -,722000000,553000000,6000000,- -,- -
51,Deferred Revenue,- -,128000000,147000000,169000000,152000000,196000000
52,Other Current Liabilities,- -,1914000000,1612000000,1543000000,1632000000,1965000000
53,Total Current Liabilities,- -,2042000000,1759000000,1712000000,1906000000,3002000000
54,Long-Term Debt,- -,- -,- -,6751000000,8398000000,7611000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1554000000,1071000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,659000000,697000000,1088000000,1335000000,1188000000
58,Total Non-Current Liabilities,- -,2213000000,1768000000,7839000000,9733000000,8799000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,574000000,501000000
61,Total Liabilities,- -,4255000000,3527000000,9551000000,11639000000,11801000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,7000000,6000000,6000000
64,Retained Earnings,- -,- -,- -,357000000,674000000,1982000000
65,Other Comprehensive Income/Loss,- -,-59000000,81000000,-308000000,-417000000,-318000000
66,Other Total Stockholders Equity,- -,7663000000,11252000000,9891000000,9831000000,9453000000
67,Total Stockholders Equity,- -,6093000000,9594000000,9947000000,10094000000,11123000000
68,Total Liabilities And Stockholders Equity,- -,10348000000,13121000000,19498000000,21733000000,22924000000
69,Minority Interest,- -,- -,- -,11000000,17000000,2000000
70,Total Liabilities & Equity,- -,10348000000,13121000000,19509000000,21750000000,22926000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/0001564590-19-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1754301/000156459020038975/0001564590-20-038975-index.htm,https://www.sec.gov/Archives/edgar/data/1754301/000156459021043103/0001564590-21-043103-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,1072000000,1372000000,2187000000,1595000000,999000000,2150000000
74,Depreciation and Amortization,170000000,169000000,171000000,212000000,258000000,300000000
75,Deferred Income Tax,139000000,92000000,-603000000,386000000,283000000,534000000
76,Stock Based Compensation,- -,- -,- -,36000000,137000000,147000000
77,Change in Working Capital,-536000000,765000000,3056000000,945000000,814000000,167000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,-252000000,21000000,-228000000,197000000,181000000,190000000
80,Accounts Payable,-66000000,-217000000,-193000000,133000000,-306000000,- -
81,Other Working Capital,- -,765000000,3821000000,4766000000,5580000000,5747000000
82,Other Non-Cash Items,252000000,-743000000,-3494000000,-650000000,-126000000,-659000000
83,Cash Provided by Operating Activities,1097000000,1655000000,1317000000,2524000000,2365000000,2639000000
84,CAPEX,-107000000,-191000000,-215000000,-235000000,-359000000,-484000000
85,Acquisitions Net,- -,- -,354000000,- -,-1061000000,42000000
86,Purchases of Investments,- -,-13000000,- -,-338000000,-103000000,-86000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,349000000,- -
88,Other Investing Activites,-61000000,-38000000,-11000000,-64000000,74000000,- -
89,Cash Used for Investing Activites,-168000000,-242000000,128000000,-637000000,-1100000000,-528000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-600000000,-1001000000
93,Dividends Paid,-36000000,-35000000,-77000000,-6688000000,-335000000,-330000000
94,Other Financing Activites,-877000000,-1396000000,1113000000,5535000000,1081000000,461000000
95,Cash Used/Provided by Financing Activities,-913000000,-1431000000,1036000000,-1153000000,146000000,-870000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
