,https://roic.ai/company/HCC,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,544733000,- -,1169092000,1378007000,1268309000,782738000,1059216000
2,COGS,628987000,- -,620952000,726817000,750573000,658906000,583181000
3,Gross Profit,-84254000,- -,548140000,651190000,517736000,123832000,476035000
4,Gross Profit Ratio,-0.1547,- -,0.4689,0.4726,0.4082,0.1582,0.4494
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,69821000,- -,36453000,36626000,37014000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",69821000,- -,36453000,36626000,37014000,- -,35593000
9,Other Expenses,123633000,- -,75413000,97209000,97330000,150971000,141418000
10,Operating Expenses,193454000,- -,111866000,133835000,134344000,150971000,177011000
11,COGS and Expenses,822441000,- -,732818000,860652000,884917000,809877000,760192000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),51077000,- -,6947000,37314000,29335000,32310000,35389000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,118092000,141418000
15,EBITDA,-300293000,- -,423401000,508287000,396451000,94497000,376784000
16,EBITDA ratio,-0.5513,- -,0.3622,0.3689,0.3126,0.1207,0.3557
17,Operating Income,-319526000,- -,423401000,508287000,383392000,-27139000,243753000
18,Operating Income ratio,-0.5866,- -,0.3622,0.3689,0.3023,-0.0347,0.2301
19,Total Other Income Expenses (Gains),-31844000,- -,-6947000,-37314000,-16276000,-28766000,-43776000
20,Income Before Tax,-351370000,- -,416454000,470973000,367116000,-55905000,199977000
21,Income Before Tax Ratio,-0.6450,- -,0.3562,0.3418,0.2895,-0.0714,0.1888
22,Income Tax expense (Gain),-40789000,- -,-38592000,-225814000,65417000,-20144000,49096000
23,Net Income,-310581000,- -,455046000,696787000,301699000,-35761000,150881000
24,Net Income ratio,-0.5702,- -,0.3892,0.5056,0.2379,-0.0457,0.1424
25,EPS,-5.90,- -,8.62,13.19,5.87,-0.70,2.94
26,EPS Diluted,-5.90,- -,8.62,13.17,5.86,-0.70,2.93
27,Weighted Average Shares Outstanding,52681000,52681000,52800000,52812000,51363000,51168000,51382000
28,Weighted Average Shares Outstanding Diluted,52681000,52681000,52806000,52918000,51493000,51168000,51445000
