,https://roic.ai/company/ENB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,858267717,871337580,948033871,626646637,392371265,395154885,591527563,2322743387,2457859394,2519942816,2341640867,2687644676,2945000000,4050100287,4547500787,4855299498,6540500360,8453100361,10644500233,11919400139,16131300000,12466000000,15127000000,19402000000,25306000000,32918000000,37641000000,33794000000,34560000000,44378000000,46378000000,50069000000,39087000000,47071000000
2,COGS,358267717,363752171,381626261,319736538,258741259,189038920,372703044,1122988819,1064272989,1036454610,865015480,903067130,966499700,2202800064,2577999685,2720100477,3917000240,5728399814,7824600419,9009500447,12792000000,9011000000,11291000000,14854000000,20992000000,28177000000,31060000000,27265000000,26245000000,31800000000,32647000000,34395000000,24381000000,32554000000
3,Gross Profit,500000000,507585409,566407610,306910099,133630006,206115965,218824519,1199754568,1393586405,1483488206,1476625387,1784577546,1978500300,1847300223,1969501102,2135199021,2623500120,2724700547,2819899814,2909899692,3339300000,3455000000,3836000000,4548000000,4314000000,4741000000,6581000000,6529000000,8315000000,12578000000,13731000000,15674000000,14706000000,14517000000
4,Gross Profit Ratio,0.5826,0.5825,0.5975,0.4898,0.3406,0.5216,0.3699,0.5165,0.5670,0.5887,0.6306,0.6640,0.6718,0.4561,0.4331,0.4398,0.4011,0.3223,0.2649,0.2441,0.2070,0.2772,0.2536,0.2344,0.1705,0.1440,0.1748,0.1932,0.2406,0.2834,0.2961,0.3130,0.3762,0.3084
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2890000000,3014000000,3281000000,4248000000,4360000000,6442000000,6792000000,6991000000,6749000000,6712000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2890000000,3014000000,3281000000,4248000000,4360000000,6442000000,6792000000,6991000000,6749000000,6712000000
9,Other Expenses,200190885,201505501,199628813,83545181,- -,69764363,101977837,737251159,813210909,912508935,984055728,1205439815,1323800240,1131599809,1360700346,1243798789,1540000000,1632900337,1671599487,1760599861,1970600000,2194000000,2330000000,2657000000,-178000000,361000000,97000000,-23000000,-3000000,- -,- -,- -,- -,- -
