,https://roic.ai/company/ASND,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,15583000,20408000,13983000,8118000,4606000,1530000,10581000,13375000,6953000,7778000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3523000
3,Gross Profit,- -,15583000,20408000,13983000,- -,- -,- -,- -,- -,- -,4255000
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,0.5471
5,Research and Development Exp.,- -,11380000,12713000,19698000,40528000,66022000,99589000,140281000,191621000,260904000,295867000
6,General and Administrative Exp.,- -,2690000,2416000,6274000,9415000,11504000,13482000,25057000,48473000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2690000,2416000,6274000,9415000,11504000,13482000,25057000,48473000,- -,160180000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,76669000,- -
10,Operating Expenses,- -,14070000,15129000,25972000,49943000,77526000,113071000,165338000,240094000,337573000,456047000
11,COGS and Expenses,- -,14070000,15129000,25972000,49943000,77526000,113071000,165338000,240094000,337573000,459570000
12,Interest Income ,- -,- -,- -,- -,13000,123000,923000,4020000,10056000,1812000,692000
13,Interest Expense (Gain),- -,20000,8000,16000,6000,5000,97000,127000,1221000,1918000,3911000
14,Depreciation and Amortization,- -,425000,405000,504000,558000,677000,734000,880000,6689000,9448000,15391000
15,EBITDA,- -,1730000,5118000,-9820000,-33010000,-68050000,-123543000,-129484000,-210340000,-407808000,-364642000
16,EBITDA ratio,- -,0.1110,0.2508,-0.7023,-4.0663,-14.7742,-80.7471,-12.2374,-15.7264,-58.6521,-46.8812
17,Operating Income,- -,1513000,5279000,-11989000,-41825000,-72920000,-111541000,-154757000,-226719000,-330620000,-451792000
18,Operating Income ratio,- -,0.0971,0.2587,-0.8574,-5.1521,-15.8315,-72.9026,-14.6259,-16.9510,-47.5507,-58.0859
19,Total Other Income Expenses (Gains),- -,-228000,-574000,1649000,8251000,4188000,-12833000,24266000,8469000,-88554000,67848000
20,Income Before Tax,- -,1285000,4705000,-10340000,-33574000,-68732000,-124374000,-130491000,-218250000,-419174000,-383944000
21,Income Before Tax Ratio,- -,0.0825,0.2305,-0.7395,-4.1357,-14.9223,-81.2902,-12.3326,-16.3178,-60.2868,-49.3628
22,Income Tax expense (Gain),- -,35000,626000,-682000,-652000,-227000,-477000,-394000,-234000,-219000,-367000
23,Net Income,- -,1250000,4079000,-9658000,-32922000,-68505000,-123897000,-130097000,-218016000,-418955000,-383577000
24,Net Income ratio,- -,0.0802,0.1999,-0.6907,-4.0554,-14.8730,-80.9784,-12.2953,-16.3003,-60.2553,-49.3156
25,EPS,- -,0.12,0.38,-0.57,-1.39,-2.58,-3.68,-3.17,-4.69,-8.28,-7.00
26,EPS Diluted,- -,0.12,0.32,-0.57,-1.39,-2.58,-3.68,-3.17,-4.69,-8.28,-7.00
27,Weighted Average Shares Outstanding,- -,10801948,10801948,16935780,23766783,26564414,33626305,41085237,46506862,50616528,54771763
28,Weighted Average Shares Outstanding Diluted,- -,10801948,12746875,16935780,23766783,26564414,33626305,41085237,46506862,50616528,54771763
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1612042/000119312516543253/d163051d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312517092073/0001193125-17-092073-index.html,https://www.sec.gov/Archives/edgar/data/1612042/000119312518099514/0001193125-18-099514-index.html,https://www.sec.gov/Archives/edgar/data/1612042/000119312519096759/d654369d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312520096870/d841629d20f.htm,https://www.sec.gov/Archives/edgar/data/1612042/000119312521076349/0001193125-21-076349-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,15683000,14535000,19430000,50167000,119649000,180329000,195351000,277862000,598106000,584517000,446267000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,134278000,235797000
33,Cash and Short-Term Investments,15683000,14535000,19430000,50167000,119649000,180329000,195351000,277862000,598106000,718795000,682064000
34,Net Receivables,2020000,6071000,1705000,2375000,2186000,1667000,2376000,2630000,5413000,7344000,23186000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75405000
36,Other Current Assets,271000,90000,64000,620000,3819000,1962000,6907000,12415000,7648000,13994000,25231000
37,Total Current Assets,17974000,20696000,21199000,53162000,125654000,183958000,204634000,292907000,611167000,740133000,805886000
38,PP&E,1317000,1183000,1973000,1874000,2355000,2350000,2557000,4325000,45069000,108112000,126049000
39,Goodwill,3495000,3495000,3495000,3495000,3495000,3495000,3495000,3495000,3495000,3495000,3495000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,3495000,- -,- -,2222000,1777000
41,Intangible Assets,3495000,3495000,3495000,3495000,3495000,3495000,3495000,3495000,3495000,5717000,5272000
42,Investments,- -,- -,- -,- -,- -,- -,- -,17083000,15538000,124456000,145906000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,32000,31000,33000,140000,270000,268000,293000,1158000,1463000,1375000,1808000
45,Total Non-Current Assets,4844000,4709000,5501000,5509000,6120000,6113000,6345000,26061000,65565000,239660000,279035000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22818000,25405000,26700000,58671000,131774000,190071000,210979000,318968000,676732000,979793000,1084921000
48,Accounts Payable,2518000,2532000,2520000,4956000,8373000,13078000,23768000,19740000,27765000,21897000,59417000
49,Short-Term Debt,187000,212000,- -,- -,- -,- -,- -,- -,5899000,6859000,6995000
50,Tax Payable,- -,21000,409000,- -,- -,286000,- -,9000,119000,301000,198000
51,Deferred Revenue,19667000,21084000,17470000,7905000,3072000,94000,- -,6902000,858000,363000,2601000
52,Other Current Liabilities,- -,21000,409000,- -,- -,286000,- -,12276000,13468000,23685000,31343000
53,Total Current Liabilities,22372000,23849000,20399000,12861000,11445000,13458000,23768000,38918000,47990000,52804000,100356000
54,Long-Term Debt,213000,- -,- -,- -,- -,- -,- -,- -,30720000,85116000,97966000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2964000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,908000,3162000,- -
58,Total Non-Current Liabilities,213000,- -,- -,- -,- -,- -,- -,- -,31628000,88278000,100930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,400000,212000,- -,- -,- -,- -,- -,- -,36619000,91975000,104961000
61,Total Liabilities,22585000,23849000,20399000,12861000,11445000,13458000,23768000,38918000,79618000,141082000,201286000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1448000,1448000,1448000,2272000,3374000,4354000,4967000,5659000,6443000,7217000,7646000
64,Retained Earnings,-3195000,-1946000,2134000,39559000,111277000,159254000,-263210000,-393307000,-611323000,- -,- -
65,Other Comprehensive Income/Loss,1980000,2054000,2719000,3979000,5678000,13005000,182244000,274391000,590671000,831494000,875989000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,263210000,393307000,611323000,- -,- -
67,Total Stockholders Equity,233000,1556000,6301000,45810000,120329000,176613000,187211000,280050000,597114000,838711000,883635000
68,Total Liabilities And Stockholders Equity,22818000,25405000,26700000,58671000,131774000,190071000,210979000,318968000,676732000,979793000,1084921000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22818000,25405000,26700000,58671000,131774000,190071000,210979000,318968000,676732000,979793000,1084921000
