,https://roic.ai/company/SELF,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2290000,1950000,1430000,1310000,1380000,1480000,1550000,1930000,1990000,2150000,2240000,1040000,450000,2437400,2731430,4976364,7472793,8110979,8668322,9196524,10508830
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2370,- -,2101976,3153887,3262603,3577358,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,2435030,- -,2874388,4318906,4848376,5090964,9196524,10508830
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.9990,- -,0.5776,0.5780,0.5978,0.5873,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449738,14295,198000,124428,- -,- -
6,General and Administrative Exp.,510000,400000,440000,510000,540000,600000,580000,520000,450000,660000,840000,940000,1120000,1305000,1187970,1406441,1941880,2024446,2251232,2388960,2369960
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",510000,400000,440000,510000,540000,600000,580000,520000,450000,660000,840000,940000,1120000,1305000,1187970,1406441,1941880,2024446,2251232,2399958,2369960
9,Other Expenses,- -,20000,10000,10000,- -,10000,10000,20000,20000,20000,10000,10000,10000,3690,3800,952507,1685260,1200358,1314480,-10998,- -
10,Operating Expenses,510000,420000,450000,520000,540000,610000,590000,540000,470000,680000,850000,950000,1130000,1308690,1191770,2808686,3641435,3422804,3690140,2388960,2369960
11,COGS and Expenses,510000,420000,450000,520000,540000,610000,590000,540000,470000,680000,850000,950000,1130000,1311060,1191770,4910662,6795322,6685407,7267498,2388960,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),230000,-970000,230000,820000,640000,-250000,30000,-780000,-1690000,2460000,3670000,1690000,2040000,4962450,4574310,456719,880834,897937,1075576,1180341,1046461
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,952507,1699555,1398358,1438908,1989761,2
15,EBITDA,1830000,-410000,2900000,3780000,-2020000,2170000,3330000,-6100000,5870000,8340000,2610000,6230000,3400000,11051240,10688280,1793361,2434099,2915743,3105103,3209973,2684962
16,EBITDA ratio,0.7991,-0.2103,2.0280,2.8855,-1.4638,1.4662,2.1484,-3.1606,2.9497,3.8791,1.1652,5.9904,7.5556,4.5340,3.9131,0.3604,0.3257,0.3595,0.3582,0.3490,0.2555
