,https://roic.ai/company/ATER,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,36459000,73279000,114451000,185704000,247767000
2,COGS,22781000,47296000,69411000,100958000,125904000
3,Gross Profit,13678000,25983000,45040000,84746000,121863000
4,Gross Profit Ratio,0.3752,0.3546,0.3935,0.4563,0.4918
5,Research and Development Exp.,3698000,3655000,10661000,8130000,9837000
6,General and Administrative Exp.,5645000,11290000,33506000,30631000,45099000
7,Selling and Marketing Exp.,26928000,40467000,55206000,68005000,- -
8,"Selling, General and Administrative Exp.",32573000,51757000,88712000,98636000,45099000
9,Other Expenses,- -,- -,- -,- -,101004000
10,Operating Expenses,36271000,55412000,99373000,106766000,155940000
11,COGS and Expenses,59052000,102708000,168784000,207724000,281844000
12,Interest Income ,1000,1000,146000,59000,- -
13,Interest Expense (Gain),413000,2354000,4532000,5038000,12655000
14,Depreciation and Amortization,258000,253000,183000,552000,- -
15,EBITDA,-22358000,-29161000,-54045000,-57488000,-222837000
16,EBITDA ratio,-0.6132,-0.3979,-0.4722,-0.3096,-0.8994
17,Operating Income,-22593000,-29429000,-54333000,-34751000,-34077000
18,Operating Income ratio,-0.6197,-0.4016,-0.4747,-0.1871,-0.1375
19,Total Other Income Expenses (Gains),-436000,-2339000,-4427000,-28327000,-201415000
20,Income Before Tax,-23029000,-31768000,-58760000,-63078000,-235492000
21,Income Before Tax Ratio,-0.6316,-0.4335,-0.5134,-0.3397,-0.9505
22,Income Tax expense (Gain),38000,55000,29000,48000,532000
23,Net Income,-23067000,-31823000,-58789000,-63126000,-236024000
24,Net Income ratio,-0.6327,-0.4343,-0.5137,-0.3399,-0.9526
25,EPS,-1.32,-1.81,-3.21,-3.68,-6.67
26,EPS Diluted,-1.32,-1.81,-3.21,-3.68,-6.67
27,Weighted Average Shares Outstanding,17540808,17540808,13516844,17167999,35379005
28,Weighted Average Shares Outstanding Diluted,17540808,17540808,13516844,17167999,35379005
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1757715/000156459020014235/0001564590-20-014235-index.html,- -,https://www.sec.gov/Archives/edgar/data/1757715/000156459022010668/0001564590-22-010668-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,5297000,20029000,30353000,26718000,30317000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5297000,20029000,30353000,26718000,30317000
34,Net Receivables,1333000,1403000,1059000,5747000,10478000
35,Inventory,20578000,30552000,36212000,31582000,63045000
36,Other Current Assets,3017000,5418000,5395000,11111000,21034000
