,https://roic.ai/company/SGMD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1802400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37629,141750,241398,70751,2908407,4348256,4100560,4439324,4637644,4362585,3979049
2,COGS,17300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59083,307671,257560,89937,2045592,2889754,2832798,3226365,3368659,2851940,2153311
3,Gross Profit,1785100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21454,-165921,-16162,-19186,862815,1458502,1267762,1212959,1268985,1510645,1825738
4,Gross Profit Ratio,0.9904,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.5701,-1.1705,-0.0670,-0.2712,0.2967,0.3354,0.3092,0.2732,0.2736,0.3463,0.4588
5,Research and Development Exp.,2917900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3613006,6184062,12691686,4490532
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,944535,1276803
8,"Selling, General and Administrative Exp.",4086800,- -,- -,- -,- -,- -,- -,33050,- -,111809,16257,3072306,3817320,1784490,706845,5192203,3451862,3986314,3613006,6184062,13636221,5767335
9,Other Expenses,448500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18402,18403,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7453200,- -,- -,- -,- -,- -,- -,- -,- -,111809,- -,3090708,3835723,1784490,706845,5192203,3451862,3986314,3613006,6184062,13636221,5767335
11,COGS and Expenses,7470500,- -,- -,- -,- -,- -,- -,33050,- -,111809,16257,3149791,4143394,2042050,796782,7237795,6341616,6819112,6839371,9552721,16488161,7920646
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20275,1376,487,50,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,5621,7647,93584,2156,646566,120292,64136,18789,352300,2077900,2445078,5436544,4317694
14,Depreciation and Amortization,-448500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18402,20014,1958,3299,57549,48587,42587,105558,71390,111432,108188
15,EBITDA,-6077100,- -,- -,- -,- -,- -,- -,-33050,- -,-111809,-16257,-3233387,-4299237,-1616246,-632019,-10108839,-2390794,-4318810,-4112968,-9712683,-15791170,-1500252
16,EBITDA ratio,-3.3717,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-85.9281,-30.3297,-6.6954,-8.9330,-3.4757,-0.5498,-1.0532,-0.9265,-2.0943,-3.6197,-0.3770
17,Operating Income,-5668100,- -,- -,- -,- -,- -,- -,-33050,- -,-111809,-16257,-3112162,-4320627,-1800652,-726031,-4329388,-1993360,-2718552,-1241947,-4915077,-12125567,-3941597
18,Operating Income ratio,-3.1448,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-82.7065,-30.4806,-7.4593,-10.2618,-1.4886,-0.4584,-0.6630,-0.2798,-1.0598,-2.7794,-0.9906
19,Total Other Income Expenses (Gains),39500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159902,-780,-464118,-29579,-5901136,-464810,-1995145,-4034562,-7314074,-9409004,-2172929
20,Income Before Tax,-5628600,- -,- -,- -,- -,- -,- -,-33050,- -,- -,- -,- -,-4321407,-2264770,-755610,-10230524,-2458170,-4713697,-5276509,-12229151,-21534571,-6114526
21,Income Before Tax Ratio,-3.1228,- -,- -,- -,- -,- -,- -,-Infinity,- -,- -,- -,- -,-30.4861,-9.3819,-10.6798,-3.5176,-0.5653,-1.1495,-1.1886,-2.6369,-4.9362,-1.5367
22,Income Tax expense (Gain),-15400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-5613200,- -,- -,- -,- -,- -,- -,-33050,- -,-117430,-23904,-3345373,-4321407,-2264770,-755610,-10230524,-2458170,-4713697,-6296426,-12229151,-21339146,-5926134
24,Net Income ratio,-3.1143,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-88.9041,-30.4861,-9.3819,-10.6798,-3.5176,-0.5653,-1.1495,-1.4183,-2.6369,-4.8914,-1.4893
25,EPS,-0.61,- -,- -,- -,- -,- -,- -,-0.01,- -,-0.01,-0.00,-1.12,-0.42,-0.22,-0.07,-0.11,-0.01,-0.02,-0.03,-0.02,-0.02,-0.00
26,EPS Diluted,-0.61,- -,- -,- -,- -,- -,- -,-0.01,- -,-0.01,-0.00,-1.12,-0.42,-0.22,-0.07,-0.11,-0.01,-0.02,-0.03,-0.02,-0.02,-0.00
27,Weighted Average Shares Outstanding,9199221,- -,- -,- -,- -,- -,- -,2245768,- -,9199192,9199192,2989170,10341039,10504279,10538526,95878436,172845853,202675344,237925753,496507241,939171416,3851836959
28,Weighted Average Shares Outstanding Diluted,9199221,- -,- -,- -,- -,- -,- -,2245768,- -,9199192,9199192,2989170,10341039,10504279,10538526,95878436,172845853,202675344,237925753,496507241,939171416,3851836959
29,SEC Link,- -,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/919175/000135448812005653/0001354488-12-005653-index.htm,- -,https://www.sec.gov/Archives/edgar/data/919175/000152013815000247/0001520138-15-000247-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013816001071/0001520138-16-001071-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013816001218/0001520138-16-001218-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013818000033/0001520138-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013818000348/0001520138-18-000348-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013819000392/0001520138-19-000392-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013820000490/0001520138-20-000490-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000149315221025284/0001493152-21-025284-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1606764,192100,159381,- -,58260,911,101880,42121,34371,441004,1396944
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1451922
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1606764,192100,159381,- -,58260,911,101880,42121,34371,441004,2848866
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8081,18700,42249,11487,230008,137866,123218,611495,303678,258417,435598
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88798,159255,69319,617557,468262,568229,531249,356285,679471,441582
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45125,20057,- -,52832,84504,190338,756567,2719875,533767,425863
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1614845,344723,380942,80806,958657,691543,983665,1941432,3414209,1912659,4151909
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5257,3299,- -,119150,78453,61792,195180,476585,1334709,3235593
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,757648
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337386,- -,- -,- -,1814,- -,73125,12600,11200,- -,10650394
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337386,- -,- -,- -,1814,- -,73125,12600,11200,9800,11408042
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441407
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3994,3994,4705,10500,33781,23281,27081,38751,18023970,250163,196000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341380,9251,8004,10500,154745,101734,161998,246531,18511755,1594672,15281042
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1956225,353974,388946,91306,1113402,793277,1145663,2187963,21925964,3507331,19432951
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,6268,69075,- -,- -,143070,- -,390138,1042766,1891152,1778220,1727402,1707641,1431379,1583228,1464692
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,610000,1060982,1304429,961773,2019884,2827952,1355476,2529073,2292107
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341821,295895,439651,391768,567475,811872
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,16049,- -,190577,20385,45258,264742,614819,808078,800003,985109,2202975,7405862,4068808,7000484,4246580
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,22317,69075,190577,20385,188328,414742,1614957,2911826,3995584,4066923,6246156,12381106,7247431,11680260,8815251
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,525000,- -,- -,- -,- -,- -,- -,965675,5847482
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326452,- -,- -,1,- -,- -,-1,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,851452,- -,- -,1,- -,- -,-1,965675,5847482
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1140014,763670
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,22317,69075,190577,20385,188328,414742,2466409,2911826,3995584,4066924,6246156,12381106,7247430,12645935,14662733
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,3542,542
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,9199,9199,9199,9199,- -,10289,10539,10539,157746,178686,226735,246136,697610,1763278,7402536
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-34516,- -,-238704,-262608,-3819231,-8140638,-10405408,-11161019,-21391542,-23849712,-28563409,-34859835,-47088950,-68438332,-74364466
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-121274,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429116,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,3000,- -,43000,237154,5587128,8069581,8317406,8329960,18351614,20397379,23236181,24420556,61067875,57972891,71831262
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-22317,-69075,-186505,-16255,1767897,-60768,-2077463,-2820520,-2882182,-3273647,-5100493,-10193143,14678535,-9127737,4869874
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1956225,353974,388946,91306,1113402,793277,1145663,2187963,21925965,3518198,19532607
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,-10867,-99656
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1956225,353974,388946,91306,1113402,793277,1145663,2187963,21925964,3507331,19432951
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/919175/000135448812005653/0001354488-12-005653-index.htm,- -,https://www.sec.gov/Archives/edgar/data/919175/000152013815000247/0001520138-15-000247-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013816001071/0001520138-16-001071-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013816001218/0001520138-16-001218-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013818000033/0001520138-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013818000348/0001520138-18-000348-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013819000392/0001520138-19-000392-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013820000490/0001520138-20-000490-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000149315221025284/0001493152-21-025284-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5613200,- -,- -,- -,- -,- -,- -,-33050,- -,-117430,-23904,-3345373,-4321407,-2264770,-755610,-10230524,-2458170,-4713697,-6296426,-12229151,-21339146,-5926134
74,Depreciation and Amortization,-448500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18402,20014,1958,3299,57549,48587,42587,105558,71390,111432,108188
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99737,204404,49692,- -,681668,1246000,1257261,1038270,4280136,9225076,518394
77,Change in Working Capital,-22317,- -,- -,- -,- -,- -,- -,-46758,- -,-117430,170250,1442772,-1496536,-1163996,-1597005,-205907,-338453,-1887111,-5177183,6606452,-5934379,391155
78,Accounts Receivable,1281500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201,-11839,-51549,- -,166615,-76394,95638,-340405,235478,83628,-301081
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21989,-284678,-139907,89936,17050,149296,-170300,36980,173915,-323186,93020
80,Accounts Payable,52900,- -,- -,- -,- -,- -,- -,- -,- -,114511,- -,- -,- -,- -,- -,- -,- -,- -,222010,108581,423199,1122211
81,Other Working Capital,-22317,- -,- -,- -,- -,- -,- -,-69075,- -,-186505,-16255,1426517,-70019,-1234015,-2831020,-3036927,-3375380,-5262491,-10439674,-3833222,-9767601,244397
82,Other Non-Cash Items,2201517,- -,- -,- -,- -,- -,- -,79808,- -,238932,-148207,851616,3381291,2359397,2263953,7882192,922505,3382750,7435571,-1052058,15952141,593565
83,Cash Provided by Operating Activities,-3882500,- -,- -,- -,- -,- -,- -,- -,- -,4072,-1861,-932846,-2212234,-1017719,-85363,-1815022,-579531,-1918210,-2894210,-2323231,-1984876,-4314832
84,CAPEX,-46400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6868,- -,- -,-31558,-6077,-24052,-178421,-351395,-132494,-69265
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-302947
87,Sales/Maturities of Investments,245500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-48600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249186,79050,- -,-7325,- -,- -,2
89,Cash Used for Investing Activites,150500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6868,- -,- -,217628,72973,-24052,-178421,-351395,-132494,-372210
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2081,- -,-5000,-10000,-124018,-147000,-280791,- -,-226078,-5000,-2573,-784039
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2732000,659438,- -,- -,290000,230000,250000,82000,205000,826280,4171000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,-234000,150000,995000,50000,1512654,500000,1793231,3156950,2466876,1700296,2256021
95,Cash Used/Provided by Financing Activities,2869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1919,2498000,804438,985000,-74018,1655654,449209,2043231,3012872,2666876,2524003,5642982
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-863000,- -,- -,- -,- -,- -,- -,- -,- -,- -,58,1565154,-1414664,-32719,- -,- -,-57349,100969,-59759,-7750,406633,955940
98,Cash at the End of Period,182600,- -,- -,- -,- -,- -,- -,- -,- -,4072,4130,1606764,192100,159381,- -,58260,911,101880,42121,34371,441004,1396944
99,Cash at the Beginning of Period,1045600,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072,41610,1606764,192100,159381,- -,58260,911,101880,42121,34371,441004
100,Free Cash Flow,-3928900,- -,- -,- -,- -,- -,- -,- -,- -,4072,-1861,-932846,-2219102,-1017719,-85363,-1846580,-585608,-1942262,-3072631,-2674626,-2117370,-4384097
101,SEC Link,- -,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/919175/000135448812005653/0001354488-12-005653-index.htm,- -,https://www.sec.gov/Archives/edgar/data/919175/000152013815000247/0001520138-15-000247-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013816001071/0001520138-16-001071-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013816001218/0001520138-16-001218-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013818000033/0001520138-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013818000348/0001520138-18-000348-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013819000392/0001520138-19-000392-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000152013820000490/0001520138-20-000490-index.htm,https://www.sec.gov/Archives/edgar/data/919175/000149315221025284/0001493152-21-025284-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
