,https://roic.ai/company/LAC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4290000,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6103000,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1813000,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4226,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,4420000,2838000,2521000,2521000,- -,4762000,10015000,8525000,- -,- -
6,General and Administrative Exp.,- -,14033,2190000,2720000,4950000,5940000,3680000,3759000,4082000,4082000,- -,18657000,13249000,10578000,14141000,15512000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,14033,2190000,2720000,4950000,5940000,3680000,3759000,4082000,4082000,- -,18657000,13249000,10578000,14141000,15512000
9,Other Expenses,- -,- -,-102588,689962,47104,-298678,- -,-1612000,-6000,- -,- -,51000,2338000,1335000,17924000,36228000
10,Operating Expenses,- -,- -,2087412,3409962,4997104,5641322,8100000,4985000,6597000,6603000,- -,23470000,25602000,20438000,32065000,51740000
11,COGS and Expenses,- -,63495,2130000,2900000,5040000,5650000,8090000,6597000,6603000,6603000,- -,34423000,18574000,-57702000,32065000,51740000
12,Interest Income ,- -,- -,15236,24607,59437,100222,67000,22000,38000,29000,- -,- -,- -,855000,1469000,5165000
13,Interest Expense (Gain),- -,- -,63575,3094,12729,- -,- -,- -,- -,- -,- -,- -,- -,2928000,3642000,14273000
14,Depreciation and Amortization,- -,282,- -,- -,- -,- -,6000,9000,22000,151000,- -,939000,1364000,1062000,687000,925000
15,EBITDA,- -,-63213,-2130000,-2900000,-5040000,-5650000,-8080000,-6587000,-6581000,-6452000,- -,-32311000,-17210000,58764000,-31867000,-40059000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-7.5317,-Infinity,Infinity,-Infinity,-Infinity
17,Operating Income,- -,-63495,-2087412,-3413055,-5009833,-5641322,-8100000,-4985000,-6603000,-6603000,- -,-30133000,-18574000,57702000,-32065000,-51740000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-7.0240,-Infinity,Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-42588,513055,-30167,-8678,10000,3685000,-952000,-952000,- -,-3117000,4752000,-2399000,-1937000,13130000
20,Income Before Tax,- -,- -,-2130000,-2900000,-5040000,-5650000,-8090000,-1300000,-7555000,-7555000,- -,-33250000,-13822000,55303000,-34002000,-38610000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-7.7506,-Infinity,Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1445000,1219000,- -
23,Net Income,- -,-63495,-2130000,-2900000,-5040000,-5650000,-8090000,-1300000,-7555000,-7555000,- -,-33250000,-28267000,51665000,-36234000,-38488000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-7.7506,-Infinity,Infinity,-Infinity,-Infinity
25,EPS,- -,-0.01,-0.76,-0.28,-0.29,-0.29,-0.40,0.02,-0.05,-0.30,- -,-0.44,-0.32,0.58,-0.39,-0.32
26,EPS Diluted,- -,-0.01,-0.76,-0.28,-0.29,-0.29,-0.40,0.02,-0.05,-0.30,- -,-0.44,-0.32,0.56,-0.39,-0.32
27,Weighted Average Shares Outstanding,- -,10244000,2742459,11145166,16344857,18386400,20144400,20311400,21690000,26633600,57846600,75979000,88598000,89138000,91831000,118808000
28,Weighted Average Shares Outstanding Diluted,- -,10244000,2742459,11145166,16344857,18386400,20144400,20333000,21690000,26633600,57846600,75979000,88598000,91750000,91831000,118808000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1440972/000156459018007027/0001564590-18-007027-index.html,https://www.sec.gov/Archives/edgar/data/1440972/000156459019010471/0001564590-19-010471-index.html,https://www.sec.gov/Archives/edgar/data/1440972/000156459020010927/0001564590-20-010927-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4800000,900000,1100000,2400000,700000,11400000,7160000,5552000,8056000,55394000,52968000,53894000,148070000,510607000
32,Short-Term Investments,- -,- -,- -,5200000,13300000,8300000,2600000,- -,- -,- -,- -,- -,- -,29720000,- -,- -
33,Cash and Short-Term Investments,- -,- -,4800000,6100000,14400000,10700000,3300000,11400000,7160000,5552000,8056000,55394000,52968000,83614000,148070000,510607000
34,Net Receivables,- -,- -,- -,- -,- -,200000,- -,- -,158000,823000,979000,1017000,1947000,2595000,1250000,1968000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,124000,426000,531000,2086000,1617000,1236000,- -,- -
36,Other Current Assets,- -,- -,- -,200000,100000,300000,300000,100000,373000,254000,833000,2721000,-9597000,5469000,5020000,20000000
37,Total Current Assets,- -,- -,4800000,6300000,14500000,11200000,3600000,11500000,7815000,7055000,10399000,61218000,46935000,92914000,154340000,532575000
38,PP&E,- -,220469,2300000,5000000,10500000,24600000,9600000,3700000,16389000,61336000,19949000,20174000,8963000,162776000,6277000,10008000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13136000,19637000,35282000,- -,- -,169314000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1445000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,400000,150000,150000,1817000,12462000,12759000,36664000,166106000,105445000
45,Total Non-Current Assets,- -,- -,2300000,5000000,10500000,24600000,9600000,4100000,16539000,61486000,34902000,52273000,57004000,200885000,172383000,284767000
46,Other Assets,- -,220469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,220469,7100000,11300000,25000000,35800000,13200000,15600000,24354000,68541000,45301000,113491000,103939000,293799000,326723000,817342000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,105000,134000,2930000,169000,178000,539000,3111000,3550000,909000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,100000,700000,600000,700000,300000,495000,1781000,3285000,1637000,3546000,2822000,11879000,5204000,7347000
53,Total Current Liabilities,- -,- -,100000,700000,600000,700000,300000,600000,1915000,6215000,1806000,3724000,3361000,14990000,8754000,8256000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1200000,1186000,1111000,902000,751000,18027000,117110000,121221000,264071000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,200000,170000,300000,170000,249000,269000,2078000,6045000,8700000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1400000,1356000,1411000,1072000,1000000,18296000,119188000,127266000,272771000
59,Other Liabilities,- -,220469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,104000,164000,113000,96000,169000,- -,- -,- -
61,Total Liabilities,- -,220469,100000,700000,600000,700000,300000,2000000,3271000,7626000,2878000,4724000,21657000,134178000,136020000,281027000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,7300000,12500000,29100000,43800000,44800000,45100000,53036000,99318000,- -,197390000,197991000,200913000,307152000,689993000
