,https://roic.ai/company/MYO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1103277,1558866,2444104,3837730,7583371,- -
2,COGS,282164,505280,728279,917623,2600375,- -
3,Gross Profit,821113,1053586,1715825,2920107,4982996,- -
4,Gross Profit Ratio,0.7442,0.6759,0.7020,0.7609,0.6571,- -
5,Research and Development Exp.,1120951,1751731,1838633,2160588,1669188,- -
6,General and Administrative Exp.,- -,5849969,10405609,11554522,13816494,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,5849969,10405609,11554522,13816494,- -
9,Other Expenses,2975164,- -,- -,- -,- -,- -
10,Operating Expenses,4096115,7601700,12244242,13715110,15485682,- -
11,COGS and Expenses,4378279,8106980,12972521,14632733,18086057,24124439
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,474709,- -
14,Depreciation and Amortization,7731,11415,69682,95124,108670,- -
15,EBITDA,-3609291,-12086064,-10247057,-10617885,-10980532,- -
16,EBITDA ratio,-3.2714,-7.7531,-4.1926,-2.7667,-1.4480,- -
17,Operating Income,-3275002,-6548114,-10528417,-10795003,-10502686,-10268065
18,Operating Income ratio,-2.9684,-4.2006,-4.3077,-2.8129,-1.3850,-Infinity
19,Total Other Income Expenses (Gains),-342020,-5549365,211678,81994,-1061225,- -
20,Income Before Tax,-3617022,-12097479,-10316739,-10713009,-11563911,- -
21,Income Before Tax Ratio,-3.2784,-7.7604,-4.2211,-2.7915,-1.5249,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-3617022,-12097479,-10316739,-10713009,-11563911,- -
24,Net Income ratio,-3.2784,-7.7604,-4.2211,-2.7915,-1.5249,- -
25,EPS,-20.52,-87.90,-25.20,-19.33,-3.67,-1.89
26,EPS Diluted,-20.52,-87.90,-25.20,-19.33,-3.67,-1.89
27,Weighted Average Shares Outstanding,213668,143927,409742,554330,3329868,5830353
28,Weighted Average Shares Outstanding Diluted,213668,143927,409742,554330,3329868,5830353
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1369290/000119312518079222/0001193125-18-079222-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459019007350/0001564590-19-007350-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459020010809/0001564590-20-010809-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459021012068/0001564590-21-012068-index.htm,https://www.sec.gov/Archives/edgar/data/1369290/000156459022009827/0001564590-22-009827-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,797174,12959373,6540794,4465455,12241261,15524378
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,797174,12959373,6540794,4465455,12241261,15524378
34,Net Receivables,114506,297039,382258,424287,924916,- -
35,Inventory,82435,201155,256149,439533,707114,- -
36,Other Current Assets,152337,388275,695276,820206,572684,- -
37,Total Current Assets,1146452,13845842,7874477,6149481,14445975,- -
38,PP&E,21563,77150,187513,154972,263807,- -
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
