,https://roic.ai/company/LSPD,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,30749000,42612000,57079000,77451000,120637000,221728000
2,COGS,12487000,15002000,17479000,23573000,43199000,94427000
3,Gross Profit,18262000,27610000,39600000,53878000,77438000,127301000
4,Gross Profit Ratio,0.5939,0.6479,0.6938,0.6956,0.6419,0.5741
5,Research and Development Exp.,11418000,13677000,13295000,18283000,31812000,54787000
6,General and Administrative Exp.,7742000,9054000,9225000,13790000,24486000,53035000
7,Selling and Marketing Exp.,21821000,29715000,33228000,39043000,55388000,97048000
8,"Selling, General and Administrative Exp.",29563000,38769000,42453000,52833000,79874000,150083000
9,Other Expenses,4396000,5807000,5119000,4537000,13467000,36483000
10,Operating Expenses,45377000,58253000,60867000,75653000,125153000,241353000
11,COGS and Expenses,57864000,73255000,78346000,99226000,168352000,335780000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4396000,5807000,5119000,4537000,8846000,36483000
15,EBITDA,-44092000,-48403000,-76814000,-209717000,-47795000,-93587000
16,EBITDA ratio,-1.4339,-1.1359,-1.3457,-2.7077,-0.3962,-0.4221
17,Operating Income,-31941000,-34002000,-21922000,-23216000,-58407000,-129717000
18,Operating Income ratio,-1.0388,-0.7979,-0.3841,-0.2998,-0.4842,-0.5850
19,Total Other Income Expenses (Gains),-16547000,-20208000,-60011000,-191038000,1766000,-353000
20,Income Before Tax,-48488000,-54210000,-81933000,-214254000,-56641000,-130070000
21,Income Before Tax Ratio,-1.5769,-1.2722,-1.4354,-2.7663,-0.4695,-0.5866
22,Income Tax expense (Gain),2631000,4194000,14246000,-30729000,-3110000,-5792000
23,Net Income,-51119000,-58404000,-96179000,-183525000,-53531000,-124278000
24,Net Income ratio,-1.6625,-1.3706,-1.6850,-2.3696,-0.4437,-0.5605
25,EPS,-0.63,-0.72,-1.18,-5.53,-0.62,-1.18
26,EPS Diluted,-0.63,-0.72,-1.18,-5.53,-0.62,-1.18
27,Weighted Average Shares Outstanding,81486896,81486896,81486896,33203567,85890314,105221907
