,https://roic.ai/company/MRNA,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,108396000,205825000,135068000,60209000,803395000,18471000000
2,COGS,- -,- -,- -,- -,7933000,2617000000
3,Gross Profit,- -,- -,- -,- -,795462000,15854000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9901,0.8583
5,Research and Development Exp.,274717000,410459000,454082000,496309000,1370339000,1991000000
6,General and Administrative Exp.,57450000,64722000,94252000,109620000,188267000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",57450000,64722000,94252000,109620000,188267000,567000000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,332167000,475181000,548334000,605929000,1558606000,2558000000
11,COGS and Expenses,332167000,475181000,548334000,605929000,1566539000,5175000000
12,Interest Income ,11312000,15235000,27023000,38530000,24715000,18000000
13,Interest Expense (Gain),- -,- -,- -,6612000,9886000,18000000
14,Depreciation and Amortization,15114000,20537000,24862000,31021000,31251000,232000000
15,EBITDA,-200054000,-235459000,-359546000,-477083000,-703376000,13535000000
16,EBITDA ratio,-1.8456,-1.1440,-2.6620,-7.9238,-0.8755,0.7328
17,Operating Income,-223771000,-269356000,-413266000,-545720000,-763144000,13296000000
18,Operating Income ratio,-2.0644,-1.3087,-3.0597,-9.0638,-0.9499,0.7198
19,Total Other Income Expenses (Gains),8603000,13360000,28858000,31004000,18631000,-11000000
20,Income Before Tax,-215168000,-255996000,-384408000,-514716000,-744513000,13285000000
21,Income Before Tax Ratio,-1.9850,-1.2438,-2.8460,-8.5488,-0.9267,0.7192
22,Income Tax expense (Gain),1043000,-80000,326000,-695000,2551000,1083000000
23,Net Income,-216211000,-255916000,-384734000,-514021000,-747064000,12202000000
24,Net Income ratio,-1.9946,-1.2434,-2.8484,-8.5373,-0.9299,0.6606
25,EPS,-0.78,-0.97,-1.17,-1.55,-1.96,30.31
26,EPS Diluted,-0.78,-0.97,-1.17,-1.55,-1.96,28.29
27,Weighted Average Shares Outstanding,296680997,269648890,328798904,330802136,381333059,403000000
28,Weighted Average Shares Outstanding Diluted,296680997,269648890,328798904,330802136,381333059,431000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/0001682852-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1682852/000168285221000006/0001682852-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1682852/000168285222000012/0001682852-22-000012-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,50080000,134859000,658364000,235876000,2623850000,6848000000
32,Short-Term Investments,1008058000,621170000,863063000,867124000,1983758000,3879000000
33,Cash and Short-Term Investments,1058138000,756029000,1521427000,1103000000,4607608000,10727000000
34,Net Receivables,17951000,16656000,30583000,16297000,1410527000,3296000000
35,Inventory,- -,- -,- -,- -,46527000,1441000000
36,Other Current Assets,11063000,10538000,10996000,9507000,233217000,607000000
37,Total Current Assets,1087152000,783223000,1563006000,1128804000,6297879000,16071000000
38,PP&E,81207000,139031000,211977000,287909000,387090000,1383000000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,236569000,145851000,172990000,159987000,638848000,6843000000
43,Tax Assets,- -,- -,- -,- -,- -,326000000
44,Other Non-Current Assets,12233000,16384000,14176000,12722000,12933000,46000000
45,Total Non-Current Assets,330009000,301266000,399143000,460618000,1038871000,8598000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1417161000,1084489000,1962149000,1589422000,7336750000,24669000000
48,Accounts Payable,28157000,20725000,31210000,7090000,18359000,302000000
49,Short-Term Debt,- -,- -,- -,- -,97421000,211000000
50,Tax Payable,- -,- -,- -,- -,- -,876000000
51,Deferred Revenue,107739000,96739000,109056000,63310000,3867193000,6253000000
52,Other Current Liabilities,26906000,73997000,82537000,72715000,405835000,2362000000
53,Total Current Liabilities,162802000,191461000,222803000,143115000,4388808000,9128000000
54,Long-Term Debt,- -,- -,- -,- -,97421000,705000000
55,Deferred Revenue,394250000,242929000,165352000,138995000,177419000,615000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,18258000,24803000,43753000,132502000,111727000,76000000
58,Total Non-Current Liabilities,412508000,267732000,209105000,271497000,386567000,1396000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,12500000,15687000,33489000,132364000,207295000,916000000
61,Total Liabilities,575310000,459193000,431908000,414612000,4775375000,10524000000
62,Preferred Stock,1176661000,1176661000,- -,- -,- -,- -
63,Common Stock,6000,6000,33000,34000,40000,- -
64,Retained Earnings,-365718000,-621893000,-1006627000,-1496454000,-2243518000,9958000000
65,Other Comprehensive Income/Loss,-27809000,-48031000,-64456000,2000000,3004,-24000000
66,Other Total Stockholders Equity,58711000,118553000,2601291000,2669230000,4804849996,- -
67,Total Stockholders Equity,841851000,625296000,1530241000,1174810000,2561375000,14145000000
68,Total Liabilities And Stockholders Equity,1417161000,1084489000,1962149000,1589422000,7336750000,24669000000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1417161000,1084489000,1962149000,1589422000,7336750000,24669000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/0001682852-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1682852/000168285221000006/0001682852-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1682852/000168285222000012/0001682852-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-216211000,-255916000,-384734000,-514021000,-747064000,12202000000
74,Depreciation and Amortization,15114000,20537000,24862000,31021000,31251000,232000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,39360000,40055000,72565000,81122000,93021000,142000000
77,Change in Working Capital,225993000,-332588000,748441000,-354514000,923382000,990000000
78,Accounts Receivable,52337000,106000,832000,7216000,-1385191000,-1784000000
79,Inventory,- -,- -,- -,- -,-46527000,-1394000000
80,Accounts Payable,5993000,-12766000,15017000,-23964000,11875000,204000000
81,Other Working Capital,924350000,591762000,1340203000,985689000,1909071000,2506000000
82,Other Non-Cash Items,2478000,196428000,-791999000,297424000,1726381000,54000000
83,Cash Provided by Operating Activities,66734000,-331484000,-330865000,-458968000,2026971000,13620000000
84,CAPEX,-33144000,-58401000,-105766000,-31554000,-67448000,-284000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1415461000,-727203000,-1227709000,-1145226000,-2956295000,-12652000000
87,Sales/Maturities of Investments,808900000,1202968000,960381000,1161835000,1351815000,4443000000
88,Other Investing Activites,-8902000,-1269000,622000,- -,- -,-30000000
89,Cash Used for Investing Activites,-648607000,416095000,-372472000,-14945000,-1671928000,-8523000000
90,Debt Repayment,- -,- -,-2175000,- -,-6215000,-140000000
91,Common Stock Issued,- -,- -,563026000,- -,1852725000,- -
92,Common Stock Repurchased,- -,- -,-8182000,- -,- -,-857000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,472910000,168000,674173000,51121000,186683000,124000000
95,Cash Used/Provided by Financing Activities,472910000,168000,1226842000,51121000,2033193000,-873000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-108963000,84779000,523505000,-422792000,2388236000,4224000000
98,Cash at the End of Period,50080000,134859000,658364000,247699000,2635935000,6860000000
99,Cash at the Beginning of Period,159043000,50080000,134859000,670491000,247699000,2636000000
100,Free Cash Flow,33590000,-389885000,-436631000,-490522000,1959523000,13336000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1682852/000168285220000006/0001682852-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1682852/000168285221000006/0001682852-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1682852/000168285222000012/0001682852-22-000012-index.htm
102,false,,,,,,
