,https://roic.ai/company/STRO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,59731000,51741000,38419000,42736000,42722000,61880000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,42722000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,43550000,54639000,54262000,65612000,76961000,104400000
6,General and Administrative Exp.,14817000,16374000,21380000,32592000,36818000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14817000,16374000,21380000,32592000,36818000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,58367000,71013000,75642000,98204000,113779000,- -
11,COGS and Expenses,58367000,71013000,75642000,98204000,113779000,- -
12,Interest Income ,251000,273000,1616000,4074000,1508000,577000
13,Interest Expense (Gain),- -,612000,1623000,- -,4077000,- -
14,Depreciation and Amortization,5662000,4990000,4539000,4777000,4297000,4844000
15,EBITDA,7364000,-14086000,-29155000,-50967000,-23754000,-93103000
16,EBITDA ratio,0.1233,-0.2722,-0.7589,-1.1926,-0.5560,-1.5046
17,Operating Income,1364000,-19272000,-37223000,-55468000,-71057000,-98524000
18,Operating Income ratio,0.0228,-0.3725,-0.9689,-1.2979,-1.6632,-1.5922
19,Total Other Income Expenses (Gains),338000,-416000,1906000,-276000,38929000,- -
20,Income Before Tax,1702000,-19688000,-35317000,-55744000,-32128000,- -
21,Income Before Tax Ratio,0.0285,-0.3805,-0.9193,-1.3044,-0.7520,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,1702000,-19688000,-35317000,-55744000,-32128000,- -
24,Net Income ratio,0.0285,-0.3805,-0.9193,-1.3044,-0.7520,- -
25,EPS,0.24,-3.54,-6.13,-2.43,-0.99,-2.29
26,EPS Diluted,0.24,-3.54,-6.13,-2.43,-0.99,-2.29
27,Weighted Average Shares Outstanding,6997394,5511350,5758875,22958577,32573469,46119089
28,Weighted Average Shares Outstanding Diluted,6997394,5511350,5758875,22958577,32573469,46119089
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1382101/000156459019010253/0001564590-19-010253-index.htm,https://www.sec.gov/Archives/edgar/data/1382101/000156459020010890/0001564590-20-010890-index.htm,https://www.sec.gov/Archives/edgar/data/1382101/000156459021013945/0001564590-21-013945-index.htm,https://www.sec.gov/Archives/edgar/data/1382101/000095017022002312/0000950170-22-002312-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,11593000,22020000,125298000,4960000,206152000,30414000
32,Short-Term Investments,35928000,- -,79194000,112904000,161985000,167524000
33,Cash and Short-Term Investments,47521000,22020000,204492000,117864000,368137000,197938000
34,Net Receivables,577000,1624000,2489000,6298000,5559000,- -
