,https://roic.ai/company/SMAR,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,40751000,66964000,111253000,177722000,270882000,385513000,550832000
2,COGS,8597000,14133000,21682000,33849000,52900000,85539000,116473000
3,Gross Profit,32154000,52831000,89571000,143873000,217982000,299974000,434359000
4,Gross Profit Ratio,0.7890,0.7889,0.8051,0.8095,0.8047,0.7781,0.7886
5,Research and Development Exp.,12900000,19640000,37590000,58841000,95469000,118722000,165440000
6,General and Administrative Exp.,5163000,8275000,28034000,34049000,50227000,71443000,109204000
7,Selling and Marketing Exp.,28440000,40071000,72925000,106067000,176060000,230281000,329751000
8,"Selling, General and Administrative Exp.",33603000,48346000,100959000,140116000,226287000,301724000,438955000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,46503000,67986000,138549000,198957000,321756000,420446000,604395000
11,COGS and Expenses,55100000,82119000,160231000,232806000,374656000,505985000,720868000
12,Interest Income ,- -,- -,- -,- -,8410000,1444000,48000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,567000,989000,4076000,7704000,13449000,17255000,21765000
15,EBITDA,-13782000,-14195000,-45337000,-45888000,-82377000,-101477000,-149036000
16,EBITDA ratio,-0.3382,-0.2120,-0.4075,-0.2582,-0.3041,-0.2632,-0.2706
17,Operating Income,-14349000,-15155000,-48978000,-55084000,-103774000,-120472000,-170036000
18,Operating Income ratio,-0.3521,-0.2263,-0.4402,-0.3099,-0.3831,-0.3125,-0.3087
19,Total Other Income Expenses (Gains),- -,-29000,-435000,1492000,7948000,1740000,-765000
20,Income Before Tax,-14349000,-15184000,-49413000,-53592000,-95826000,-118732000,-170801000
21,Income Before Tax Ratio,-0.3521,-0.2267,-0.4441,-0.3015,-0.3538,-0.3080,-0.3101
22,Income Tax expense (Gain),- -,- -,-307000,293000,114000,-3753000,296000
23,Net Income,-14349000,-15184000,-49106000,-53885000,-95940000,-114979000,-171097000
24,Net Income ratio,-0.3521,-0.2267,-0.4414,-0.3032,-0.3542,-0.2982,-0.3106
25,EPS,-0.17,-0.83,-0.62,-0.65,-0.85,-0.95,-1.36
26,EPS Diluted,-0.17,-0.83,-0.62,-0.65,-0.85,-0.95,-1.36
27,Weighted Average Shares Outstanding,84868000,18273000,84868000,83141000,112991000,120663000,126118000
28,Weighted Average Shares Outstanding Diluted,84868000,18273000,84868000,83141000,112991000,120663000,126118000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1366561/000136656119000014/0001366561-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1366561/000136656120000019/0001366561-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1366561/000136656121000036/0001366561-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1366561/000136656122000045/0001366561-22-000045-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,22086000,58158000,213085000,515924000,442200000,449074000
32,Short-Term Investments,- -,10149000,- -,- -,50532000,- -,- -
33,Cash and Short-Term Investments,- -,32235000,58158000,213085000,566456000,442200000,449074000
34,Net Receivables,- -,5410000,14870000,30173000,56863000,102648000,151138000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2224000,4628000,3922000,7643000,13524000,34390000
37,Total Current Assets,- -,39869000,77656000,247180000,630962000,558372000,634602000
38,PP&E,- -,8812000,17237000,22540000,84571000,109694000,104006000
39,Goodwill,- -,- -,445000,5496000,16497000,125605000,125605000
40,Intangible Assets,- -,43000,1547000,1827000,15155000,54139000,44096000
41,Intangible Assets,- -,43000,1992000,7323000,31652000,179744000,169701000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,7529000,19719000,31701000,50529000,63979000,94523000
45,Total Non-Current Assets,- -,16384000,38948000,61564000,166752000,353417000,368230000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,56253000,116604000,308744000,797714000,911789000,1002832000
48,Accounts Payable,- -,1985000,2641000,4658000,7720000,2851000,1506000
49,Short-Term Debt,- -,- -,- -,- -,- -,17059000,18003000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,32646000,57102000,95766000,157972000,222689000,332285000
52,Other Current Liabilities,- -,9484000,19147000,35869000,67548000,65124000,85645000
53,Total Current Liabilities,- -,44115000,78890000,136293000,233240000,307723000,437439000
54,Long-Term Debt,- -,- -,- -,- -,- -,71925000,58237000
55,Deferred Revenue,- -,66000,179000,367000,837000,1308000,2377000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4555000,5589000,5092000,49577000,3904000,- -
58,Total Non-Current Liabilities,- -,4621000,5768000,5459000,50414000,77137000,60614000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,5742000,6546000,5932000,65062000,88984000,- -
61,Total Liabilities,- -,48736000,84658000,141752000,283654000,384860000,498053000
62,Preferred Stock,- -,60260000,112687000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-57527000,-106633000,-160518000,-256458000,- -,-542534000
65,Other Comprehensive Income/Loss,- -,-1645000,-5173000,-11522000,-21418000,-371437000,- -
66,Other Total Stockholders Equity,- -,66689000,143752000,339032000,791936000,- -,1047313000
67,Total Stockholders Equity,- -,7517000,31946000,166992000,514060000,526929000,504779000
68,Total Liabilities And Stockholders Equity,- -,56253000,116604000,308744000,797714000,911789000,1002832000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,56253000,116604000,308744000,797714000,911789000,1002832000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1366561/000136656119000014/0001366561-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1366561/000136656120000019/0001366561-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1366561/000136656121000036/0001366561-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1366561/000136656122000045/0001366561-22-000045-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-14349000,-15184000,-49106000,-53885000,-95940000,-114979000,-171097000
74,Depreciation and Amortization,567000,989000,4076000,7704000,13449000,17255000,21765000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1679000,1134000,18464000,15903000,37493000,71750000,114900000
77,Change in Working Capital,6249000,-11146000,3012000,112121000,286835000,-147073000,-53486000
78,Accounts Receivable,-1270000,-2829000,-9455000,-15265000,-25965000,-43112000,-48575000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,522000,578000,704000,2031000,3593000,-4915000,-1331000
81,Other Working Capital,6900000,-4246000,-1234000,110887000,397722000,250649000,197163000
82,Other Non-Cash Items,1194000,24265000,9973000,-84698000,-252707000,157399000,84406000
83,Cash Provided by Operating Activities,-4660000,58000,-13581000,-2855000,-10870000,-15648000,-3512000
84,CAPEX,-1084000,-1820000,-9481000,-8784000,-11852000,-11784000,-17269000
85,Acquisitions Net,- -,- -,- -,-5000000,-27000000,-125055000,- -
86,Purchases of Investments,-21820000,-5094000,- -,- -,-101532000,- -,-1000000
87,Sales/Maturities of Investments,- -,16555000,10122000,- -,50000000,50532000,- -
88,Other Investing Activites,-54000,- -,-5899000,- -,341000,-6358000,-6737000
89,Cash Used for Investing Activites,-22900000,9641000,-1783000,-13784000,-90043000,-85057000,-18300000
90,Debt Repayment,- -,-303000,-2326000,-3253000,-4167000,-4129000,-6171000
91,Common Stock Issued,- -,- -,- -,163844000,379828000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,222000,930000,53762000,10730000,26361000,29922000,36512000
95,Cash Used/Provided by Financing Activities,222000,627000,51436000,171321000,402022000,25793000,30341000
96,Effect of Forex Changes on Cash,- -,- -,- -,-36000,-25000,471000,-1197000
97,Net Change In Cash,-27338000,10326000,36072000,154646000,301084000,-74441000,7332000
98,Cash at the End of Period,12346000,24013000,58158000,215705000,516789000,442348000,449680000
99,Cash at the Beginning of Period,39684000,13687000,22086000,61059000,215705000,516789000,442348000
100,Free Cash Flow,-5744000,-1762000,-23062000,-11639000,-22722000,-27432000,-20781000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1366561/000136656119000014/0001366561-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1366561/000136656120000019/0001366561-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1366561/000136656121000036/0001366561-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1366561/000136656122000045/0001366561-22-000045-index.htm
102,false,,,,,,,
