,https://roic.ai/company/NVOS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7963045,8894464,9421825,7860567,9305255
2,COGS,- -,- -,- -,- -,- -,- -,1871243,2121168,- -,- -,- -,- -,- -,- -,4985715,5471376,5902381,4802195,5482257
3,Gross Profit,- -,- -,- -,- -,- -,- -,-1871243,-2121168,- -,- -,- -,- -,- -,- -,2977330,3423088,3519444,3058372,3822998
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,0.3739,0.3849,0.3735,0.3891,0.4108
5,Research and Development Exp.,- -,- -,- -,255060,291395,136088,108958,208565,146779,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,234444,1067645,1207841,2194211,827365,- -,- -,2077436,- -,- -,- -,- -,- -,3031348,4883221,4019865,7286305,8089641
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59026,109295,39931,4921,7525
8,"Selling, General and Administrative Exp.",- -,234444,1067645,1207841,2194211,827365,- -,- -,2077436,- -,- -,- -,- -,- -,3090374,4992516,4059796,7291226,8097166
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29744,- -
10,Operating Expenses,- -,- -,- -,1462901,2485606,963453,108958,208565,2224215,- -,- -,- -,- -,- -,3090374,4992516,4059796,7320970,8097166
11,COGS and Expenses,- -,234444,1067645,1462901,2485606,963453,1980201,2329733,2224215,818532,447981,335475,401573,164887,8076089,10463892,9962177,12093421,13579423
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34139,16702,154793,33627,45687
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,15540,165826,303048,- -,- -,- -,554657,564467,222155,156662,165003
14,Depreciation and Amortization,- -,25216,909,2301,11978,18056,6550,4837,3838,4518,4827,5700,1011,- -,67776,73447,97143,1445076,1724122
15,EBITDA,- -,-209228,-1066736,-1460600,-2473628,-945397,-1973651,-2324896,-2220377,-814014,-443154,-329775,-400562,-164887,-4249,-1470098,-72686,-3313416,-2573022
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0005,-0.1653,-0.0077,-0.4215,-0.2765
17,Operating Income,- -,-234444,-1067645,-1462901,-2485606,-963453,-1980201,-2329733,-2224215,-818532,-447981,-335475,-401573,-164887,-113044,-1569428,-785597,-4262598,-4373519
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0142,-0.1764,-0.0834,-0.5423,-0.4700
19,Total Other Income Expenses (Gains),- -,-47565,- -,- -,15254,-19224,-291716,-239490,-13796,-341718,-439691,-698057,-2369141,- -,-520518,-547765,382018,-661611,-97416
20,Income Before Tax,- -,-282009,- -,- -,- -,-982677,-2271917,-2569223,-2238011,-1160250,-887672,-1033532,-2770714,-164887,-633562,-2117193,-403579,-4924209,-4470935
21,Income Before Tax Ratio,- -,-Infinity,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0796,-0.2380,-0.0428,-0.6264,-0.4805
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111702,- -,- -,- -,- -
23,Net Income,- -,-282009,-1068738,-1465077,-2470352,-982677,-2271917,-2569223,-2238011,-1160250,-887672,-1033532,-2770714,-164887,-738384,-2108012,-391984,-4915154,-4462147
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0927,-0.2370,-0.0416,-0.6253,-0.4795
25,EPS,- -,-6.00,-18.00,-24.00,-32.00,-10.00,-16.00,-12.00,-8.00,-4.00,-2.00,-0.64,-1.30,-0.10,-0.04,-0.10,-0.02,-0.20,-0.18
26,EPS Diluted,- -,-6.00,-18.00,-24.00,-32.00,-10.00,-16.00,-12.00,-8.00,-4.00,-2.00,-0.64,-1.30,-0.10,-0.04,-0.10,-0.02,-0.20,-0.18
27,Weighted Average Shares Outstanding,- -,56123,57860,61474,76546,94420,147866,216281,262061,329249,774654,1625376,2085146,2236268,17767541,20756897,21732262,23034080,24774454
28,Weighted Average Shares Outstanding Diluted,- -,56123,57860,61474,76546,94420,147866,216281,262061,329249,774654,1625376,2085146,2236268,17767541,20756897,21732262,23034080,24774454
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138978/000118811212000996/0001188112-12-000996-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1138978/000147793215001936/0001477932-15-001936-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000147793216009169/0001477932-16-009169-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000147793217001082/0001477932-17-001082-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315217014422/0001493152-17-014422-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315218015238/0001493152-18-015238-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315219018107/0001493152-19-018107-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315220023201/0001493152-20-023201-index.htm,https://www.sec.gov/Archives/edgar/data/1138978/000149315221031449/0001493152-21-031449-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27,13487,1082,2822,2857,603601,128264,11638,6293,3423,1831,14123,54350,1896572,675705,2083666,2067718,8293162
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,27,13487,1082,2822,2857,603601,128264,11638,6293,3423,1831,14123,54350,1896572,675705,2083666,2067718,8293162
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500922,1731366,1764523,2035096,2282586
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339385
36,Other Current Assets,- -,- -,- -,- -,2330,4300,10000,108891,7118,10705,341585,- -,- -,1730,252536,161838,250398,191723,218376
37,Total Current Assets,- -,27,13487,1082,5152,7157,613601,237155,18756,16998,345008,1831,14123,56080,3650030,2568909,4098587,4294537,11133509
38,PP&E,- -,2718,1809,2602,31057,13001,8199,7285,7056,17538,12711,7011,- -,- -,302951,400321,3414205,3164216,8613687
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399400,604113,623081,636942,9081879
