,https://roic.ai/company/SLS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,2487000,9319000,- -,- -,- -,- -,- -,1900,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,520000,1403000,- -,- -,- -,- -,- -,- -,200000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,1967000,7916000,- -,- -,- -,- -,- -,1900,-200000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.7909,0.8494,- -,- -,- -,- -,- -,1.0000,-Infinity
5,Research and Development Exp.,1298000,6747000,7054000,8892000,7873000,11538000,14614000,21076000,28354000,23611000,19860000,6067000,18317000,7285000,9282,15674000
6,General and Administrative Exp.,- -,- -,- -,8628000,8752000,- -,6585000,14600000,31344000,10609000,12007000,15089000,12772000,9923000,9600000,11320000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,8628000,8752000,- -,6585000,14600000,31344000,10609000,12007000,15089000,12772000,9923000,9600000,11320000
9,Other Expenses,- -,- -,7499000,- -,- -,9249000,- -,131000,440000,- -,- -,- -,- -,- -,-9628164,5900000
10,Operating Expenses,- -,- -,14553000,17520000,16625000,20787000,21199000,35807000,60138000,34220000,31867000,21156000,31089000,17208000,-18882,32894000
11,COGS and Expenses,2405000,11413000,14553000,17520000,16625000,20787000,21199000,36327000,61541000,34220000,31867000,21156000,31089000,17208000,18882,33094000
12,Interest Income ,- -,448000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,33000,807000,1110000,760000,3508000,462000,266000,- -,- -,- -
14,Depreciation and Amortization,- -,36000,131000,162000,172000,163000,49000,452000,889000,355000,142000,- -,- -,- -,282000,- -
15,EBITDA,-2405000,-11377000,-14422000,-17358000,-16453000,-20624000,-21150000,-74367000,-34607000,-33865000,-31725000,-19273000,-33396000,-14925000,265243,-25294000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-29.9023,-3.7136,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,139.6016,-Infinity
17,Operating Income,-2405000,-11413000,-14553000,-17520000,-16625000,-20787000,-21199000,-33840000,-52222000,-34220000,-31867000,-23039000,-31089000,-20041000,-16982000,-25294000
