,https://roic.ai/company/NVMI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,27581000,48463000,21171000,20371000,26688000,40879000,30142000,48292000,58077000,38969000,39318000,86620000,102828000,96168000,111509000,120618000,148514000,163903000,221992000,251134000,224909000,269396000,416113000
2,COGS,16670000,23478000,16470000,13353000,16535000,22076000,19306000,27743000,33251000,25986000,21731000,39204000,44832000,45014000,52438000,57005000,71434000,88623000,90805000,105900000,103089000,116473000,178752000
3,Gross Profit,10911000,24985000,4701000,7018000,10153000,18803000,10836000,20549000,24826000,12983000,17587000,47416000,57996000,51154000,59071000,63613000,77080000,75280000,131187000,145234000,121820000,152923000,237361000
4,Gross Profit Ratio,0.3956,0.5155,0.2220,0.3445,0.3804,0.4600,0.3595,0.4255,0.4275,0.3332,0.4473,0.5474,0.5640,0.5319,0.5297,0.5274,0.5190,0.4593,0.5910,0.5783,0.5416,0.5677,0.5704
5,Research and Development Exp.,8569000,13878000,13253000,9894000,8561000,8665000,9301000,9166000,9143000,8606000,6865000,12445000,18677000,24594000,29578000,29498000,39703000,34998000,38956000,45451000,44508000,53015000,65857000
6,General and Administrative Exp.,- -,- -,- -,- -,6229000,- -,10576000,13890000,15005000,3199000,2240000,2968000,3229000,3978000,5197000,4457000,8511000,6835000,8100000,8735000,10066000,12514000,17324000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,7503000,6014000,10133000,11373000,11998000,11963000,12747000,15967000,21523000,24554000,28847000,29080000,29321000,39336000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,6229000,- -,10576000,13890000,15005000,10702000,8254000,13101000,14602000,15976000,17160000,17204000,24478000,28358000,32654000,37582000,39146000,41835000,56660000
9,Other Expenses,7736000,11184000,10909000,8747000,- -,9199000,- -,- -,3831000,- -,- -,- -,- -,- -,- -,- -,1318000,1758000,1758000,1759000,1758000,2503000,2458000
10,Operating Expenses,16305000,25062000,24162000,18641000,14790000,17864000,19877000,23056000,27979000,19308000,15119000,25546000,33279000,40570000,46738000,46702000,65499000,65114000,73368000,84792000,85412000,97353000,124975000
11,COGS and Expenses,32975000,48540000,40632000,31994000,31325000,39940000,39183000,50799000,61230000,45294000,36850000,64750000,78111000,85584000,99176000,103707000,136933000,153737000,164173000,190692000,188501000,213826000,303727000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,163000,- -,901000,1368000,693000,563000,643000,1216000,2276000,2984000,4605000,4057000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000,868000,- -
14,Depreciation and Amortization,1998000,3045000,2714000,1875000,1256000,670000,894000,2075000,2795000,1320000,1254000,1260000,1700000,2783000,3522000,3951000,9620000,6594000,6179000,7684000,10398000,8378000,8933000
15,EBITDA,-3037000,5826000,-14160000,-11082000,-2956000,2137000,-7520000,141000,-1122000,-4101000,3885000,23435000,27318000,14735000,16548000,21425000,21844000,17976000,66274000,71110000,49983000,65742000,118186000
16,EBITDA ratio,-0.1101,0.1202,-0.6688,-0.5440,-0.1108,0.0523,-0.2495,0.0029,-0.0193,-0.1052,0.0988,0.2705,0.2657,0.1532,0.1484,0.1776,0.1471,0.1097,0.2985,0.2832,0.2222,0.2440,0.2840
17,Operating Income,-5394000,-77000,-19461000,-13101000,-4637000,939000,-9041000,-2507000,-3153000,-6958000,2468000,21870000,24717000,10584000,12333000,16911000,11581000,10166000,57819000,60442000,36408000,55570000,112386000
