,https://roic.ai/company/BNFT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,67122000,68783000,81739000,104752000,137420000,185143000,233335000,256735000,258721000,295686000,268141000,263097000
2,COGS,38870000,42133000,45178000,62411000,87470000,102851000,120681000,124156000,129277000,144090000,129388000,122713000
3,Gross Profit,28252000,26650000,36561000,42341000,49950000,82292000,112654000,132579000,129444000,151596000,138753000,140384000
4,Gross Profit Ratio,0.4209,0.3875,0.4473,0.4042,0.3635,0.4445,0.4828,0.5164,0.5003,0.5127,0.5175,0.5336
5,Research and Development Exp.,8650000,9120000,15035000,23532000,41729000,52250000,56584000,49549000,47902000,54724000,46175000,44696000
6,General and Administrative Exp.,6038000,5821000,7577000,10974000,18657000,25727000,32750000,27268000,43062000,45329000,37720000,50886000
7,Selling and Marketing Exp.,14174000,22553000,28268000,36072000,48467000,58589000,55488000,69280000,78179000,76049000,52210000,46385000
8,"Selling, General and Administrative Exp.",20212000,28374000,35845000,47046000,67124000,84316000,88238000,96548000,121241000,121378000,89930000,97271000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4127000
10,Operating Expenses,28862000,37494000,50880000,70578000,108853000,136566000,144822000,146097000,169143000,176102000,136105000,146094000
11,COGS and Expenses,67732000,79627000,96058000,132989000,196323000,239417000,265503000,270253000,298420000,320192000,265493000,268807000
12,Interest Income ,364000,151000,53000,46000,77000,188000,138000,182000,250000,2613000,632000,196000
13,Interest Expense (Gain),1970000,1974000,203000,2149000,4306000,7969000,7921000,12381000,13156000,23524000,23071000,-20754000
14,Depreciation and Amortization,6609000,7306000,8294000,8172000,9493000,11664000,13073000,15906000,15815000,22351000,25014000,25581000
15,EBITDA,6114000,-5749000,-6157000,-20071000,-49355000,-42426000,-19047000,2430000,-23628000,387000,23810000,-30299000
16,EBITDA ratio,0.0911,-0.0836,-0.0753,-0.1916,-0.3592,-0.2292,-0.0816,0.0095,-0.0913,0.0013,0.0888,-0.1152
17,Operating Income,-610000,-13017000,-14440000,-28194000,-58903000,-54274000,-32168000,-13518000,-39699000,-24506000,-2968000,-5710000
18,Operating Income ratio,-0.0091,-0.1892,-0.1767,-0.2691,-0.4286,-0.2931,-0.1379,-0.0527,-0.1534,-0.0829,-0.0111,-0.0217
19,Total Other Income Expenses (Gains),-1855000,-2012000,-214000,-2198000,-4251000,-7785000,-7873000,-12339000,-12900000,-20982000,-21307000,-29416000
20,Income Before Tax,-2465000,-15029000,-14654000,-30392000,-63154000,-62059000,-40041000,-25857000,-52599000,-45488000,-24275000,-35126000
21,Income Before Tax Ratio,-0.0367,-0.2185,-0.1793,-0.2901,-0.4596,-0.3352,-0.1716,-0.1007,-0.2033,-0.1538,-0.0905,-0.1335
22,Income Tax expense (Gain),10000,35000,84000,-31000,25000,25000,17000,15000,28000,27000,22000,-2960000
23,Net Income,-2475000,-15064000,-14738000,-30361000,-63179000,-62084000,-40058000,-25872000,-52627000,-45515000,-24297000,-32166000
24,Net Income ratio,-0.0369,-0.2190,-0.1803,-0.2898,-0.4598,-0.3353,-0.1717,-0.1008,-0.2034,-0.1539,-0.0906,-0.1223
25,EPS,-0.12,-0.71,-0.69,-2.99,-2.51,-2.19,-1.35,-0.83,-1.66,-1.40,-0.87,-1.17
26,EPS Diluted,-0.12,-0.71,-0.69,-2.99,-2.51,-2.19,-1.35,-0.83,-1.66,-1.40,-0.87,-1.17
27,Weighted Average Shares Outstanding,21300672,21300672,21309492,10144243,25207099,28344680,29589857,31052378,31756415,32539748,32318201,33092896
28,Weighted Average Shares Outstanding Diluted,21300672,21300672,21309492,10144243,25207099,28344680,29589857,31052378,31756415,32539748,32318201,33092896
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576169/000119312514108654/0001193125-14-108654-index.htm,https://www.sec.gov/Archives/edgar/data/1576169/000119312515070241/d861802d10k.htm,https://www.sec.gov/Archives/edgar/data/1576169/000119312516478532/0001193125-16-478532-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459017002411/0001564590-17-002411-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459018005797/0001564590-18-005797-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459019004453/0001564590-19-004453-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459020008764/0001564590-20-008764-index.html,https://www.sec.gov/Archives/edgar/data/1576169/000156459021011839/0001564590-21-011839-index.htm,https://www.sec.gov/Archives/edgar/data/1576169/000156459022008597/0001564590-22-008597-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15856000,19703000,65645000,51074000,48074000,56853000,55335000,190928000,130976000,90706000,31001000
32,Short-Term Investments,- -,- -,- -,13168000,5135000,40448000,2007000,- -,- -,- -,95085000,37049000
33,Cash and Short-Term Investments,- -,15856000,19703000,78813000,56209000,88522000,58860000,55335000,190928000,130976000,185791000,68050000
34,Net Receivables,- -,9060000,13372000,23668000,21311000,29698000,32966000,30156000,37744000,55277000,43594000,16491000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2092000,1483000,4322000,4242000,5725000,4449000,4337000,- -,- -,- -,27615000
37,Total Current Assets,- -,27008000,34558000,106803000,81762000,123945000,96275000,89828000,228672000,186253000,229385000,112156000
38,PP&E,- -,22287000,14150000,27444000,54021000,55037000,80518000,72681000,69965000,108904000,99478000,83676000
39,Goodwill,- -,1634000,1634000,1634000,1634000,1634000,1634000,1634000,1634000,12857000,12857000,34237000
40,Intangible Assets,- -,1913000,1579000,1256000,951000,665000,408000,150000,- -,12667000,10393000,21134000
41,Intangible Assets,- -,3547000,3213000,2890000,2585000,2299000,2042000,1784000,1634000,25524000,23250000,55371000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95085000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2474000,1650000,838000,1575000,816000,13668000,11002000,-84826000,9638000
45,Total Non-Current Assets,- -,25834000,17363000,32808000,58256000,58174000,84135000,75281000,85267000,145430000,132987000,148685000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,52842000,51921000,139611000,140018000,182119000,180410000,165109000,313939000,331683000,362372000,260841000
48,Accounts Payable,- -,853000,1726000,4354000,5589000,7953000,5829000,4260000,8687000,9563000,2160000,10565000
49,Short-Term Debt,- -,2457000,3591000,4288000,4197000,28648000,22604000,27423000,4486000,6871000,5959000,14756000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,8476000,11165000,15158000,20384000,37858000,35426000,38821000,36540000,33429000,27782000,27756000
52,Other Current Liabilities,- -,10829000,12442000,18094000,26545000,31133000,28214000,23386000,28730000,25772000,25391000,19159000
53,Total Current Liabilities,- -,22615000,28924000,41894000,56715000,105592000,92073000,93890000,78443000,75635000,61292000,72236000
54,Long-Term Debt,- -,1447000,3561000,5757000,17657000,5246000,20246000,32246000,176692000,187949000,184308000,107281000
55,Deferred Revenue,- -,34297000,46355000,65063000,74126000,55671000,40412000,19898000,9323000,5079000,4422000,2377000
