,https://roic.ai/company/STG,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,159010000,418910000,970162000,1973985000,2193902000,2203791000
2,COGS,61713000,70986000,170261000,330376000,396316000,387272000
3,Gross Profit,97297000,347924000,799901000,1643609000,1797586000,1816519000
4,Gross Profit Ratio,0.6119,0.8305,0.8245,0.8326,0.8194,0.8243
5,Research and Development Exp.,5189000,13932000,32862000,76022000,101717000,66528000
6,General and Administrative Exp.,76022000,89390000,342906000,443691000,363307000,275391000
7,Selling and Marketing Exp.,333253000,503643000,1351811000,2152830000,1792285000,2123618000
8,"Selling, General and Administrative Exp.",409275000,593033000,1694717000,2596521000,2155592000,2399009000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,414464000,606965000,1727579000,2672543000,2257309000,2465537000
11,COGS and Expenses,476177000,677951000,1897840000,3002919000,2653625000,2852809000
12,Interest Income ,814000,3051000,13578000,70355000,60166000,25809000
13,Interest Expense (Gain),- -,- -,- -,2171000,14312000,11692000
14,Depreciation and Amortization,3752000,5470000,8109000,25778000,37223000,40267000
15,EBITDA,-314550000,-248097000,-910469000,-899073000,-340842000,-378819000
16,EBITDA ratio,-1.9782,-0.5922,-0.9385,-0.4555,-0.1554,-0.1719
17,Operating Income,-317167000,-259041000,-927678000,-1028934000,-459723000,-649018000
18,Operating Income ratio,-1.9946,-0.6184,-0.9562,-0.5212,-0.2095,-0.2945
19,Total Other Income Expenses (Gains),1584000,5474000,13854000,100274000,67134000,216445000
20,Income Before Tax,-315583000,-253567000,-913824000,-928660000,-392589000,-432573000
21,Income Before Tax Ratio,-1.9847,-0.6053,-0.9419,-0.4704,-0.1789,-0.1963
22,Income Tax expense (Gain),- -,- -,- -,- -,2440000,-236000
23,Net Income,-318302000,-253567000,-918578000,-927022000,-394817000,-430542000
24,Net Income ratio,-2.0018,-0.6053,-0.9468,-0.4696,-0.1800,-0.1954
25,EPS,-306.06,-243.81,-883.38,-73.64,-28.91,-31.87
26,EPS Diluted,-306.06,-243.81,-883.38,-73.64,-28.91,-31.87
27,Weighted Average Shares Outstanding,1040000,1040000,1040000,12589740,13660116,13508268
28,Weighted Average Shares Outstanding Diluted,1040000,1040000,1040000,12589740,13660116,13508268
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,4446000,23103000,559459000,1248810000,1402226000,760710000
32,Short-Term Investments,44000000,145000000,353070000,1028564000,217640000,517815000
33,Cash and Short-Term Investments,48446000,168103000,912529000,2277374000,1619866000,1278525000
34,Net Receivables,16087000,18398000,253141000,15518000,6104000,25698000
35,Inventory,- -,- -,- -,- -,- -,- -
