,https://roic.ai/company/BTCS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,3577881,1595943,1287709,1610704,38214,506190,355212,4480,- -,- -,- -,1213284
2,COGS,- -,- -,2502037,1341374,885021,1111310,6746,290099,263869,-704786,- -,- -,- -,268346
3,Gross Profit,- -,- -,1075844,254569,402688,499394,31468,216091,91343,709266,- -,- -,- -,944938
4,Gross Profit Ratio,- -,- -,0.3007,0.1595,0.3127,0.3100,0.8235,0.4269,0.2572,158.3183,- -,- -,- -,0.7788
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45450,712736
6,General and Administrative Exp.,- -,42774,479064,316528,276626,376944,14220905,8396119,1126977,1564851,986525,1422394,1934449,17173965
7,Selling and Marketing Exp.,- -,- -,504329,578887,112304,33779,94820,14829,10693,9242,3644,9989,6350,180290
8,"Selling, General and Administrative Exp.",- -,42774,983393,895415,388930,410723,14315725,8410948,1137670,1574093,990169,1432383,1940799,17354255
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,182037,- -,- -,- -,- -,- -
10,Operating Expenses,- -,42774,983393,895415,388930,410723,14315725,8410948,1319707,1574093,990169,1432383,1986249,18066991
11,COGS and Expenses,- -,42774,3485430,2236789,1273951,1522033,14322471,8701047,1583576,869307,990169,1432383,1986249,18335337
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,11871,7420,- -,- -,86142,402663,2054799
14,Depreciation and Amortization,- -,- -,17516,- -,427,2627,26683,298797,182037,1169,1130,1359,1114,939
15,EBITDA,- -,-42774,122631,-346692,18486,91298,-14730333,-9736368,-44075819,-45064167,-989039,-1431024,-1985135,-13993845
16,EBITDA ratio,- -,-Infinity,0.0343,-0.2172,0.0144,0.0567,-385.4695,-19.2346,-124.0831,-10058.9658,-Infinity,-Infinity,-Infinity,-11.5339
17,Operating Income,- -,- -,92451,-640846,13758,88671,-14961973,-8198299,-1456284,-864827,-990169,- -,- -,- -
18,Operating Income ratio,- -,- -,0.0258,-0.4015,0.0107,0.0551,-391.5312,-16.1961,-4.0998,-193.0417,-Infinity,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-32388,294154,4301,- -,204957,-1848737,-42808992,-44200509,163749,-208218,-569845,804124
20,Income Before Tax,- -,-42774,60063,-346692,18059,88671,-14757016,-10047036,-44265276,-45065336,-826420,-1640601,-2556094,-16049583
21,Income Before Tax Ratio,- -,-Infinity,0.0168,-0.2172,0.0140,0.0551,-386.1678,-19.8483,-124.6165,-10059.2268,-Infinity,-Infinity,-Infinity,-13.2282
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-42774,105115,-346692,18059,88671,-14757016,-10047036,-44265276,-45065336,-826420,-1640601,-2556094,-16049583
24,Net Income ratio,- -,-Infinity,0.0294,-0.2172,0.0140,0.0551,-386.1678,-19.8483,-124.6165,-10059.2268,-Infinity,-Infinity,-Infinity,-13.2282
25,EPS,- -,-3888.55,9555.91,-34669.20,1289.93,11.63,-1979.98,-1079.99,-1467.02,-108.00,-0.67,-1.10,-0.90,-3.09
26,EPS Diluted,- -,-3888.55,9555.91,-34669.20,1289.93,11.63,-1979.98,-1079.99,-1467.02,-108.00,-0.67,-1.10,-0.90,-3.09
27,Weighted Average Shares Outstanding,- -,11,11,10,14,7622,7559,9258,30195,411825,1238527,1588512,2983539,6840665
28,Weighted Average Shares Outstanding Diluted,- -,11,11,10,14,7622,7559,9258,30195,411825,1238527,1588512,2983539,6840665
