,https://roic.ai/company/BURL,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,3701089000,3887531000,4165504000,4462000000,4849634000,5129843000,5590950000,6110043000,6668479000,7286398000,5763980000,9322256000
2,COGS,2252346000,2363464000,2530124000,2696000000,2900819000,3059641000,3297373000,3559158000,3868119000,4228740000,3555024000,5436155000
3,Gross Profit,1448743000,1524067000,1635380000,1766000000,1948815000,2070202000,2293577000,2550885000,2800360000,3057658000,2208956000,3886101000
4,Gross Profit Ratio,0.3914,0.3920,0.3926,0.3958,0.4018,0.4036,0.4102,0.4175,0.4199,0.4196,0.3832,0.4169
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1083151000,1083768000,1229156000,12000,1462529000,1597718000,1723251000,1792301000,2018737000,2228178000,2273128000,- -
7,Selling and Marketing Exp.,70422000,132006000,83526000,1391788000,58400000,- -,- -,71200000,- -,- -,53800000,- -
8,"Selling, General and Administrative Exp.",1153573000,1215774000,1312682000,1391800000,1520929000,1597718000,1723251000,1863501000,2018737000,2228178000,2326928000,2868527000
9,Other Expenses,146759000,153070000,166786000,212600000,167580000,179106000,191187000,201103000,229047000,214660000,220390000,- -
10,Operating Expenses,1300332000,1368844000,1479468000,1604400000,1688509000,1776824000,1914438000,2064604000,2247784000,2442838000,2547318000,2868527000
11,COGS and Expenses,3552678000,3732308000,4009592000,4300400000,4589328000,4836465000,5211811000,5623762000,6115903000,6671578000,6102342000,8776958000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),99309000,129121000,113927000,-127700000,83745000,-58999000,-56161000,58777000,-55990000,-50826000,97767000,67502000
14,Depreciation and Amortization,146759000,153070000,166786000,168195000,167580000,172099000,183586000,201103000,217884000,210720000,220390000,271132000
15,EBITDA,299196000,271771000,309878000,72903000,356361000,351976000,460637000,688860000,669478000,740419000,-119466000,883932000
16,EBITDA ratio,0.0808,0.0699,0.0744,0.0163,0.0735,0.0686,0.0824,0.1127,0.1004,0.1016,-0.0207,0.0948
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-95283000,-165643000,-126747000,-129200000,-155270000,-54502000,-45927000,-57301000,-44992000,-34295000,-99261000,-472276000
20,Income Before Tax,53128000,-10420000,29165000,32400000,105036000,238876000,333212000,428980000,507584000,580525000,-437623000,545298000
21,Income Before Tax Ratio,0.0144,-0.0027,0.0070,0.0073,0.0217,0.0466,0.0596,0.0702,0.0761,0.0797,-0.0759,0.0585
22,Income Tax expense (Gain),22130000,-4148000,3864000,16208000,39081000,88394000,117339000,44128000,92839000,115409000,-221124000,136459000
23,Net Income,30998000,-6272000,25301000,16200000,65955000,150482000,215873000,384852000,414745000,465116000,-216499000,408839000
24,Net Income ratio,0.0084,-0.0016,0.0061,0.0036,0.0136,0.0293,0.0386,0.0630,0.0622,0.0638,-0.0376,0.0439
25,EPS,-1.04,-1.81,-1.70,0.22,0.88,1.99,3.01,5.48,6.15,7.02,-3.26,6.14
26,EPS Diluted,-1.04,-1.97,-1.70,0.22,0.88,1.99,3.01,5.48,6.04,6.91,-3.28,6.00
27,Weighted Average Shares Outstanding,71632530,71632530,71632530,73686524,75254682,75443000,71721000,70288000,67145097,65929972,66386331,66588000
28,Weighted Average Shares Outstanding Diluted,71632530,71632530,71632530,73686524,75254682,75443000,71721000,70288000,68679000,67293000,66386331,68126000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579298/000119312514124097/d667477d10k.htm,https://www.sec.gov/Archives/edgar/data/1579298/000119312515105212/d846695d10k.htm,https://www.sec.gov/Archives/edgar/data/1579298/000156459016014854/0001564590-16-014854-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459017004636/0001564590-17-004636-index.html,- -,https://www.sec.gov/Archives/edgar/data/1579298/000156459019008656/0001564590-19-008656-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459020010835/0001564590-20-010835-index.html,https://www.sec.gov/Archives/edgar/data/1579298/000156459021013162/0001564590-21-013162-index.htm,https://www.sec.gov/Archives/edgar/data/1579298/000095017022003963/0000950170-22-003963-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,35664000,43336000,133000000,25349000,20915000,81597000,133286000,112274000,403074000,1380276000,1091091000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,35664000,43336000,133000000,25349000,20915000,81597000,133286000,112274000,403074000,1380276000,1091091000
34,Net Receivables,- -,40119000,41734000,35700000,49716000,38571000,43252000,71649000,58752000,91508000,62161000,54089000
35,Inventory,- -,682260000,680190000,720100000,788708000,783528000,701891000,752562000,954183000,777248000,740788000,1021009000
36,Other Current Assets,- -,119945000,114394000,127700000,123710000,89968000,101584000,142936000,146691000,145541000,327391000,381455000
37,Total Current Assets,- -,877988000,879654000,1016500000,987483000,932982000,928324000,1100433000,1271900000,1417371000,2510616000,2547644000
