,https://roic.ai/company/ARES,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,206965000,334046000,478655000,603889000,814442000,1199205000,1415499000,958461000,1765438000,1764046000,4212091000
2,COGS,321235000,556444000,528196000,626400000,526137000,835571000,993831000,600634000,1150533000,1171368000,2903419000
3,Gross Profit,-114270000,-222398000,-49541000,-22511000,288305000,363634000,421668000,357827000,614905000,592678000,1308672000
4,Gross Profit Ratio,-0.5521,-0.6658,-0.1035,-0.0373,0.3540,0.3032,0.2979,0.3733,0.3483,0.3360,0.3107
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,68575000,85582000,138464000,166839000,224798000,159776000,196730000,215964000,270219000,258999000,444178000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",68575000,85582000,138464000,166839000,224798000,159776000,196730000,215964000,270219000,258999000,444178000
9,Other Expenses,78102000,116505000,135237000,66800000,18105000,21073000,39020000,53764000,42045000,- -,62486000
10,Operating Expenses,146677000,202087000,273701000,233639000,242903000,180849000,235750000,269728000,312264000,258999000,506664000
11,COGS and Expenses,467912000,758531000,801897000,860039000,769040000,1016420000,1229581000,870362000,1462797000,1450486000,3410083000
12,Interest Income ,1430970000,1415017000,1242033000,945079000,131418000,162724000,200436000,344903000,403105000,471723000,447683000
13,Interest Expense (Gain),333912000,458056000,543906000,674990000,97768000,109433000,147946000,244343000,297416000,311224000,294808000
14,Depreciation and Amortization,19568000,14177000,49532000,36129000,55275000,37455000,32809000,28517000,39459000,41248000,113293000
15,EBITDA,480401000,1734075000,1619084000,757360000,191485000,269715000,233881000,362082000,538135000,559607000,964323000
16,EBITDA ratio,2.3212,5.1911,3.3826,1.2541,0.2351,0.2249,0.1652,0.3778,0.3048,0.3172,0.2289
17,Operating Income,- -,-424485000,-323242000,-256150000,45402000,182785000,-89259000,- -,- -,- -,- -
18,Operating Income ratio,- -,-1.2707,-0.6753,-0.4242,0.0557,0.1524,-0.0631,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1213889000,1686327000,1195883000,813065000,36082000,115135000,239118000,96242000,122539000,65918000,267754000
20,Income Before Tax,952942000,1261842000,872641000,556915000,81484000,297920000,149859000,184341000,425180000,379478000,1065690000
21,Income Before Tax Ratio,4.6044,3.7774,1.8231,0.9222,0.1000,0.2484,0.1059,0.1923,0.2408,0.2151,0.2530
22,Income Tax expense (Gain),29573000,26154000,59263000,11253000,19064000,11019000,-23052000,32202000,52376000,54993000,147385000
