,https://roic.ai/company/LMNR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,53512000,34838000,54284000,52495000,65828000,84884000,103462000,100311000,111789000,121309000,129392000,171398000,164559000,166027000
2,COGS,38032000,29660000,33630000,40961000,50755000,67541000,78798000,81956000,89282000,95379000,102295000,156811000,- -,152824000
3,Gross Profit,15480000,5178000,20654000,11534000,15073000,17343000,24664000,18355000,22507000,25930000,27097000,14587000,164559000,13203000
4,Gross Profit Ratio,0.2893,0.1486,0.3805,0.2197,0.2290,0.2043,0.2384,0.1830,0.2013,0.2138,0.2094,0.0851,1.0000,0.0795
5,Research and Development Exp.,- -,- -,4416000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10694000,9328000,10517000,11850000,14336000,13772000,13319000,13947000,16053000,21170000,21280000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,10694000,9328000,10517000,11850000,14336000,13772000,13319000,13947000,16053000,21170000,21280000,19427000
9,Other Expenses,8303000,6479000,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8303000,6479000,15109000,9328000,10517000,11850000,14336000,13772000,13319000,13947000,16053000,21170000,21280000,19427000
11,COGS and Expenses,46335000,36139000,48739000,50289000,61272000,79391000,93134000,95728000,102601000,109326000,118348000,177981000,183567000,172251000
12,Interest Income ,902000,225000,113000,104000,843000,796000,60000,40000,23000,- -,- -,- -,362000,379000
13,Interest Expense (Gain),1419000,692000,1632000,1260000,508000,124000,- -,188000,1432000,1778000,1122000,2134000,2048000,1501000
14,Depreciation and Amortization,2434000,2323000,2373000,2207000,2131000,2403000,3516000,4184000,5339000,6467000,7275000,8633000,10097000,9812000
15,EBITDA,9476000,-2153000,4256000,5772000,7767000,10668000,14080000,15428000,20096000,18917000,21856000,3727000,-14290000,7606000
16,EBITDA ratio,0.1771,-0.0618,0.0784,0.1100,0.1180,0.1257,0.1361,0.1538,0.1798,0.1559,0.1689,0.0217,-0.0868,0.0458
17,Operating Income,5836000,-7504000,3123000,1010000,4556000,5398000,9893000,4583000,9188000,11863000,9486000,-5514000,-19008000,-6333000
18,Operating Income ratio,0.1091,-0.2154,0.0575,0.0192,0.0692,0.0636,0.0956,0.0457,0.0822,0.0978,0.0733,-0.0322,-0.1155,-0.0381
19,Total Other Income Expenses (Gains),-114000,2518000,-3174000,1214000,399000,2743000,671000,6473000,4137000,-1237000,3997000,-1049000,-7427000,2170000
20,Income Before Tax,5722000,-4986000,-51000,2224000,4955000,8141000,10564000,11056000,13325000,10626000,13483000,-6563000,-26435000,-4163000
21,Income Before Tax Ratio,0.1069,-0.1431,-0.0009,0.0424,0.0753,0.0959,0.1021,0.1102,0.1192,0.0876,0.1042,-0.0383,-0.1606,-0.0251
22,Income Tax expense (Gain),2128000,-2291000,-72000,707000,1978000,3235000,3573000,3974000,5267000,4077000,-6729000,-1097000,- -,-266000
23,Net Income,3495000,-2877000,323000,1598000,3150000,4906000,6991000,7082000,8058000,6595000,20188000,-5943000,-26435000,-3441000
24,Net Income ratio,0.0653,-0.0826,0.0060,0.0304,0.0479,0.0578,0.0676,0.0706,0.0721,0.0544,0.1560,-0.0347,-0.1606,-0.0207
25,EPS,0.29,-0.28,0.01,0.12,0.26,0.36,0.46,0.46,0.52,0.42,1.26,-0.37,-0.96,-0.22
26,EPS Diluted,0.29,-0.28,0.01,0.12,0.26,0.36,0.46,0.46,0.52,0.42,1.25,-0.37,-0.96,-0.21
27,Weighted Average Shares Outstanding,11130000,11240000,11210000,11205000,11202000,12775000,14055000,14119000,14168000,14315000,15581000,17580000,17666000,17461000
28,Weighted Average Shares Outstanding Diluted,11160000,11250000,11251000,11208000,11202000,12775000,14055000,14119000,14168000,14315000,16209000,17580000,17666000,18243000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1342423/000114420411004189/v209038_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420412002609/0001144204-12-002609-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420413002202/0001144204-13-002202-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420414002164/v364243_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420415001805/v397403_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420416075110/0001144204-16-075110-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420417001591/0001144204-17-001591-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420418001288/0001144204-18-001288-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242319000005/0001342423-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242320000006/0001342423-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242321000006/0001342423-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1342423/000134242322000009/0001342423-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,90000,603000,258000,21000,11000,82000,92000,39000,38000,492000,609000,616000,501000,439000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61214000,- -
33,Cash and Short-Term Investments,90000,603000,258000,21000,11000,82000,92000,39000,38000,492000,609000,616000,61715000,439000
34,Net Receivables,5337000,5254000,4664000,4120000,5006000,6419000,8379000,7420000,12108000,11523000,17291000,19259000,16261000,26788000
35,Inventory,1146000,858000,- -,926000,2254000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1120000,903000,2471000,1385000,2116000,7096000,7540000,6303000,6353000,11105000,13144000,15195000,-35456000,14862000
37,Total Current Assets,7693000,7618000,7393000,6452000,9387000,13597000,16011000,13762000,18499000,23120000,31044000,35070000,42520000,42089000
38,PP&E,51590000,53817000,53283000,49187000,131152000,86210000,105433000,128951000,177096000,188225000,225681000,248114000,242649000,242420000
39,Goodwill,- -,- -,- -,- -,- -,680000,680000,680000,680000,876000,1431000,1839000,1535000,1527000
40,Intangible Assets,- -,- -,- -,2829000,2973000,2012000,2066000,1982000,1877000,2888000,6225000,12407000,11309000,8329000
41,Intangible Assets,- -,- -,- -,2829000,2973000,2692000,2746000,2662000,2557000,3764000,7656000,14246000,12844000,9856000
42,Investments,11848000,13505000,23621000,25385000,24648000,20075000,31639000,25586000,28326000,40857000,47974000,75569000,61214000,64072000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,69859000,66928000,75394000,75175000,4462000,87340000,91809000,98565000,78970000,83065000,108984000,26868000,-61214000,33839000
45,Total Non-Current Assets,133297000,134250000,152298000,152576000,163235000,196317000,231627000,255764000,286949000,315911000,390295000,364797000,255493000,350187000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,140990000,141868000,159691000,159028000,172622000,209914000,247638000,269526000,305448000,339031000,421339000,399867000,298013000,392276000
48,Accounts Payable,2311000,970000,2031000,2650000,3670000,4784000,6987000,7399000,6797000,6477000,7348000,5873000,5838000,8963000
49,Short-Term Debt,382000,465000,626000,736000,760000,569000,583000,589000,2508000,3030000,3127000,3023000,4236000,3076000
50,Tax Payable,- -,- -,- -,- -,- -,2201000,500000,721000,520000,599000,785000,652000,683000,676000
51,Deferred Revenue,- -,- -,- -,370000,260000,298000,598000,892000,633000,636000,497000,- -,22430000,- -
52,Other Current Liabilities,4652000,3754000,3681000,3033000,6914000,9024000,12965000,10792000,13813000,13471000,16102000,22768000,-1043000,23285000
53,Total Current Liabilities,7345000,5189000,6338000,6789000,11604000,14675000,21133000,19672000,23751000,23614000,27074000,31664000,31461000,35324000
54,Long-Term Debt,65200000,69251000,85312000,82135000,88875000,61563000,67771000,89235000,88164000,102083000,76966000,105892000,3277000,130353000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,55000,2047000,47000,62000,163000,- -,- -,- -
56,Deferred Tax Liabilities,11541000,8764000,8697000,10160000,10488000,18540000,21792000,19425000,25328000,31415000,25372000,24346000,- -,22853000
57,Other Non-Current Liabilities,2118000,6903000,7248000,7892000,8953000,4483000,6227000,5594000,29429000,34254000,61814000,5467000,6568000,4501000
58,Total Non-Current Liabilities,78859000,84918000,101257000,100187000,108316000,84586000,95845000,116301000,142968000,167814000,164315000,135705000,9845000,157707000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161414000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,959000,604000
61,Total Liabilities,86204000,90107000,107595000,106976000,119920000,99261000,116978000,135973000,166719000,191428000,191389000,167369000,183030000,193031000
62,Preferred Stock,3000000,3000000,3000000,3000000,3000000,3000000,12331000,12281000,12231000,10810000,10810000,10810000,10810000,10810000
63,Common Stock,11000,11000,112000,112000,112000,140000,140000,141000,142000,144000,176000,178000,179000,179000
64,Retained Earnings,20226000,16386000,15044000,14980000,16398000,19098000,23308000,27216000,31812000,34692000,50354000,53089000,30797000,21552000
65,Other Comprehensive Income/Loss,-2662000,-2456000,-795000,-903000,-2522000,255000,5111000,3156000,2703000,7076000,8965000,-7255000,-7548000,-5733000
66,Other Total Stockholders Equity,34211000,34820000,34735000,34863000,35714000,88160000,89770000,90759000,91841000,94294000,159071000,160254000,158591000,160472000
67,Total Stockholders Equity,54786000,51761000,52096000,52052000,52702000,110653000,130660000,133553000,138729000,147016000,229376000,217076000,192829000,187280000
68,Total Liabilities And Stockholders Equity,140990000,141868000,159691000,159028000,172622000,209914000,247638000,269526000,305448000,338444000,420765000,384445000,375859000,380311000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,574000,15422000,-77846000,11965000
70,Total Liabilities & Equity,140990000,141868000,159691000,159028000,172622000,209914000,247638000,269526000,305448000,339031000,421339000,399867000,298013000,392276000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1342423/000114420411004189/v209038_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420412002609/0001144204-12-002609-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420413002202/0001144204-13-002202-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420414002164/v364243_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420415001805/v397403_10k.htm,https://www.sec.gov/Archives/edgar/data/1342423/000114420416075110/0001144204-16-075110-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420417001591/0001144204-17-001591-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000114420418001288/0001144204-18-001288-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242319000005/0001342423-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242320000006/0001342423-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1342423/000134242321000006/0001342423-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1342423/000134242322000009/0001342423-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,3495000,-2877000,323000,1598000,3150000,4906000,6991000,7082000,8058000,6595000,20188000,-5943000,-26435000,-3441000
74,Depreciation and Amortization,2434000,2323000,2373000,2207000,2131000,2403000,3516000,4184000,5339000,6467000,7275000,8633000,10097000,9812000
75,Deferred Income Tax,407000,-2226000,-843000,1784000,1399000,-1033000,129000,-350000,6195000,2292000,-7307000,-773000,-2133000,-189000
76,Stock Based Compensation,600000,770000,1159000,795000,947000,753000,1116000,1077000,1309000,1328000,1368000,1791000,2044000,2582000
77,Change in Working Capital,-2677000,2081000,-1374000,-1392000,-1880000,1139000,-4044000,-788000,658000,4758000,4464000,-564000,7653000,3317000
78,Accounts Receivable,-122000,-1211000,- -,209000,-1738000,-2154000,-810000,-184000,-1880000,-1557000,-3235000,-4012000,-309000,-5076000
79,Inventory,32000,288000,- -,133000,-1328000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,40000,-1429000,- -,263000,1836000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,348000,2429000,1055000,-337000,-2217000,-1078000,-5122000,-5910000,-5252000,-494000,3970000,3406000,11059000,- -
