,https://roic.ai/company/VIRX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,16521850,13709186,9663513,5417340,3761547,33083,5000000,3754000,7956000,5734000,3061000,2536000,669000,237000,2073000,120000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,16521850,13709186,9663513,5417340,3761547,33083,5000000,3754000,7956000,5734000,3061000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,36165731,35615536,36060470,26285294,13246859,14433777,22563000,29185000,28891000,27665000,23701000,22881000,21540000,14615000,15412000,12259000,23861000
6,General and Administrative Exp.,8283191,12254892,13569578,11524198,7748243,7004909,8303000,9175000,10838000,23112000,18662000,16115000,13548000,11332000,9949000,10164000,15437000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8283191,12254892,13569578,11524198,7748243,7004909,8303000,9175000,10838000,23112000,18662000,16115000,13548000,11332000,9949000,10164000,15437000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88478000
10,Operating Expenses,44448922,47870428,49630048,37809492,20995102,21438686,30866000,38360000,39729000,50777000,42363000,38996000,35088000,25947000,25361000,22423000,127776000
11,COGS and Expenses,44448922,47870428,49630048,37809492,20995102,21438686,30866000,38360000,39729000,50777000,42363000,38996000,35088000,25947000,25361000,22423000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000
13,Interest Expense (Gain),674163,477643,209885,171308,1188,- -,300000,1855000,2917000,1719000,939000,1721000,1396000,1154000,514000,302000,-491000
14,Depreciation and Amortization,1683821,1582315,1728714,1103848,341576,150227,56000,31000,20000,29000,27000,11000,9000,9000,-70000,-41000,- -
15,EBITDA,-25140973,-29177303,-36822321,-35910471,-39883282,-24437258,-19785000,-42065000,-31661000,-41254000,-35710000,-36291000,-34053000,-25452000,-22886000,-21349000,-114276000
16,EBITDA ratio,-1.5217,-2.1283,-3.8104,-6.6288,-10.6029,-738.6651,-3.9570,-11.2054,-3.9795,-7.1946,-11.6661,-14.3103,-50.9013,-107.3924,-11.0400,-177.9083,-Infinity
17,Operating Income,-27927072,-34161242,-39966535,-32392152,-17233555,-21405603,-25866000,-34606000,-31773000,-45043000,-39302000,-36460000,-34419000,-25710000,-23288000,-18815000,-114276000
18,Operating Income ratio,-1.6903,-2.4919,-4.1358,-5.9793,-4.5815,-647.0273,-5.1732,-9.2184,-3.9936,-7.8554,-12.8396,-14.3770,-51.4484,-108.4810,-11.2340,-156.7917,-Infinity
19,Total Other Income Expenses (Gains),10024,6873,-1556166,-4793475,-23012933,-3181882,5725000,-9345000,-2825000,2041000,2626000,-1563000,-1039000,-905000,-42000,-2795000,- -
20,Income Before Tax,- -,- -,- -,-37185627,- -,-24587485,-20141000,-43951000,-34598000,-43002000,-36676000,-38023000,-35458000,-26615000,-23330000,-21610000,- -
21,Income Before Tax Ratio,- -,- -,- -,-6.8642,- -,-743.2060,-4.0282,-11.7078,-4.3487,-7.4995,-11.9817,-14.9933,-53.0015,-112.2996,-11.2542,-180.0833,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-27498957,-31237261,-38760920,-37185627,-40226046,-24587485,-20141000,-43951000,-34598000,-43002000,-36676000,-38023000,-35458000,-26615000,-23330000,-21610000,- -
24,Net Income ratio,-1.6644,-2.2786,-4.0111,-6.8642,-10.6940,-743.2060,-4.0282,-11.7078,-4.3487,-7.4995,-11.9817,-14.9933,-53.0015,-112.2996,-11.2542,-180.0833,- -
25,EPS,-0.73,-406.80,-432.00,-388.80,-421.13,-59.40,-25.80,-54.60,-39.60,-43.20,-30.00,-24.20,-14.50,-7.50,-2.70,-0.51,- -
26,EPS Diluted,-0.73,-406.80,-432.00,-388.80,-421.13,-59.40,-25.80,-54.60,-39.60,-45.60,-30.00,-24.20,-14.50,-7.50,-2.70,-0.51,- -
27,Weighted Average Shares Outstanding,37485800,77106,89834,95520,95520,414337,773534,802434,870818,1000952,1215552,1568800,2451600,3558200,8712900,36994623,36994623
28,Weighted Average Shares Outstanding Diluted,37485800,77106,89834,95520,95520,414337,773534,802434,870818,1025168,1215552,1568800,2451600,3558200,8712900,36994623,36994623
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1061027/000095013406006172/0000950134-06-006172-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000110465907019563/0001104659-07-019563-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000104746908002920/0001047469-08-002920-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000114420409018808/0001144204-09-018808-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312510073272/0001193125-10-073272-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312511081250/0001193125-11-081250-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312512114990/0001193125-12-114990-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312513105232/0001193125-13-105232-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000119312514086649/0001193125-14-086649-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459015001589/0001564590-15-001589-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459016014612/0001564590-16-014612-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459017003862/0001564590-17-003862-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459018005146/0001564590-18-005146-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459019006828/0001564590-19-006828-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459020009783/0001564590-20-009783-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000156459021007784/0001564590-21-007784-index.htm,https://www.sec.gov/Archives/edgar/data/1061027/000095017022003991/0000950170-22-003991-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17704465,6075449,11726126,6296942,4258715,14223388,9311000,14940000,15121000,22186000,26886000,8056000,26977000,13696000,12761000,20410000,103554000
32,Short-Term Investments,30629061,57029199,35957933,4321844,- -,39172480,34804000,56287000,24172000,20795000,19544000,34532000,4773000,- -,16364000,- -,- -
33,Cash and Short-Term Investments,48333526,63104648,47684059,10618786,4258715,53395868,44115000,71227000,39293000,42981000,46430000,42588000,31750000,13696000,29125000,20410000,103554000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2068195,1082817,945583,934429,583030,1285487,1550000,1705000,1199000,1223000,558000,643000,1183000,1504000,7197000,1734000,1719000
37,Total Current Assets,50401721,64187465,48629642,11553215,4841745,54681355,45665000,72932000,40492000,44204000,46988000,43231000,32933000,15200000,36322000,22144000,105273000
38,PP&E,4006527,4728929,4238498,612241,263111,116188,74000,43000,23000,42000,14000,3000,20000,11000,820000,273000,882000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,359974,377798,618373,64425,59974,130000,42000,10000,- -,- -,- -,1381000,113000,98000,830000,2397000
45,Total Non-Current Assets,4306527,5088903,4616296,1230614,327536,176162,204000,85000,33000,42000,14000,3000,1401000,124000,918000,1103000,3279000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,54708248,69276368,53245938,12783829,5169281,54857517,45869000,73017000,40525000,44246000,47002000,43234000,34334000,15324000,37240000,23247000,108552000
48,Accounts Payable,2044571,2477656,1462717,790546,360300,415802,658000,78000,953000,3177000,2453000,1871000,1697000,1393000,791000,479000,2901000
49,Short-Term Debt,1067520,885273,953940,- -,- -,- -,- -,6610000,9018000,9257000,7834000,3333000,7204000,7396000,5465000,- -,381000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,3787453,2260478,1227031,27083,27083,- -,- -,7956000,7956000,3418000,2441000,610000,- -,- -,120000,- -,- -
52,Other Current Liabilities,3345364,3285508,5278577,5364105,2647389,12147208,7725000,17097000,16045000,12029000,6271000,5125000,3777000,2534000,3040000,2831000,5802000
53,Total Current Liabilities,10244908,8908915,8922265,6181734,3034772,12563010,8383000,31741000,33972000,27881000,18999000,10939000,12678000,11323000,9416000,3310000,9084000
54,Long-Term Debt,1306027,955695,1352684,- -,- -,- -,9453000,17651000,9025000,- -,- -,11102000,- -,- -,- -,- -,5097000
55,Deferred Revenue,- -,- -,- -,- -,74105,- -,- -,11668000,3712000,2563000,610000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4691111,2608061,1576734,110919,- -,47838,13000,- -,- -,- -,- -,169000,112000,8000,281000,- -,- -
58,Total Non-Current Liabilities,5997138,3563756,2929418,110919,74105,47838,9466000,29319000,12737000,2563000,610000,11271000,112000,8000,281000,- -,5097000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,16242046,12472671,11851683,6292653,3108877,12610848,17849000,61060000,46709000,30444000,19609000,22210000,12790000,11331000,9697000,3310000,14181000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2151,2944,3437,3441,3590,4537,5000,5000,5000,7000,9000,2000,3000,4000,11000,2000,4000
64,Retained Earnings,-209007902,-240245163,-279006083,-316191710,-356417756,-381005241,-401146000,-445097000,-479695000,-522697000,-559373000,-597396000,-632854000,-659469000,-682800000,-704410000,-165677000
65,Other Comprehensive Income/Loss,-12713187,-14066757,-15259355,-8414617,-2461316,-1838529,-1270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,260185140,311112673,335656256,331094062,360935886,425085902,430431000,457049000,473506000,536492000,586757000,618418000,654395000,663458000,710332000,724345000,260044000
67,Total Stockholders Equity,38466202,56803697,41394255,6491176,2060404,42246669,28020000,11957000,-6184000,13802000,27393000,21024000,21544000,3993000,27543000,19937000,94371000
68,Total Liabilities And Stockholders Equity,54708248,69276368,53245938,12783829,5169281,54857517,45869000,73017000,40525000,44246000,47002000,43234000,34334000,15324000,37240000,23247000,108552000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,54708248,69276368,53245938,12783829,5169281,54857517,45869000,73017000,40525000,44246000,47002000,43234000,34334000,15324000,37240000,23247000,108552000
