,https://roic.ai/company/ESPR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148364000,227547000,78447000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2392000,14217000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225155000,64230000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9895,0.8188
5,Research and Development Exp.,- -,- -,- -,- -,7807702,7998128,16014205,25302000,29802000,57868000,147603000,171488000,175611000,146936000,105975000
6,General and Administrative Exp.,- -,- -,- -,- -,2356669,2205632,6744493,10922000,20238000,18282000,21379000,33097000,65854000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,2356669,2205632,6744493,10922000,20238000,18282000,21379000,33097000,65854000,- -,184985000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199615000,- -
10,Operating Expenses,- -,- -,- -,- -,10164371,10203760,22758698,36224000,50040000,76150000,168982000,204585000,241465000,346551000,290960000
11,COGS and Expenses,- -,- -,- -,- -,10164371,10203760,22758698,36224000,50040000,76150000,168982000,204585000,241465000,348943000,305177000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,577157,1486696,936580,270000,520000,376000,198000,100000,8120000,22670000,46353000
14,Depreciation and Amortization,- -,- -,- -,- -,178471,139433,70551,160000,236000,252000,258000,265000,319000,547000,612000
15,EBITDA,- -,- -,- -,- -,-10061713,-10147974,-22688147,-36064000,-49804000,-75898000,-168724000,-204320000,-88726000,-120334000,-222143000
16,EBITDA ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5980,-0.5288,-2.8318
17,Operating Income,- -,- -,- -,- -,-10164371,-10203760,-22758698,-36224000,-50040000,-76150000,-168982000,-204585000,-93101000,-121396000,-226730000
18,Operating Income ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6275,-0.5335,-2.8902
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-652970,-1537976,-3329435,-151000,256000,1172000,1994000,2775000,-4064000,-22155000,-42378000
20,Income Before Tax,- -,- -,- -,- -,-10817341,-11741736,-26088133,-36375000,-49784000,-74978000,-166988000,-201810000,-97165000,-143551000,-269108000
