,https://roic.ai/company/AMK,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,295517000,363634000,417936000,432079000,530299000
2,COGS,204790000,225525000,130999000,311881000,348964000
3,Gross Profit,90727000,138109000,286937000,120198000,181335000
4,Gross Profit Ratio,0.3070,0.3798,0.6866,0.2782,0.3419
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,48403000,55522000,227111000,77566000,94754000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",48403000,55522000,227111000,77566000,94754000
9,Other Expenses,22981000,26104000,-124643000,35126000,37929000
10,Operating Expenses,71384000,81626000,102468000,112692000,132683000
11,COGS and Expenses,276174000,307151000,390762000,424573000,481647000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1920000,-12269000,5588000,3559000
14,Depreciation and Amortization,22981000,26104000,30356000,35126000,37929000
15,EBITDA,42324000,82587000,32992000,40945000,86475000
16,EBITDA ratio,0.1432,0.2271,0.0789,0.0948,0.1631
17,Operating Income,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-1920000,-12269000,-7275000,-3665000
20,Income Before Tax,19343000,54563000,14905000,231000,44987000
21,Income Before Tax Ratio,0.0655,0.1500,0.0357,0.0005,0.0848
22,Income Tax expense (Gain),-79635000,17137000,15325000,8043000,19316000
23,Net Income,98978000,37426000,-420000,-7812000,25671000
24,Net Income ratio,0.3349,0.1029,-0.0010,-0.0181,0.0484
25,EPS,1.37,0.52,-0.01,-0.12,0.38
26,EPS Diluted,1.37,0.52,-0.01,-0.12,0.38
27,Weighted Average Shares Outstanding,72400000,72400000,69273347,67361995,67361995
28,Weighted Average Shares Outstanding Diluted,72400000,72400000,69273347,67361995,67361995
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1591587/000156459020010862/0001564590-20-010862-index.htm,https://www.sec.gov/Archives/edgar/data/1591587/000156459021012080/0001564590-21-012080-index.htm,https://www.sec.gov/Archives/edgar/data/1591587/000156459022009667/0001564590-22-009667-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,50147000,105354000,96341000,70619000,76707000
32,Short-Term Investments,38000,333000,7275000,10577000,14498000
33,Cash and Short-Term Investments,50185000,105687000,103616000,81196000,91205000
34,Net Receivables,7981000,9678000,13673000,17487000,15295000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,10367000,11391000,15565000,24637000,27673000
37,Total Current Assets,68533000,126756000,132854000,123320000,134173000
38,PP&E,7068000,7040000,7067000,34884000,30484000
39,Goodwill,298415000,298415000,327310000,338848000,436821000
40,Intangible Assets,723725000,715064000,721729000,724571000,783394000
41,Intangible Assets,1022140000,1013479000,1049039000,1063419000,1220215000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,150390000,- -,- -
44,Other Non-Current Assets,- -,- -,-150390000,1965000,2090000
45,Total Non-Current Assets,1029208000,1020519000,1056106000,1100268000,1252789000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1097741000,1147275000,1188960000,1223588000,1386962000
48,Accounts Payable,2292000,730000,967000,3538000,2613000
49,Short-Term Debt,- -,2305000,- -,- -,- -
50,Tax Payable,3154000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,150390000,149500000,- -
52,Other Current Liabilities,46150000,46200000,-109780000,-107145000,56249000
53,Total Current Liabilities,48442000,49235000,41577000,45893000,58862000
54,Long-Term Debt,- -,242817000,121692000,75000000,143316000
55,Deferred Revenue,5022000,3825000,1150000,2305000,- -
56,Deferred Tax Liabilities,149117000,151115000,150390000,149500000,158930000
57,Other Non-Current Liabilities,9202000,1272000,15290000,45817000,16468000
58,Total Non-Current Liabilities,163341000,399029000,288522000,272622000,318714000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,31820000,28316000
61,Total Liabilities,211783000,448264000,330099000,318515000,377576000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,66000,66000,72000,72000,74000
64,Retained Earnings,101420000,63846000,62383000,54571000,80242000
65,Other Comprehensive Income/Loss,8000,3000,- -,- -,- -
66,Other Total Stockholders Equity,784464000,635096000,796406000,850430000,- -
67,Total Stockholders Equity,885958000,699011000,858861000,905073000,1009386000
68,Total Liabilities And Stockholders Equity,1097741000,1147275000,1188960000,1223588000,1386962000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1097741000,1147275000,1188960000,1223588000,1386962000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1591587/000156459020010862/0001564590-20-010862-index.htm,https://www.sec.gov/Archives/edgar/data/1591587/000156459021012080/0001564590-21-012080-index.htm,https://www.sec.gov/Archives/edgar/data/1591587/000156459022009667/0001564590-22-009667-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,98978000,37426000,-420000,-7812000,25671000
74,Depreciation and Amortization,22981000,26104000,30356000,35126000,37929000
75,Deferred Income Tax,-88688000,1736000,1497000,-706000,-1558000
76,Stock Based Compensation,6920000,6568000,36202000,53837000,53637000
77,Change in Working Capital,5421000,57430000,13756000,-13850000,12598000
78,Accounts Receivable,- -,- -,-727000,1525000,163000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,2228000,-4167000,-9719000,- -,7450000
81,Other Working Capital,20091000,77521000,91277000,77427000,- -
82,Other Non-Cash Items,- -,-67602000,-26308000,10352000,700000
83,Cash Provided by Operating Activities,45612000,61662000,55083000,76947000,128977000
84,CAPEX,-15652000,-17414000,-22496000,-29065000,-34652000
85,Acquisitions Net,- -,- -,-35906000,-18561000,-124160000
86,Purchases of Investments,- -,-300000,-1594000,-2384000,-3004000
87,Sales/Maturities of Investments,- -,- -,82000,40000,833000
88,Other Investing Activites,-12943000,-15380000,-20614000,-26164000,-33145000
89,Cash Used for Investing Activites,-15652000,-17714000,-59914000,-49970000,-160983000
90,Debt Repayment,- -,- -,-126250000,-123750000,-35000000
91,Common Stock Issued,- -,- -,124068000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-233846000,- -,- -,- -
94,Other Financing Activites,- -,245105000,- -,73051000,75094000
95,Cash Used/Provided by Financing Activities,- -,11259000,-2182000,-50699000,40094000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,29960000,55207000,-7013000,-23722000,8088000
98,Cash at the End of Period,57147000,112354000,105341000,81619000,89707000
99,Cash at the Beginning of Period,27187000,57147000,112354000,105341000,81619000
100,Free Cash Flow,29960000,44248000,32587000,47882000,94325000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1591587/000156459020010862/0001564590-20-010862-index.htm,https://www.sec.gov/Archives/edgar/data/1591587/000156459021012080/0001564590-21-012080-index.htm,https://www.sec.gov/Archives/edgar/data/1591587/000156459022009667/0001564590-22-009667-index.htm
102,false,,,,,
