,https://roic.ai/company/XOMA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7300000,100000,7700000,5000000,10400000,20500000,17100000,5100000,600000,1700000,1200000,3600000,18400000,6300000,2400000,6659000,17279000,29949000,24412000,3665000,18669000,29498000,84252000,67987000,98430000,33641000,58196000,33782000,35451000,18866000,55447000,5564000,52690000,5299000,18370000,29385000,38160000
2,COGS,8500000,41400000,-1400000,14500000,24200000,5600000,6500000,-800000,-2600000,-3300000,-2900000,-2100000,-2000000,-1600000,-1200000,1869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-1200000,-41300000,9100000,-9500000,-13800000,14900000,10600000,5900000,3200000,5000000,4100000,5700000,20400000,7900000,3600000,4790000,- -,- -,24412000,- -,18669000,29498000,- -,- -,98430000,33641000,58196000,33639000,35451000,- -,- -,- -,- -,- -,- -,29385,- -
4,Gross Profit Ratio,-0.1644,-413.0000,1.1818,-1.9000,-1.3269,0.7268,0.6199,1.1569,5.3333,2.9412,3.4167,1.5833,1.1087,1.2540,1.5000,0.7193,- -,- -,1.0000,- -,1.0000,1.0000,- -,- -,1.0000,1.0000,1.0000,0.9958,1.0000,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,22100000,26400000,29900000,43800000,41500000,30006000,35929000,42621000,57461000,49784000,39896000,52094000,66215000,82576000,58131000,77413000,68137000,68324000,74851000,80748000,70852000,44234000,7875000,1682000,1253000,170000,171000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,5600000,5400000,6100000,6069000,8681000,19405000,24489000,31977000,14798000,18088000,20581000,24145000,23736000,23250000,24014000,16865000,18477000,19866000,20620000,18322000,24337000,18563000,21002000,16799,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3000000,4000000,13000000,3900000,7500000,37800000,49900000,41800000,35100000,8700000,5400000,5500000,5600000,5400000,6100000,6069000,8681000,19405000,24489000,31977000,14798000,18088000,20581000,24145000,23736000,23250000,24014000,16865000,18477000,19866000,20620000,18322000,24337000,18563000,21002000,16799000,20460000
9,Other Expenses,1400000,2000000,1400000,800000,1400000,1800000,2000000,3000000,2800000,3300000,2900000,2100000,2000000,1600000,1200000,-1869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16952031,- -
10,Operating Expenses,4400000,6000000,14400000,4700000,8900000,39600000,51900000,44800000,37900000,39300000,30400000,34000000,37500000,50800000,48800000,34206000,44610000,62026000,81950000,81761000,54694000,70182000,86796000,106721000,81867000,100663000,92151000,85189000,93328000,100614000,91472000,62556000,32212000,20245000,22255000,16969,20631000
11,COGS and Expenses,12900000,47400000,13000000,19200000,33100000,45200000,58400000,44000000,35300000,36000000,27500000,31900000,35500000,49200000,47600000,36075000,44610000,62026000,81950000,81761000,54694000,70182000,86796000,106721000,81867000,100663000,92151000,85332000,93328000,100614000,91472000,62556000,32212000,20245000,22255000,16969000,20631000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1882000,1675000,- -,- -,49000,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2680000,- -,- -,1875000,- -,4254000,12932000,- -,- -,4888000,385000,2462000,4344000,4578000,4280000,4183000,3925000,1232000,885000,1913000,1842000,461000
14,Depreciation and Amortization,1400000,2000000,1400000,800000,1400000,1800000,2000000,3000000,2800000,3300000,2900000,2100000,2000000,1600000,1200000,-1869000,1254000,2118000,3991000,4553000,5774000,6170000,6734000,8119000,6831000,5721000,5357000,4124000,2575000,1856000,1532000,769000,304000,30000,25000,22000,7000
15,EBITDA,-3400000,-44700000,-3400000,-11200000,-17500000,-21900000,-32300000,-44100000,-28500000,-31300000,-19600000,-27000000,-13800000,-45600000,-44600000,-28601000,-26786000,-31129000,-52787000,-74389000,12810000,-32739000,-5592000,-37509000,17996000,-62623000,-24909000,-62671000,-116919000,-32165000,-14891000,-48836000,17794000,-12526000,-44000,13661000,16357000
16,EBITDA ratio,-0.4658,-447.0000,-0.4416,-2.2400,-1.6827,-1.0683,-1.8889,-8.6471,-47.5000,-18.4118,-16.3333,-7.5000,-0.7500,-7.2381,-18.5833,-4.2951,-1.5502,-1.0394,-2.1623,-20.2971,0.6862,-1.1099,-0.0664,-0.5517,0.1828,-1.8615,-0.4280,-1.8552,-3.2980,-1.7049,-0.2686,-8.7771,0.3377,-2.3638,-0.0024,0.4649,0.4286
17,Operating Income,-5600000,-47300000,-5300000,-14200000,-22700000,-24700000,-41300000,-38900000,-34700000,-34300000,-26300000,-28300000,-17100000,-42900000,-45200000,-29416000,-27331000,-32077000,-57538000,-78096000,-36025000,-40684000,-2544000,-38734000,12960000,-67104000,-33955000,-56624000,-58205000,-81832000,-39724000,-61558000,17031000,-16857000,-3885000,12416000,17529000
18,Operating Income ratio,-0.7671,-473.0000,-0.6883,-2.8400,-2.1827,-1.2049,-2.4152,-7.6275,-57.8333,-20.1765,-21.9167,-7.8611,-0.9293,-6.8095,-18.8333,-4.4175,-1.5817,-1.0711,-2.3570,-21.3086,-1.9297,-1.3792,-0.0302,-0.5697,0.1317,-1.9947,-0.5835,-1.6762,-1.6418,-4.3375,-0.7164,-11.0636,0.3232,-3.1812,-0.2115,0.4225,0.4594
19,Total Other Income Expenses (Gains),800000,1900000,500000,3800000,8900000,6900000,8800000,-7900000,3600000,-300000,3800000,-900000,1400000,-6500000,1200000,2684000,1959000,871000,760000,383000,38807000,-11157000,-9782000,-6894000,-6683000,-1625000,1227000,-14515000,-65867000,43531000,19118000,8028000,-773000,3416000,1903000,-619000,-1640000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2782000,-51841000,-12326000,-45628000,6277000,-68729000,-32728000,-71139000,-124072000,-38301000,-20606000,-53530000,16258000,-13441000,-1982000,11797000,15889000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1490,-1.7574,-0.1463,-0.6711,0.0638,-2.0430,-0.5624,-2.1058,-3.4998,-2.0302,-0.3716,-9.6208,0.3086,-2.5365,-0.1079,0.4015,0.4164
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,-383000,5727000,27000,15000,-74000,-14000,- -,- -,- -,1662000,-98000,- -,-1501000,91000
23,Net Income,-4800000,-46700000,-4800000,-12000000,-18900000,-23700000,-34300000,-47100000,-31300000,-34600000,-22500000,-29100000,-15800000,-47200000,-45800000,-29412000,-28040000,-33247000,-58653000,-78942000,2779000,-51841000,-12326000,-45245000,550000,-68756000,-32743000,-71065000,-124058000,-38301000,-20606000,-53530000,14596000,-13343000,-1982000,13298000,15798000
24,Net Income ratio,-0.6575,-467.0000,-0.6234,-2.4000,-1.8173,-1.1561,-2.0058,-9.2353,-52.1667,-20.3529,-18.7500,-8.0833,-0.8587,-7.4921,-19.0833,-4.4169,-1.6228,-1.1101,-2.4026,-21.5394,0.1489,-1.7574,-0.1463,-0.6655,0.0056,-2.0438,-0.5626,-2.1036,-3.4994,-2.0302,-0.3716,-9.6208,0.2770,-2.5180,-0.1079,0.4525,0.4140
25,EPS,-303.00,-1907.99,-303.00,-336.00,-429.00,-504.00,-531.00,-660.00,-438.00,-474.00,-285.00,-270.00,-132.00,-348.00,-261.00,-135.00,-123.00,-141.00,-234.00,-279.00,9.00,-162.00,-30.00,-102.00,1.00,-73.80,-20.80,-22.00,-28.60,-7.20,-3.40,-8.89,0.75,-1.59,-0.23,0.82,0.69
26,EPS Diluted,-303.00,-1907.99,-303.00,-336.00,-429.00,-504.00,-531.00,-660.00,-438.00,-474.00,-285.00,-270.00,-132.00,-348.00,-261.00,-135.00,-123.00,-141.00,-234.00,-279.00,9.00,-162.07,-30.00,-102.00,0.97,-73.88,-20.80,-22.00,-28.60,-13.40,-3.40,-8.89,0.73,-1.59,-0.23,0.78,0.65
27,Weighted Average Shares Outstanding,28070,24476,29080,35714,44056,47024,64595,71364,71462,72996,78903,108310,132263,142984,175684,215731,227197,234517,250234,282858,287138,319871,426488,443095,549669,930650,1579500,3231450,4346900,5371750,5890150,6021000,7619000,8373000,8763000,10674000,11288000
28,Weighted Average Shares Outstanding Diluted,28070,24476,29080,35714,44056,47024,64595,71364,71462,72996,78903,108310,132263,142984,175684,215731,227197,234517,250234,282858,300211,319871,426488,443095,565736,930650,1579500,3231450,4346900,5766650,5890150,6021000,7980000,8373000,8763000,11503000,12192000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/791908/000119312505050055/0001193125-05-050055-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312506048409/0001193125-06-048409-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312507049517/0001193125-07-049517-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312508052901/0001193125-08-052901-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312509051006/0001193125-09-051006-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000119312510053878/0001193125-10-053878-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036111015740/0001140361-11-015740-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036112015529/0001140361-12-015529-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036113012019/0001140361-13-012019-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036114012373/0001140361-14-012373-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000114036115011358/0001140361-15-011358-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459016014295/0001564590-16-014295-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459017004563/0001564590-17-004563-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459018004731/0001564590-18-004731-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000156459019006621/0001564590-19-006621-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837020002286/0001558370-20-002286-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837021002676/0001558370-21-002676-index.htm,https://www.sec.gov/Archives/edgar/data/791908/000155837022003022/0001558370-22-003022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8500000,40500000,60200000,45300000,2700000,14100000,5600000,3400000,23500000,3600000,20400000,1200000,37200000,11900000,18500000,35043000,67320000,36262000,84812000,23808000,20804000,28002000,22500000,9513000,23909000,37304000,48344000,45345000,101659000,78445000,65767000,25742000,43471000,45780000,56688000,84222000,93328000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16400000,- -,172000,320000,391000,436000,511000,22732000,18381000,16067000,1299000,- -,- -,- -,39987000,19990000,- -,496000,- -,- -,- -,- -,- -,774000
33,Cash and Short-Term Investments,8500000,40500000,60200000,45300000,2700000,14100000,5600000,3400000,23500000,3600000,20400000,1200000,37200000,28300000,18500000,35215000,67640000,36653000,85248000,24319000,43536000,46383000,38567000,10812000,23909000,37304000,48344000,85332000,121649000,78445000,66263000,25742000,43471000,45780000,56688000,84222000,94102000
34,Net Receivables,300000,600000,- -,1600000,5500000,4200000,4200000,900000,1100000,900000,2900000,1100000,400000,400000,900000,1245000,2080000,8862000,10719000,874000,5284000,13446000,12135000,16686000,7231000,20864000,12332000,8249000,3781000,3309000,4069000,566000,397000,1468000,2933000,1789000,209000
35,Inventory,- -,- -,- -,- -,1200000,8100000,10400000,5500000,4200000,4200000,- -,- -,- -,- -,- -,- -,1299000,1306000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,700000,2000000,600000,89300000,58800000,119300000,80800000,47700000,36800000,6200000,45700000,18000000,100000,700000,162000,249000,1949000,1267000,1414000,1468000,6059000,7386000,11206000,1012000,712000,2019000,2256000,1630000,2088000,1887000,852000,327000,378000,352000,2054000,2662000
37,Total Current Assets,9000000,41800000,62200000,47500000,98700000,85200000,139500000,90600000,76500000,45500000,29500000,48000000,55600000,28800000,20100000,36622000,71268000,48770000,97234000,26607000,50288000,65888000,58088000,38704000,32152000,58880000,62695000,95837000,127060000,83842000,72219000,27160000,44195000,47626000,59973000,88065000,96973000
38,PP&E,5700000,4500000,3500000,7000000,9200000,9700000,14700000,18500000,17500000,15400000,6200000,5100000,4600000,3900000,3700000,8421000,14645000,22650000,21337000,19306000,19056000,22434000,25603000,26843000,20270000,14869000,12709000,8143000,6456000,5120000,1997000,1036000,83000,59000,544000,380000,213000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
