,https://roic.ai/company/MIME,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,88315000,116085000,141841000,186563000,261897000,340377000,426963000,501399000
2,COGS,28673000,36821000,41809000,50314000,69699000,90874000,109382000,121709000
3,Gross Profit,59642000,79264000,100032000,136249000,192198000,249503000,317581000,379690000
4,Gross Profit Ratio,0.6753,0.6828,0.7052,0.7303,0.7339,0.7330,0.7438,0.7573
5,Research and Development Exp.,12844000,14461000,17663000,22593000,38373000,57939000,80790000,97498000
6,General and Administrative Exp.,11187000,15806000,19756000,27875000,36989000,53759000,65314000,68354000
7,Selling and Marketing Exp.,46971000,51224000,65187000,96154000,121246000,139194000,169179000,179315000
8,"Selling, General and Administrative Exp.",58158000,67030000,84943000,124029000,158235000,192953000,234493000,247669000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,71002000,81491000,102606000,146622000,196608000,250892000,315283000,345167000
11,COGS and Expenses,99675000,118312000,144415000,196936000,266307000,341766000,424665000,466876000
12,Interest Income ,86000,62000,74000,510000,1310000,2515000,3446000,760000
13,Interest Expense (Gain),542000,703000,690000,268000,598000,5940000,4507000,2804000
14,Depreciation and Amortization,8958000,11028000,10527000,11881000,18960000,29953000,64185000,68478000
15,EBITDA,-7371000,12168000,8838000,8910000,9877000,30893000,68851000,102723000
16,EBITDA ratio,-0.0835,0.1048,0.0623,0.0478,0.0377,0.0908,0.1613,0.2049
17,Operating Income,-11360000,-3430000,-2574000,-10373000,-6954000,-1219000,2298000,31259000
18,Operating Income ratio,-0.1286,-0.0295,-0.0181,-0.0556,-0.0266,-0.0036,0.0054,0.0623
19,Total Other Income Expenses (Gains),-5511000,3867000,195000,7134000,-2727000,-3781000,-2139000,182000
20,Income Before Tax,-16871000,437000,-2379000,-3239000,-9681000,-5000000,159000,31441000
21,Income Before Tax Ratio,-0.1910,0.0038,-0.0168,-0.0174,-0.0370,-0.0147,0.0004,0.0627
22,Income Tax expense (Gain),19000,152000,865000,2202000,2705000,2001000,2359000,1696000
23,Net Income,-16890000,285000,-3244000,-5441000,-12386000,-7001000,-2200000,29745000
24,Net Income ratio,-0.1912,0.0025,-0.0229,-0.0292,-0.0473,-0.0206,-0.0052,0.0593
25,EPS,-0.37,-0.03,-0.08,-0.10,-0.22,-0.12,-0.04,0.47
26,EPS Diluted,-0.37,-0.03,-0.08,-0.10,-0.22,-0.12,-0.04,0.45
27,Weighted Average Shares Outstanding,45916000,44899000,40826000,54810000,57269000,59960000,62024000,63739000
28,Weighted Average Shares Outstanding Diluted,45916000,44899000,40826000,54810000,57269000,59960000,62024000,65631000
