,https://roic.ai/company/CD,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,98484000,853010000,1831077000,2852277000
2,COGS,135260000,610221000,1098296000,1652664000
3,Gross Profit,-36776000,242789000,732781000,1199613000
4,Gross Profit Ratio,-0.3734,0.2846,0.4002,0.4206
5,Research and Development Exp.,- -,24510000,41175000,75344000
6,General and Administrative Exp.,57980000,232837000,564286000,359470000
7,Selling and Marketing Exp.,5092000,47496000,99092000,89654000
8,"Selling, General and Administrative Exp.",63072000,280333000,663378000,449124000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,63072000,304843000,704553000,524468000
11,COGS and Expenses,198332000,915064000,1802849000,2177132000
12,Interest Income ,97000,7161000,27616000,58607000
13,Interest Expense (Gain),24344000,102290000,238384000,294978000
14,Depreciation and Amortization,88630000,242424000,410694000,587080000
15,EBITDA,-27946000,168529000,433072000,1352894000
16,EBITDA ratio,-0.2838,0.1976,0.2365,0.4743
17,Operating Income,-121446000,-62054000,28228000,675145000
18,Operating Income ratio,-1.2332,-0.0727,0.0154,0.2367
19,Total Other Income Expenses (Gains),-19474000,-109389000,-244234000,-204309000
20,Income Before Tax,-140920000,-171443000,-216006000,470836000
21,Income Before Tax Ratio,-1.4309,-0.2010,-0.1180,0.1651
22,Income Tax expense (Gain),-2759000,-1742000,67339000,154416000
23,Net Income,-138161000,-174443000,-283345000,316420000
24,Net Income ratio,-1.4029,-0.2045,-0.1547,0.1109
25,EPS,-0.47,-0.49,-0.92,0.88
26,EPS Diluted,-0.47,-0.49,-0.92,0.86
27,Weighted Average Shares Outstanding,291163636,359229690,307983696,359568182
28,Weighted Average Shares Outstanding Diluted,291163636,359229690,307983696,367930233
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,104207000,1038897000,6705612000,4390293000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,104207000,1038897000,6705612000,4390293000
34,Net Receivables,76691000,474339000,669299000,988580000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,7440000,59895000,215065000,968450000
37,Total Current Assets,188338000,1573131000,7589976000,6347323000
38,PP&E,1148789000,4990222000,7204128000,10367960000
39,Goodwill,- -,466320000,472883000,- -
40,Intangible Assets,21035000,360749000,320299000,778683000
41,Intangible Assets,21035000,827069000,793182000,778683000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,3611000,18789000,- -
44,Other Non-Current Assets,40860000,377150000,653523000,1215159000
45,Total Non-Current Assets,1210684000,6198052000,8669622000,12361802000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1399022000,7771183000,16259598000,18709125000
48,Accounts Payable,12271000,959372000,1186030000,1701299000
49,Short-Term Debt,17495000,106599000,341950000,2000791000
50,Tax Payable,2194000,31300000,76176000,- -
51,Deferred Revenue,- -,4092000,8629000,- -
52,Other Current Liabilities,129578000,196716000,296331000,599257000
53,Total Current Liabilities,159344000,1266779000,1832940000,4301347000
54,Long-Term Debt,462973000,2970838000,4156411000,3782268000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,95503000,211539000,254431000,- -
57,Other Non-Current Liabilities,5311000,84854000,276348000,510878000
58,Total Non-Current Liabilities,563787000,3267231000,4687190000,4293146000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,77664000,321936000,309328000,306074000
61,Total Liabilities,723131000,4534010000,6520130000,8594493000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,8000,34000,46000,46000
64,Retained Earnings,-140720000,-329071000,-681300000,-463465000
65,Other Comprehensive Income/Loss,18044000,53919000,-89794000,-68277000
66,Other Total Stockholders Equity,798559000,3512291000,10510516000,10646328000
67,Total Stockholders Equity,675891000,3237173000,9739468000,10114632000
68,Total Liabilities And Stockholders Equity,1399022000,7771183000,16259598000,18709125000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1399022000,7771183000,16259598000,18709125000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-138161000,-174443000,-283345000,316420000
74,Depreciation and Amortization,88630000,242424000,410694000,587080000
75,Deferred Income Tax,-3314000,-2373000,7375000,- -
76,Stock Based Compensation,- -,63746000,349846000,120724000
77,Change in Working Capital,7990000,-128322000,130438000,5021000
