,https://roic.ai/company/SRAX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1802963,1119281,3413353,5120343,30294165,35763047,23348714,9880608,3584000,8647000
2,COGS,856519,627362,2326344,2791948,14407363,23226995,9328893,3156920,1680000,2589000
3,Gross Profit,946444,491919,1087009,2328395,15886802,12536052,14019821,6723688,1904000,6058000
4,Gross Profit Ratio,0.5249,0.4395,0.3185,0.4547,0.5244,0.3505,0.6005,0.6805,0.5313,0.7006
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,16144000,13677000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2454000,2675000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,18598000,16352000
9,Other Expenses,939727,1750778,2521984,6066611,14834766,16648705,17016789,18442839,1164000,1303000
10,Operating Expenses,939727,1750778,2521984,6066611,14834766,16648705,17016789,18442839,19762000,17655000
11,COGS and Expenses,1796246,2378140,4848328,8858559,29242129,39875700,26345682,21599759,21442000,20244000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,9000,- -
13,Interest Expense (Gain),- -,- -,312465,673347,3775945,3210076,2815203,4265065,725000,12150000
14,Depreciation and Amortization,- -,3000,7184,14829,411538,387032,528620,767822,1163000,9128000
15,EBITDA,6717,-1255859,-1427791,-3723387,1463574,-651125,-3315059,13776480,-14971000,6547000
16,EBITDA ratio,0.0037,-1.1220,-0.4183,-0.7272,0.0483,-0.0182,-0.1420,1.3943,-4.1772,0.7571
17,Operating Income,6717,-1258859,-1434975,-3738216,1052036,-4782653,-3843679,-11719151,-17858000,-11597000
18,Operating Income ratio,0.0037,-1.1247,-0.4204,-0.7301,0.0347,-0.1337,-0.1646,-1.1861,-4.9827,-1.3412
19,Total Other Income Expenses (Gains),- -,- -,-312465,-673347,-3775945,534420,-2815203,20462744,999000,-3082000
20,Income Before Tax,6717,-1258859,-1747440,-4411563,-2723909,-4248233,-6658882,8743593,-16859000,-14679000
21,Income Before Tax Ratio,0.0037,-1.1247,-0.5119,-0.8616,-0.0899,-0.1188,-0.2852,0.8849,-4.7040,-1.6976
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000
23,Net Income,6717,-1258859,-1747440,-4411563,-2723909,-4248233,-6658882,8743593,-16859000,-14705000
24,Net Income ratio,0.0037,-1.1247,-0.5119,-0.8616,-0.0899,-0.1188,-0.2852,0.8849,-4.7040,-1.7006
25,EPS,0.00,-0.50,-0.60,-1.00,-0.50,-0.69,-0.81,0.88,-1.36,-0.91
26,EPS Diluted,0.00,-0.50,-0.60,-1.00,-0.50,-0.69,-0.81,0.88,-1.36,-0.91
27,Weighted Average Shares Outstanding,2465753,2568554,2938202,4361703,5414710,6196197,8253851,10121408,12377851,16145778
28,Weighted Average Shares Outstanding Diluted,2465753,2568554,2938202,4361703,5414710,6196197,8253851,10121408,12377851,16145778
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1538217/000114420413019050/0001144204-13-019050-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335014000286/scri_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000155335015000308/scri_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000155335016001712/0001553350-16-001712-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335017000349/0001553350-17-000349-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335018000287/0001553350-18-000287-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335019000396/srax_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000149315220007556/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000149315221007542/0001493152-21-007542-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,221664,105987,1715264,1843393,1091186,1048762,1017299,2784865,32000,451
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8447
33,Cash and Short-Term Investments,221664,105987,1715264,1843393,1091186,1048762,1017299,2784865,32000,8898
34,Net Receivables,812819,91821,441831,3874620,7056298,8411019,4348305,1828940,805000,2608
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,122927,63834,51127,229884,345526,338991,769234,853908,1021000,367
37,Total Current Assets,1157410,261642,2208222,5947897,8493010,9798772,6134838,5467713,1858000,11873
38,PP&E,- -,15000,27798,27602,43936,55492,154546,192065,647000,118
39,Goodwill,- -,- -,- -,- -,16314957,15644957,15644957,15644957,15645000,23351
40,Intangible Assets,- -,- -,- -,- -,1611744,1365241,1642760,1762605,1966000,2409
41,Intangible Assets,- -,- -,- -,18318911,17926701,17010198,17287717,17407562,17611000,25760
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3555,1671527,3920559,2062999,34659,28598,51153,118000,8447
