,https://roic.ai/company/SNEX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,9265994,11321295,12301621,9350224,9916924,12280941,4671388,5379572,10754755,22037729,26140031,102761000,4460314000,18358900000,43604400000,46940300000,75497600000,69260600000,43768300000,34022400000,34693200000,14754900000,29423600000,27622700000,32897000000,54139600000,42534200000
2,COGS,- -,1884935,2478864,2613828,1932496,2739266,3698799,4758998,2216073,4321490,9221047,11818019,85631000,4446542000,18282700000,43561900000,46804300000,75286300000,69047900000,43654600000,33902300000,34512500000,14574900000,29226700000,27378800000,32636900000,53766700000,42063300000
3,Gross Profit,- -,7381059,8842431,9687793,7417728,7177658,8582142,-87610,3163499,6433265,12816682,14322012,17130000,13772000,76200000,42500000,136000000,211300000,212700000,113700000,120100000,180700000,180000000,196900000,243900000,260100000,372900000,470900000
4,Gross Profit Ratio,- -,0.7966,0.7810,0.7875,0.7933,0.7238,0.6988,-0.0188,0.5881,0.5982,0.5816,0.5479,0.1667,0.0031,0.0042,0.0010,0.0029,0.0028,0.0031,0.0026,0.0035,0.0052,0.0122,0.0067,0.0088,0.0079,0.0069,0.0111
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1013800,1101143,1282602,1313538,1128753,1625574,1479139,1094240,1371712,1755833,2827367,2796000,5503000,7000000,5900000,25400000,46500000,60700000,62100000,65600000,67500000,74700000,87900000,92800000,107300000,76100000,97300000
7,Selling and Marketing Exp.,- -,962534,1303134,1228344,1186344,833805,1216914,714675,230024,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2400000,2300000,3100000,2700000,5100000,4000000,6200000,5200000,12200000,33300000
8,"Selling, General and Administrative Exp.",- -,1976334,2404277,2510946,2499882,1962558,2842488,2193814,1324264,1371712,1755833,2827367,2796000,5503000,7000000,5900000,25400000,48300000,63100000,64400000,68700000,70200000,79800000,91900000,99000000,112500000,88300000,130600000
9,Other Expenses,- -,4461044,5222993,5956595,5215004,4519729,5217307,2486247,2310616,3585859,6687755,7375434,9073000,14158000,21600000,23700000,86900000,92600000,125900000,22900000,21900000,23300000,28900000,38400000,27400000,31900000,117000000,178100000
10,Operating Expenses,- -,6437378,7627270,8467541,7714886,6482287,8059795,4680061,3634880,4957571,8443588,10202801,11869000,19661000,28600000,29600000,112300000,140900000,189000000,87300000,90600000,93500000,108700000,130300000,126400000,144400000,205300000,308700000
11,COGS and Expenses,- -,8322313,10106134,11081369,9647382,9221553,11758594,9439059,5850953,9279061,17664635,22020820,97500000,4466203000,18311300000,43591500000,46916600000,75427200000,69236900000,43741900000,33992900000,34606000000,14683600000,29357000000,27505200000,32781300000,53972000000,42372000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,212615,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23600000,- -
14,Depreciation and Amortization,- -,89248,126017,162122,177991,152001,367118,528834,376975,362341,185769,320617,420000,838000,1200000,700000,1700000,4700000,7200000,8000000,7300000,7200000,7800000,9800000,11600000,14000000,29600000,48700000
15,EBITDA,- -,1032929,1341178,1382374,-119168,847372,889465,-4238837,318603,1838035,4558863,4418149,5610000,-5636000,47000000,30900000,13500000,64500000,26600000,30600000,33000000,85300000,80500000,25000000,113100000,125000000,259900000,202800000
16,EBITDA ratio,- -,0.1115,0.1185,0.1124,-0.0127,0.0854,0.0724,-0.9074,0.0592,0.1709,0.2069,0.1690,0.0546,-0.0013,0.0026,0.0007,0.0003,0.0009,0.0004,0.0007,0.0010,0.0025,0.0055,0.0008,0.0041,0.0038,0.0048,0.0048
17,Operating Income,- -,943681,1215161,1220252,-297158,695371,522347,-4767671,-471381,1475694,4373094,4119211,35877000,53585000,127400000,91300000,269000000,423200000,457700000,315300000,322000000,431800000,443900000,492600000,581600000,653200000,868000000,1150000000
18,Operating Income ratio,- -,0.1018,0.1073,0.0992,-0.0318,0.0701,0.0425,-1.0206,-0.0876,0.1372,0.1984,0.1576,0.3491,0.0120,0.0069,0.0021,0.0057,0.0056,0.0066,0.0072,0.0095,0.0124,0.0301,0.0167,0.0211,0.0199,0.0160,0.0270
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-1,- -,- -,- -,200394,- -,- -,- -,-30616000,-59474000,-79800000,-78400000,-251100000,-363700000,-438400000,-292700000,-296000000,-353700000,-371200000,-477400000,-480100000,-542200000,-661300000,-995900000
20,Income Before Tax,- -,943681,1215161,1220252,-297159,695371,522347,-4767671,-270987,1475694,4373094,4119211,5261000,-5889000,47600000,12900000,17900000,59500000,19300000,22600000,26000000,78100000,72700000,15200000,101500000,111000000,206700000,154100000
21,Income Before Tax Ratio,- -,0.1018,0.1073,0.0992,-0.0318,0.0701,0.0425,-1.0206,-0.0504,0.1372,0.1984,0.1576,0.0512,-0.0013,0.0026,0.0003,0.0004,0.0008,0.0003,0.0005,0.0008,0.0023,0.0049,0.0005,0.0037,0.0034,0.0038,0.0036
22,Income Tax expense (Gain),- -,366413,488800,502383,-79821,298190,243204,-1462743,- -,211309,1847739,1483897,1730000,-1982000,18000000,2600000,6400000,22500000,4400000,3300000,6400000,22400000,18000000,8800000,46000000,25900000,37100000,37800000
23,Net Income,- -,577268,726361,717869,-217338,397181,279143,-3304928,-270987,1264385,2525355,2613635,3460000,-4492000,27800000,27600000,5400000,37300000,15000000,19300000,19300000,55700000,54700000,6400000,55500000,85100000,169600000,116300000
