,https://roic.ai/company/ABNB,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2561721000,3651985000,4805239000,3378199000,5991760000
2,COGS,647690000,864032000,1196313000,876042000,1155833000
3,Gross Profit,1914031000,2787953000,3608926000,2502157000,4835927000
4,Gross Profit Ratio,0.7472,0.7634,0.7510,0.7407,0.8071
5,Research and Development Exp.,400749000,579193000,976695000,2752872000,1425048000
6,General and Administrative Exp.,327156000,479487000,697181000,1134851000,835324000
7,Selling and Marketing Exp.,871749000,1101327000,1621519000,1175325000,1186332000
8,"Selling, General and Administrative Exp.",1198905000,1580814000,2318700000,2310176000,2021656000
9,Other Expenses,395739000,609202000,815074000,877901000,847057000
10,Operating Expenses,1995393000,2769209000,4110469000,5940949000,4293761000
11,COGS and Expenses,2643083000,3633241000,5306782000,6816991000,5449594000
12,Interest Income ,32102000,66793000,85902000,27117000,12734000
13,Interest Expense (Gain),16403000,26143000,9968000,171688000,437599000
14,Depreciation and Amortization,79342000,82401000,114162000,125876000,138319000
15,EBITDA,36646000,155577000,-287573000,-4384374000,275711000
16,EBITDA ratio,0.0143,0.0426,-0.0598,-1.2978,0.0460
17,Operating Income,-81362000,18744000,-501543000,-3590147000,429317000
18,Operating Income ratio,-0.0318,0.0051,-0.1044,-1.0627,0.0717
19,Total Other Income Expenses (Gains),22263000,28289000,89840000,-1091791000,-729524000
20,Income Before Tax,-59099000,47033000,-411703000,-4681938000,-300207000
21,Income Before Tax Ratio,-0.0231,0.0129,-0.0857,-1.3859,-0.0501
22,Income Tax expense (Gain),10947000,63893000,262636000,-97222000,51827000
23,Net Income,-70046000,-16860000,-674339000,-4584716000,-352034000
24,Net Income ratio,-0.0273,-0.0046,-0.1403,-1.3571,-0.0588
25,EPS,-0.13,-0.03,-1.29,-16.12,-1.24
26,EPS Diluted,-0.13,-0.03,-1.29,-16.12,-1.24
27,Weighted Average Shares Outstanding,521709000,530945000,521709000,284363000,284363000
28,Weighted Average Shares Outstanding Diluted,521709000,530945000,521709000,284363000,284363000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/0001559720-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/0001559720-22-000006-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,2140877000,2013547000,5480557000,6067438000
32,Short-Term Investments,- -,1188431000,1060726000,910700000,2255038000
33,Cash and Short-Term Investments,- -,3329308000,3074273000,6391257000,8322476000
34,Net Receivables,- -,2305011000,3145457000,2181329000,3715471000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,240213000,341713000,343800000,348433000
37,Total Current Assets,- -,5874532000,6561443000,8916386000,12386380000
38,PP&E,- -,309408000,686867000,654262000,428621000
39,Goodwill,- -,289861000,652088000,655801000,652602000
40,Intangible Assets,- -,28756000,102912000,75886000,52308000
41,Intangible Assets,- -,318617000,755000000,731687000,704910000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,110532000,306809000,189164000,188563000
45,Total Non-Current Assets,- -,738557000,1748676000,1575113000,1322094000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,6613089000,8310119000,10491499000,13708474000
48,Accounts Payable,- -,70630000,151417000,79898000,118361000
49,Short-Term Debt,- -,- -,38022000,83341000,63479000
50,Tax Payable,- -,159901000,207462000,165257000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3665380000,5044325000,4976540000,6177442000
