,https://roic.ai/company/HYZN,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,6049000
2,COGS,- -,21191000
3,Gross Profit,- -,-15142000
4,Gross Profit Ratio,- -,-2.5032
5,Research and Development Exp.,1446000,16443000
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,69792000
9,Other Expenses,12785000,21191000
10,Operating Expenses,14231000,107426000
11,COGS and Expenses,14231000,128617000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),37000,5235000
14,Depreciation and Amortization,13000,1140000
15,EBITDA,-14218000,-7471000
16,EBITDA ratio,-Infinity,-1.2351
17,Operating Income,-14231000,-101377000
18,Operating Income ratio,-Infinity,-16.7593
19,Total Other Income Expenses (Gains),-145000,87531000
20,Income Before Tax,-14376000,-13846000
21,Income Before Tax Ratio,-Infinity,-2.2890
22,Income Tax expense (Gain),- -,- -
23,Net Income,-14271000,-13846000
24,Net Income ratio,-Infinity,-2.2890
25,EPS,-0.06,-0.06
26,EPS Diluted,-0.06,-0.06
27,Weighted Average Shares Outstanding,247644988,247644988
28,Weighted Average Shares Outstanding Diluted,247644988,247644988
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1716583/000119312521159551/0001193125-21-159551-index.htm,https://www.sec.gov/Archives/edgar/data/1716583/000119312522089751/0001193125-22-089751-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,17139000,445146000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,17139000,445146000
34,Net Receivables,- -,2598000
35,Inventory,- -,19245000
36,Other Current Assets,848000,28234000
37,Total Current Assets,17987000,495223000
38,PP&E,2074000,24576000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,4948000
43,Tax Assets,- -,- -
44,Other Non-Current Assets,944000,5430000
45,Total Non-Current Assets,3018000,34954000
46,Other Assets,- -,- -
47,Total Assets,21005000,530177000
48,Accounts Payable,215000,8430000
49,Short-Term Debt,618000,1886000
50,Tax Payable,- -,- -
51,Deferred Revenue,2608000,- -
52,Other Current Liabilities,1622000,20889000
53,Total Current Liabilities,5063000,31205000
54,Long-Term Debt,1181000,- -
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,- -,129115000
58,Total Non-Current Liabilities,1181000,129115000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,1799000,- -
61,Total Liabilities,6244000,160320000
62,Preferred Stock,- -,- -
63,Common Stock,94000,25000
64,Retained Earnings,-14271000,-28117000
65,Other Comprehensive Income/Loss,-16000,373000
66,Other Total Stockholders Equity,- -,403016000
67,Total Stockholders Equity,14852000,375297000
68,Total Liabilities And Stockholders Equity,21096000,535617000
69,Minority Interest,-91000,-5440000
70,Total Liabilities & Equity,21005000,530177000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1716583/000119312521159551/0001193125-21-159551-index.htm,https://www.sec.gov/Archives/edgar/data/1716583/000119312522089751/0001193125-22-089751-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-14271000,-19285000
74,Depreciation and Amortization,13000,1140000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,9983000,29148000
77,Change in Working Capital,3026000,451094000
78,Accounts Receivable,- -,-2614000
79,Inventory,- -,-19276000
80,Accounts Payable,215000,8164000
81,Other Working Capital,12924000,464018000
82,Other Non-Cash Items,72000,-557288000
83,Cash Provided by Operating Activities,-1177000,-95191000
84,CAPEX,-431000,-4257000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,-122000,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,-9181000
89,Cash Used for Investing Activites,-553000,-23706000
90,Debt Repayment,-29000,-406000
91,Common Stock Issued,19584000,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,-661000,551098000
95,Cash Used/Provided by Financing Activities,18894000,550692000
96,Effect of Forex Changes on Cash,-25000,431000
97,Net Change In Cash,18894000,432226000
98,Cash at the End of Period,17139000,449365000
99,Cash at the Beginning of Period,- -,17139000
100,Free Cash Flow,-1608000,-99448000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1716583/000119312521159551/0001193125-21-159551-index.htm,https://www.sec.gov/Archives/edgar/data/1716583/000119312522089751/0001193125-22-089751-index.htm
102,false,,
