,https://roic.ai/company/GTBIF,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16528779,62493680,216432605,556572889,893560000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300714,29787271,109401914,252404301,401631000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7228065,32706409,107030691,304168588,491929000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4373,0.5234,0.4945,0.5465,0.5505
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,2758066,1824826,1564100,1175328,632893,464402,336025,275178,10806538,51179306,- -,198061759,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,85102,134860,43631,- -,- -,- -,- -,- -,190384,1494239,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,2843168,1959686,1607731,1175328,632893,464402,336025,275178,10996922,52673545,- -,198061759,277087000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261264,3849078,134721393,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11258186,56522623,134721393,198061759,277087000
11,COGS and Expenses,- -,197609,307936,221793,6132244,10726185,3031643,2038465,1645289,1197443,641984,468421,338809,277280,20558900,86309894,244123307,450466060,678718000
12,Interest Income ,- -,3165,2435,42074,269999,1320247,310702,63806,81916,24882,20122,- -,- -,- -,- -,1952945,1465705,113667,- -
13,Interest Expense (Gain),- -,589,- -,- -,- -,- -,- -,- -,101921,127036,147042,163070,177620,190847,432448,2278834,13658904,18666520,-21976000
14,Depreciation and Amortization,- -,- -,776,1749,10027,48090,52782,42959,37558,22116,9091,4019,2785,2102,689988,5183980,38773494,78792828,68458000
15,EBITDA,- -,-197609,-307160,-220045,-6104312,-8918236,3752247,20526248,-1537333,-1150446,-612771,-464402,-336025,-275178,-2406278,8223881,2660024,196305117,251457000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1456,0.1316,0.0123,0.3527,0.2814
17,Operating Income,- -,-197609,-307936,-221793,-6150149,-12486044,-3031643,-2038465,-1645289,-1197443,-641984,-468421,-338809,-277280,-4262707,-27518769,-27690702,106106829,214842000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2579,-0.4403,-0.1279,0.1906,0.2404
19,Total Other Income Expenses (Gains),- -,-8053,-21769,-36514,-225148,2777414,-6225391,-22446473,-8333497,-22074484,-2321153,-218376,-3610882,-702435,111951,56091532,-22512135,-3176107,-9867000
20,Income Before Tax,- -,- -,- -,- -,- -,-9708631,-9257034,-24484939,-9978786,-23271927,-2963137,-686797,-3949691,-979715,-4150756,28572763,-50202837,102930722,204975000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2511,0.4572,-0.2320,0.1849,0.2294
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-5818794,-2680871,-2573494,- -,- -,- -,- -,- -,- -,214000,8624595,9344033,83852802,124612000
23,Net Income,- -,-203784,-327775,-220657,-6126712,-3889837,-6576162,-21911444,-9978786,-23271927,-2963137,-686797,-3949691,-979715,-3742714,-7863528,-59116407,14992967,80363000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2264,-0.1258,-0.2731,0.0269,0.0899
25,EPS,- -,-85.84,-93.37,-52.70,-327.03,-112.66,-173.94,-521.74,-169.35,-385.00,-46.74,-9.92,-58.83,-10.86,-44.81,-0.05,-0.31,0.07,0.34
26,EPS Diluted,- -,-85.84,-93.37,-52.70,-327.03,-112.66,-173.94,-521.74,-169.35,-385.00,-46.74,-9.92,-58.83,-10.86,-44.81,-0.05,-0.31,0.07,0.33
27,Weighted Average Shares Outstanding,- -,2434,3647,5338,18848,30998,40192,41928,58643,60631,61158,62509,67985,81708,83519,148318518,190602400,210988259,223192326
28,Weighted Average Shares Outstanding Diluted,- -,2434,3647,5338,18848,30998,40192,41928,58643,60631,61158,62509,67985,81708,83519,148318518,190602400,212531188,226758882
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1795139/000119312521084882/0001193125-21-084882-index.htm,https://www.sec.gov/Archives/edgar/data/1795139/000095017022002469/0000950170-22-002469-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,580322,244280,2228569,5288011,160664,269562,375491,975351,239007,57482,131644,77238,151546,29565497,145986072,46667334000,83757785,230420000
32,Short-Term Investments,- -,- -,- -,- -,5712760,25535699,4002727,2673449,779790,315400,39498,35364,17225,36695,- -,- -,14068821000,40794806,- -
33,Cash and Short-Term Investments,- -,580322,244280,2228569,11000771,25696364,4272289,3048940,1755141,554407,96980,167008,94463,188241,29565497,145986072,60736155000,124552591,230420000
34,Net Receivables,- -,9410,5866,14050,282561,892398,241946,129121,1184913,130932,29951,3375,3705,7321,4867057,8074404,7530253000,21414987,22099000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2689762,11371868,46034481000,69542953,95471000
36,Other Current Assets,- -,10213,13033,29043,23211,337687,255261,72495,40787,69218,52227,15541,34104,9423,2667520,8963696,-5238278000,-31566526,144120000
37,Total Current Assets,- -,599945,263180,2271662,11306542,26926448,4769496,3250557,2980842,754558,179157,185924,132272,204985,39789836,174396040,109062611000,183944005,492110000
38,PP&E,- -,319423,862986,1322478,15591793,47554373,44643140,31874612,31506391,10337711,8113943,7357341,3332554,2393855,31558357,65324080,155596675000,330308658,585401000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188260,29324360,375084991000,382697467,632849000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14161995,91565678,435246898000,406242034,675491000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14350255,120890038,810331889000,788939501,1308340000
42,Investments,- -,- -,- -,- -,- -,- -,144311,24056,736196,17888,6703,6167,5484,5064,- -,46783283,24418821,53464769,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81846000
44,Other Non-Current Assets,- -,- -,6078,6140,916788,1373132,255598,996993,18185,-0,- -,0,-0,- -,1458833,9609144,-24418821,1892229,-81846000
45,Total Non-Current Assets,- -,319423,869064,1328618,16508580,48927505,45043049,32895661,32260772,10355599,8120646,7363508,3338039,2398919,47367445,242606545,965928564000,1174605157,1893741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4279592000
47,Total Assets,- -,919368,1132244,3600280,27815122,75853954,49812545,36146217,35241613,11110157,8299803,7549432,3470311,2603904,87157281,417002585,1074991175000,1358549162,2385851000
48,Accounts Payable,- -,22832,42965,25085,468258,2520054,- -,- -,- -,- -,1593813,1740600,1781205,1708152,4044760,8928528,9990377000,20503572,14086000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8861376,1480660,4039943,4204093,239151000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000,505585,5505904,16142041,1527000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36279361000,35557630,- -
52,Other Current Liabilities,- -,9367,8886,4525,- -,- -,232629,323698,2243768,1660798,449584,650901,860818,1081193,1374521,37210324,65093477057,59023140,-48858000
53,Total Current Liabilities,- -,32198,51851,29611,468258,2520054,232629,323698,2243768,1660798,2043397,2391501,2642023,2789345,14280657,47619512,111367255000,119288435,204379000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7206673,5733797,- -,98712996,238368000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81846000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,5348434,2130676,- -,- -,- -,- -,- -,- -,- -,- -,5454000,- -,35557630,81846000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301105,9315377,- -,190830760,159934000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,5348434,2130676,- -,- -,- -,- -,- -,- -,- -,7507778,20503174,- -,325101386,561994000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212960693000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64949005,150288870,- -
61,Total Liabilities,- -,32198,51851,29611,468258,7868488,2363305,323698,2243768,1660798,2043397,2391501,2642023,2789345,21788435,68122686,324327948000,444389821,766373000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81356649,74916029,66811607,61716523,- -,402667548,- -,1048640398,- -
64,Retained Earnings,- -,-222857,-570193,-864274,-10338092,-15861781,-18821550,-44644675,-57960400,-91092289,-91428764,-84809706,-79370592,-74262403,-3742714,-100189487,- -,-145498623,-70063000
65,Other Comprehensive Income/Loss,- -,92396,228537,-2625,32039,-103974,-92526,-146488,-178475,16804926,16328521,15051609,13387273,12360439,- -,-3883342,- -,- -,- -
66,Other Total Stockholders Equity,- -,1110026,1650586,4437568,37713619,83951221,66363316,80613683,91136721,100657143,-0,0,-0,-0,- -,46787721,843208676,7480470,1619478000
67,Total Stockholders Equity,- -,887169,1080392,3570669,27346864,67985466,47449240,35822519,32997846,9449359,6256405,5157931,828288,-185441,62002496,345382440,840695763,910622245,1619478000
68,Total Liabilities And Stockholders Equity,- -,919368,1132244,3600280,27815122,75853954,49812545,36146217,35241613,11110157,8299803,7549432,3470311,2603904,83790931,413505126,325168643763,1355012066,2385851000
69,Minority Interest,- -,-0,- -,-0,0,-0,0,- -,-0,-0,0,- -,-0,-0,3366350,3497459,749822531237,3537096,- -
70,Total Liabilities & Equity,- -,919368,1132244,3600280,27815122,75853954,49812545,36146217,35241613,11110157,8299803,7549432,3470311,2603904,87157281,417002585,1074991175000,1358549162,2385851000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1795139/000119312521084882/0001193125-21-084882-index.htm,https://www.sec.gov/Archives/edgar/data/1795139/000095017022002469/0000950170-22-002469-index.htm
