,https://roic.ai/company/AEYE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,138021,282062,1558160,523307,338863,994265,2739439,5660427,10765153,20475000,24503000
2,COGS,641124,265330,404088,1197936,1224652,1226321,1384145,2626815,4383112,5961000,6121000
3,Gross Profit,-503103,16732,1154072,-674629,-885789,-232056,1355294,3033612,6382041,14514000,18382000
4,Gross Profit Ratio,-3.6451,0.0593,0.7407,-1.2892,-2.6140,-0.2334,0.4947,0.5359,0.5928,0.7089,0.7502
5,Research and Development Exp.,- -,- -,56515,610329,375817,343712,181303,194429,701054,1230000,5304000
6,General and Administrative Exp.,810341,823228,3243382,6455327,4633702,2568227,3732749,4950138,8914988,11945000,13970000
7,Selling and Marketing Exp.,- -,- -,301280,1537732,884440,713972,1421127,2462865,4583796,8472000,14621000
8,"Selling, General and Administrative Exp.",810341,823228,3544662,7993059,5518142,3282199,5153876,7413003,13498784,20417000,28591000
9,Other Expenses,- -,- -,359414,416009,534220,570247,538761,- -,- -,- -,- -
10,Operating Expenses,810341,823228,3960591,9019397,6428179,4196158,5873940,7607432,14199838,21647000,33895000
11,COGS and Expenses,1451465,1088558,4364679,10217333,7652831,5422479,7258085,10234247,18582950,27608000,40016000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),280050,98543,56607,10587,76723,675997,917992,- -,- -,145000,-12000
14,Depreciation and Amortization,13111,3883,359414,416009,534220,570247,538761,551335,722521,1173000,- -
15,EBITDA,-1451241,-790613,-2466605,-9324217,-6598202,-8332386,-4151086,-4468539,-7060750,-5840000,-14221000
16,EBITDA ratio,-10.5146,-2.8030,-1.5830,-17.8179,-19.4716,-8.3804,-1.5153,-0.7894,-0.6559,-0.2852,-0.5804
17,Operating Income,-1461352,-806496,-2806519,-9694026,-7313968,-4478214,-4518646,-4573820,-7817797,-7133000,-15513000
18,Operating Income ratio,-10.5879,-2.8593,-1.8012,-18.5245,-21.5838,-4.5040,-1.6495,-0.8080,-0.7262,-0.3484,-0.6331
19,Total Other Income Expenses (Gains),-283050,-86543,-76107,-56787,104823,-5100416,-1089193,-446054,34526,-25000,1304000
20,Income Before Tax,-1744402,-893039,-2882626,-9750813,-7209145,-9578630,-5607839,-5019874,-7783271,-7158000,-14209000
21,Income Before Tax Ratio,-12.6387,-3.1661,-1.8500,-18.6331,-21.2745,-9.6339,-2.0471,-0.8868,-0.7230,-0.3496,-0.5799
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1744402,-893039,-2882626,-9750813,-7209145,-9578630,-5607839,-5019874,-7783271,-7158000,-14209000
24,Net Income ratio,-12.6387,-3.1661,-1.8500,-18.6331,-21.2745,-9.6339,-2.0471,-0.8868,-0.7230,-0.3496,-0.5799
25,EPS,-1.01,-0.52,-1.75,-4.00,-2.50,-2.50,-1.25,-0.74,-0.97,-0.77,-1.53
26,EPS Diluted,-1.01,-0.52,-1.75,-4.00,-2.50,-2.50,-1.25,-0.74,-0.97,-0.77,-1.53
27,Weighted Average Shares Outstanding,1722487,1722487,1700584,2478494,3217820,3956222,4693436,6892238,8107181,9313000,9313000
28,Weighted Average Shares Outstanding Diluted,1722487,1722487,1700584,2478494,3217820,3956222,4693436,6892238,8107181,9313000,9313000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1362190/000110465914024488/0001104659-14-024488-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000110465915050689/0001104659-15-050689-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000114420416091312/0001144204-16-091312-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420417017567/0001144204-17-017567-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420418018523/0001144204-18-018523-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420419016348/0001144204-19-016348-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000110465920040172/0001104659-20-040172-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000110465921035092/0001104659-21-035092-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000141057822000353/0001410578-22-000353-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,27426,11147,1847004,1672901,1687257,1409418,1960430,5741549,1972160,9095000,18966000
32,Short-Term Investments,18000,30000,- -,63800,53600,1200,750,510,- -,- -,- -
33,Cash and Short-Term Investments,45426,41147,1847004,1736701,1740857,1410618,1961180,5742059,1972160,9095000,18966000
34,Net Receivables,24762,205781,651547,1446676,22741,44645,105817,172384,3118319,5096000,5311000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
