,https://roic.ai/company/DYNR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1650000,- -,- -,41074,305652,- -,- -,- -,1476188,944910,9496105,10850091,14059697,11612722,9048831,35886046
2,COGS,- -,2097378,4490898,1577996,3620617,2654227,895713,968590,3715011,3419225,5212812,3525246,6540126,6363837,4586923,2909401
3,Gross Profit,- -,-2097378,-4490898,-1536922,-3314965,-2654227,-895713,-968590,-2238823,-2474315,4283293,7324845,7519571,5248885,4461908,32976645
4,Gross Profit Ratio,- -,-Infinity,-Infinity,-37.4184,-10.8456,-Infinity,-Infinity,-Infinity,-1.5166,-2.6186,0.4511,0.6751,0.5348,0.4520,0.4931,0.9189
5,Research and Development Exp.,1190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1590000,866925,1094891,1602146,2142446,2801772,2935834,2327628,2438025,3988331,2598916,4412887,5645149,5417497,5531106,4773473
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1590000,866925,1094891,1602146,2142446,2801772,2935834,2327628,2438025,3988331,2598916,4412887,5645149,5417497,5531106,4773473
9,Other Expenses,150000,255978,591107,141571,142951,132022,193767,67475,56468,128513,- -,3539523,3639791,1486037,1610747,17926876
10,Operating Expenses,2930000,1122903,1685998,1743717,2285397,2933794,3129601,2395103,2494493,4116844,2598916,7952410,9284940,6903534,7141853,22700349
11,COGS and Expenses,2930000,3220281,6176896,3321713,5906014,5588021,4025314,3363693,6209504,7536069,7811728,11477656,15825066,13267371,11728776,25609750
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-450000,- -,- -,- -,- -,- -,- -,133349,209553,240129,119532,158944,391757,492907,1133360,-1573125
14,Depreciation and Amortization,150000,146391,161006,141571,142951,132022,193767,67475,56468,125164,77638,153862,278815,3255,3249,3249
15,EBITDA,-2950000,-3073890,-6015890,-2676186,-4229522,-5455999,-3831547,-3296218,-5725680,-9414707,2144895,2966016,845143,-302173,-4167625,6993457
16,EBITDA ratio,-1.7879,-Infinity,-Infinity,-65.1552,-13.8377,-Infinity,-Infinity,-Infinity,-3.8787,-9.9636,0.2259,0.2734,0.0601,-0.0260,-0.4606,0.1949
17,Operating Income,-1280000,-3220281,-6176896,-3280639,-5600362,-5588021,-4025314,-3363693,-4733316,-6591159,1684377,-627565,-1765369,-1654649,-2679945,13185697
18,Operating Income ratio,-0.7758,-Infinity,-Infinity,-79.8714,-18.3227,-Infinity,-Infinity,-Infinity,-3.2064,-6.9754,0.1774,-0.0578,-0.1256,-0.1425,-0.2962,0.3674
19,Total Other Income Expenses (Gains),-450000,6627,5170,7892,423378,-305881,277956,-218629,-1794742,-3749484,-19985,3155274,1553851,793803,-2685878,-4622364
20,Income Before Tax,-1730000,-3213654,-6171726,-3272747,-5176984,-5893902,-3747358,-3582322,-6528058,-10340643,1664392,2527709,-211518,-860846,-5365823,8563333
21,Income Before Tax Ratio,-1.0485,-Infinity,-Infinity,-79.6793,-16.9375,-Infinity,-Infinity,-Infinity,-4.4222,-10.9435,0.1753,0.2330,-0.0150,-0.0741,-0.5930,0.2386
22,Income Tax expense (Gain),- -,-38259,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28970
23,Net Income,-2650000,-3175395,-5236992,-2817757,-4372473,-4269119,-2221613,-2978187,-5991701,-9780000,1947725,2653210,174571,-798335,-5304234,8534363
24,Net Income ratio,-1.6061,-Infinity,-Infinity,-68.6020,-14.3054,-Infinity,-Infinity,-Infinity,-4.0589,-10.3502,0.2051,0.2445,0.0124,-0.0687,-0.5862,0.2378
25,EPS,-0.36,-0.40,-0.58,-0.33,-0.46,-0.42,-0.21,-0.29,-0.55,-0.92,0.11,0.15,0.00,-0.05,-0.31,0.48
26,EPS Diluted,-0.36,-0.40,-0.58,-0.33,-0.46,-0.42,-0.21,-0.29,-0.55,-0.92,0.09,0.14,0.00,-0.05,-0.31,0.48
27,Weighted Average Shares Outstanding,7300000,7945319,9073913,9094458,9513930,10052749,10728677,10830090,12196353,15819701,16722825,17076250,17722825,17722825,17722825,17722825
28,Weighted Average Shares Outstanding Diluted,7300000,9669902,9073913,9094458,9513930,10052749,10728677,10830090,12196353,15819701,18560464,18943790,17722825,17722825,17722825,17722825
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1111741/000112178109000137/0001121781-09-000137-index.html,https://www.sec.gov/Archives/edgar/data/1111741/000112178110000128/0001121781-10-000128-index.html,- -,https://www.sec.gov/Archives/edgar/data/1111741/000112178113000018/0001121781-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178113000092/0001121781-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178114000183/0001121781-14-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000135448815002119/0001354488-15-002119-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178116000438/0001121781-16-000438-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495417003670/0001654954-17-003670-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495418003966/0001654954-18-003966-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178119000077/0001121781-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495420006436/dyna_10k.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495421003661/0001654954-21-003661-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495422003737/0001654954-22-003737-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,820000,2060665,2339561,1640508,1277065,2670933,1522652,1143344,250959,1922599,2197005,3528735,2685576,354572,1504016,15719238
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,820000,2060665,2339561,1640508,1277065,2670933,1522652,1143344,250959,1922599,2197005,3528735,2685576,354572,1504016,15719238
34,Net Receivables,250000,164931,213514,170970,255384,34593,88022,296038,228557,748726,1537504,1055556,1920288,2400592,4131768,577118
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,100000,98056,561238,907982,1588778,523089,603967,2110203
36,Other Current Assets,80000,72063,138773,217136,269518,45134,45129,- -,- -,- -,73871,38397,372936,336969,578661,5409922
37,Total Current Assets,1150000,2297659,2691848,2028614,1801967,2750660,1655803,1439382,579516,2769381,4369618,5530670,6567578,3615222,6818412,23816481
38,PP&E,5000000,4804588,4745746,4663242,4625563,5185844,4391886,4425485,4399813,635950,4711421,5830748,6582032,4954766,4873876,648381
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4132678,4132678,4132678,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4132678,4132678,4132678,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-10000,- -,5788,506666,5788,178178,197283,464159,217536,179273,-4117228,-4070784,96409,99223,95380,4297581
45,Total Non-Current Assets,4990000,4804588,4751534,5169908,4701351,5434022,4659169,4959644,4687349,5017901,4796871,5962642,6748441,5123989,5039256,4945962
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6140000,7102247,7443382,7198522,6503318,8184682,6314972,6399026,5266865,7787282,9166489,11493312,13316019,8739211,11857668,28762443
48,Accounts Payable,40000,- -,96970,40586,32225,73266,196252,114498,231315,259762,309952,803291,2283803,2059429,2274011,1275679
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,203500,956250,956250,1080026,1543445,1819155,2066740,543279
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1750000,1000000,2500000,- -
52,Other Current Liabilities,110000,40165,6133,43317,64772,52029,160210,366722,1070232,6563486,6535868,5472207,2774023,2093008,5756653,20649812
53,Total Current Liabilities,150000,40165,103103,83903,96997,125295,356462,481220,1505047,7779498,7802070,7355524,8351271,6971592,12597404,22468770
54,Long-Term Debt,40000,- -,- -,- -,- -,- -,- -,- -,1759855,- -,- -,237910,1097915,1400801,4591444,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
