,https://roic.ai/company/ICFI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,111733000,143496000,145803000,139488000,177218000,331279000,727120000,697426000,674399000,764734000,840775000,937133000,949303000,1050134000,1132232000,1185097000,1229162000,1337973000,1478525000,1506875000,1553048000
2,COGS,62258000,87345000,- -,83638000,106078000,217747000,532153000,460002000,411334000,476187000,520522000,583195000,591516000,654946000,694436000,745137000,771725000,857508000,953187000,972406000,979570000
3,Gross Profit,49475000,56151000,- -,55850000,71140000,113532000,194967000,237424000,263065000,288547000,320253000,353938000,357787000,395188000,437796000,439960000,457437000,480465000,525338000,534469000,573478000
4,Gross Profit Ratio,0.4428,0.3913,- -,0.4004,0.4014,0.3427,0.2681,0.3404,0.3901,0.3773,0.3809,0.3777,0.3769,0.3763,0.3867,0.3712,0.3722,0.3591,0.3553,0.3547,0.3693
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,87056000,118128000,170360000,203428000,218533000,241062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263878000,272387000,302020000,329159000,328048000,346440000,360987000,395763000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,46097000,60039000,87056000,118128000,170360000,203428000,218533000,241062000,263878000,272387000,302020000,329159000,328048000,346440000,360987000,395763000,411612000,430572000
9,Other Expenses,46264000,50820000,- -,3155000,5541000,3536000,6316000,14090000,20553000,23101000,20307000,24440000,20715000,23806000,33406000,29119000,28579000,27206000,28182000,33748000,31970000
10,Operating Expenses,46264000,50820000,- -,49252000,65580000,90592000,124444000,184450000,223981000,241634000,261369000,288318000,293102000,325826000,362565000,357167000,375019000,388193000,423945000,445360000,462542000
11,COGS and Expenses,108522000,138165000,- -,132890000,171658000,308339000,656597000,644452000,635315000,717821000,781891000,871513000,884618000,980772000,1057001000,1102304000,1146744000,1245701000,1377132000,1417766000,1442112000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3003000,- -,1266000,2981000,3509000,1944000,4082000,5107000,3403000,2248000,3384000,2447000,4254000,10072000,9470000,8553000,8710000,10719000,13892000,10252000
14,Depreciation and Amortization,- -,3664000,- -,3155000,5541000,3536000,6316000,14090000,20553000,23101000,20307000,24440000,20715000,23806000,33406000,29119000,28579000,27206000,28182000,33748000,31970000
15,EBITDA,-1564000,8555000,2372000,9904000,12409000,27122000,77358000,67645000,60642000,70186000,79315000,89735000,85388000,92210000,107078000,113096000,111118000,118743000,129074000,122313000,142312000
16,EBITDA ratio,-0.0140,0.0596,0.0163,0.0710,0.0700,0.0819,0.1064,0.0970,0.0899,0.0918,0.0943,0.0958,0.0899,0.0878,0.0946,0.0954,0.0904,0.0887,0.0873,0.0812,0.0916
17,Operating Income,3211000,5331000,145803000,6598000,5560000,22940000,70523000,52974000,39084000,46913000,58884000,65620000,64685000,69362000,75231000,82793000,82418000,92272000,101393000,89109000,110936000
18,Operating Income ratio,0.0287,0.0372,1.0000,0.0473,0.0314,0.0692,0.0970,0.0760,0.0580,0.0613,0.0700,0.0700,0.0681,0.0661,0.0664,0.0699,0.0671,0.0690,0.0686,0.0591,0.0714
19,Total Other Income Expenses (Gains),-3688000,-2940000,- -,-1299000,-1673000,-2863000,-1425000,-3501000,-4102000,-3231000,-2124000,-3709000,-2459000,-5212000,-11631000,-8286000,-8432000,-9445000,-11220000,-14436000,-10846000
20,Income Before Tax,-477000,2391000,- -,5299000,3887000,20077000,69098000,49473000,34982000,43682000,56760000,61911000,62226000,64150000,63600000,74507000,73986000,82827000,90173000,74673000,100090000
21,Income Before Tax Ratio,-0.0043,0.0167,- -,0.0380,0.0219,0.0606,0.0950,0.0709,0.0519,0.0571,0.0675,0.0661,0.0655,0.0611,0.0562,0.0629,0.0602,0.0619,0.0610,0.0496,0.0644
22,Income Tax expense (Gain),-716000,1099000,- -,2466000,1865000,8210000,28542000,20750000,12626000,16511000,21895000,23836000,22896000,24120000,24231000,27923000,11110000,21427000,21235000,19714000,28958000
23,Net Income,-848000,789000,2372000,3017000,2022000,11867000,40556000,28723000,22356000,27171000,34865000,38075000,39330000,40030000,39369000,46584000,62876000,61400000,68938000,54959000,71132000
24,Net Income ratio,-0.0076,0.0055,0.0163,0.0216,0.0114,0.0358,0.0558,0.0412,0.0331,0.0355,0.0415,0.0406,0.0414,0.0381,0.0348,0.0393,0.0512,0.0459,0.0466,0.0365,0.0458
25,EPS,-0.12,0.10,0.26,0.33,0.22,1.15,2.87,1.96,1.45,1.40,1.77,1.94,1.99,2.04,2.04,2.45,3.35,3.27,3.66,2.92,3.77
26,EPS Diluted,-0.12,0.09,0.26,0.32,0.21,1.10,2.72,1.88,1.40,1.38,1.75,1.91,1.95,2.00,2.00,2.40,3.27,3.18,3.59,2.87,3.72
27,Weighted Average Shares Outstanding,6980000,8266000,9123077,9080000,9185000,10321000,14152000,14641000,15433000,19375000,19684000,19663000,19755000,19608000,19335000,18989000,18766000,18797000,18816000,18841000,18868000
28,Weighted Average Shares Outstanding Diluted,6980000,8385000,9123077,9398000,9737000,10796000,14896000,15270000,15914000,19626000,19928000,19957000,20186000,19997000,19663000,19416000,19244000,19335000,19224000,19135000,19124000
