,https://roic.ai/company/ONEW,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,391483000,602804759,767624000,1022970000,1228206000
2,COGS,305782000,465151070,595498000,787446000,870751000
3,Gross Profit,85701000,137653689,172126000,235524000,357455000
4,Gross Profit Ratio,0.2189,0.2284,0.2242,0.2302,0.2910
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,65352000,91296806,116503000,143396000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",65352000,91296806,116503000,143396000,199049000
9,Other Expenses,1055000,1684919,2682000,3249000,5411000
10,Operating Expenses,66407000,92981725,119185000,146645000,204460000
11,COGS and Expenses,372189000,558132795,714683000,934091000,1075211000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4952000,9370061,15963000,17689000,6910000
14,Depreciation and Amortization,1055000,1684919,2682000,3249000,5411000
15,EBITDA,1735000,12171495,54302000,44692000,117182000
16,EBITDA ratio,0.0044,0.0202,0.0707,0.0437,0.0954
17,Operating Income,19294000,44671964,54615000,78469000,148877000
18,Operating Income ratio,0.0493,0.0741,0.0711,0.0767,0.1212
19,Total Other Income Expenses (Gains),-23553000,-42725539,-17352000,-23632000,-6662000
20,Income Before Tax,-4259000,1946425,37263000,54837000,142215000
21,Income Before Tax Ratio,-0.0109,0.0032,0.0485,0.0536,0.1158
22,Income Tax expense (Gain),- -,- -,- -,6329000,25802000
23,Net Income,-4272000,1116515,35657000,17425000,79059000
24,Net Income ratio,-0.0109,0.0019,0.0465,0.0170,0.0644
25,EPS,-2.06,-0.77,1.76,2.79,7.13
26,EPS Diluted,-2.06,-0.77,1.76,2.77,6.96
27,Weighted Average Shares Outstanding,5395598,9530194,5395598,6243000,11087000
28,Weighted Average Shares Outstanding Diluted,5395598,9530194,5395598,6287000,11359000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1772921/000114036120027245/0001140361-20-027245-index.htm,https://www.sec.gov/Archives/edgar/data/1772921/000114036121042274/0001140361-21-042274-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,9662691,15345808,11108000,66087000,62606000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9662691,15345808,11108000,66087000,62606000
34,Net Receivables,5845799,10888564,15294000,18479000,28529000
35,Inventory,115349860,184361296,277338000,150124000,143880000
36,Other Current Assets,1196623,1918821,10353000,17368000,45923000
37,Total Current Assets,132054973,212514489,314093000,252058000,280938000
38,PP&E,9356148,18586549,15954000,18442000,156255000
39,Goodwill,81925111,96180010,113059000,113059000,168491000
40,Intangible Assets,34712000,47732000,61304000,61304000,85294000
41,Intangible Assets,116637111,143912010,174363000,174363000,253785000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,12854000,29110000
44,Other Non-Current Assets,298616,347416,345000,350000,526000
45,Total Non-Current Assets,126291875,162845975,190662000,206009000,439676000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,258346848,375360464,504755000,458067000,720614000
48,Accounts Payable,5781316,6339555,5546000,12781000,18114000
49,Short-Term Debt,- -,- -,- -,131454000,134759000
50,Tax Payable,- -,- -,- -,- -,4251000
51,Deferred Revenue,3201647,4198319,4880000,17280000,46610000
52,Other Current Liabilities,104299464,169137651,253068000,24221000,28147000
53,Total Current Liabilities,113282427,179675525,263494000,185736000,227630000
54,Long-Term Debt,25359094,39954403,64789000,81977000,183538000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,91631134,134674660,138503000,17067000,54613000
58,Total Non-Current Liabilities,116990228,174629063,203292000,99044000,238151000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,89623000
61,Total Liabilities,230272655,354304588,466786000,284780000,465781000
62,Preferred Stock,71695134,- -,- -,- -,- -
63,Common Stock,26310738,15962511,31770000,150000,151000
64,Retained Earnings,- -,- -,- -,16757000,74952000
65,Other Comprehensive Income/Loss,-1491023,-3082163,-5321000,- -,- -
66,Other Total Stockholders Equity,-70204111,3082163,5321000,105947000,150825000
67,Total Stockholders Equity,26310738,15962511,31770000,122854000,225928000
68,Total Liabilities And Stockholders Equity,256583393,370267099,498556000,407634000,691709000
69,Minority Interest,1763455,5093365,6199000,50433000,28905000
70,Total Liabilities & Equity,258346848,375360464,504755000,458067000,720614000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1772921/000114036120027245/0001140361-20-027245-index.htm,https://www.sec.gov/Archives/edgar/data/1772921/000114036121042274/0001140361-21-042274-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-4272000,1116515,35657000,17425000,79059000
74,Depreciation and Amortization,1055000,1684919,2682000,3249000,5411000
75,Deferred Income Tax,- -,- -,- -,509000,3728000
76,Stock Based Compensation,432000,153981,154000,2213000,5741000
77,Change in Working Capital,-9450000,14066418,17760036,15723000,24693000
78,Accounts Receivable,-1745382,- -,- -,-3185000,-9531000
79,Inventory,-13283000,-39857784,-38954000,127214000,25289000
80,Accounts Payable,1791000,9002,-966000,7235000,-26000
81,Other Working Capital,18772546,32838964,50599000,66322000,- -
82,Other Non-Cash Items,18749000,-21676289,-61951036,173358000,40791000
83,Cash Provided by Operating Activities,6514000,-4654456,-5698000,212477000,159423000
84,CAPEX,-4112000,-10134631,-7291000,-6309000,-9896000
85,Acquisitions Net,- -,- -,- -,- -,-107467000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-19192000,-13785105,-3707000,1637000,233000
89,Cash Used for Investing Activites,-23304000,-23919736,-10998000,-4672000,-117130000
90,Debt Repayment,-21043000,-3899028,-9942000,-121800000,-8878000
91,Common Stock Issued,- -,- -,- -,67309000,- -
92,Common Stock Repurchased,-2057594,- -,- -,- -,- -
93,Dividends Paid,-47202000,-3255503,-14451000,-109398000,-32079000
94,Other Financing Activites,87295594,41411840,36851000,12745000,4460000
95,Cash Used/Provided by Financing Activities,16993000,34257309,12458000,-151144000,-36497000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,203000,5683117,-4238000,56661000,5796000
98,Cash at the End of Period,9663000,15345808,11108000,68153000,73949000
99,Cash at the Beginning of Period,9460000,9662691,15346000,11492000,68153000
100,Free Cash Flow,2402000,-14789087,-12989000,206168000,149527000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1772921/000114036120027245/0001140361-20-027245-index.htm,https://www.sec.gov/Archives/edgar/data/1772921/000114036121042274/0001140361-21-042274-index.htm
102,false,,,,,
