,https://roic.ai/company/IMO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8397036209,6696036459,7040025991,7104986877,10006948466,13021691219,9180032355,8951938970,8902965316,10914574274,9284974093,10383034124,10669049321,9002012384,10258969907,17828434313,17244508118,17041233868,19207780497,22459803216,28213745784,24787977633,25443440262,31578436134,21398000000,24946000000,30714000000,29715000000,31299000000,34669000000,25188000000,23399000000,27452000000,33297000000,32194000000,20548000000,35580000000
2,COGS,5325038445,4298991852,4152956465,3850990217,5066010423,8445655956,6833025191,6398982835,6216044480,7672043765,6446959367,7487049472,7590993567,6380030960,7264033565,13654769046,13306271888,13295561851,13605564859,16035517159,20538434702,17270503262,17605521899,18997085964,16038000000,18998000000,23053000000,23694000000,26553000000,29237000000,22168000000,21972000000,26015000000,29217000000,29064000000,22121000000,31467000000
3,Gross Profit,3071997764,2397044607,2887069526,3253996660,4940938043,4576035263,2347007164,2552956135,2686920836,3242530509,2838014726,2895984652,3078055754,2621981424,2994936342,4173665267,3938236230,3745672017,5602215638,6424286057,7675311082,7517474371,7837918363,12581350170,5360000000,5948000000,7661000000,6021000000,4746000000,5432000000,3020000000,1427000000,1437000000,4080000000,3130000000,-1573000000,4113000000
4,Gross Profit Ratio,0.3658,0.3580,0.4101,0.4580,0.4938,0.3514,0.2557,0.2852,0.3018,0.2971,0.3057,0.2789,0.2885,0.2913,0.2919,0.2341,0.2284,0.2198,0.2917,0.2860,0.2720,0.3033,0.3081,0.3984,0.2505,0.2384,0.2494,0.2026,0.1516,0.1567,0.1199,0.0610,0.0523,0.1225,0.0972,-0.0766,0.1156
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082000000,1075000000,1117000000,1129000000,893000000,1015000000,1043000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082000000,1075000000,1117000000,1129000000,893000000,1015000000,1043000000,- -,784000000
9,Other Expenses,1261009367,1225107029,1801949318,2460868528,3900057904,3064609674,1874971112,2016020343,1819962934,2158507505,1865966730,1853912567,1842030021,1836996904,1854890046,1918116377,1895893028,1934214668,3327321912,3389728822,3750436097,3388863001,3421392392,7306945119,3155000000,3133000000,3252000000,1164000000,123000000,67000000,73000000,94000000,183000000,-88000000,-96000000,754000000,32000000
