,https://roic.ai/company/HBIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,31245000,34442000,38540000,43650000,4278000,53981000,56848000,59867000,62960000,1043000,1193000,1672000,68989000,67688000,68047000,71545000,77200000,81590000,87980000,9614000,10276000,129913000,122089000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,4278000,- -,- -,- -,- -,1043000,1193000,1672000,68989000,67688000,68047000,71545000,77200000,81590000,87980000,9614000,10276000,128529000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9893,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10918000,11779000,13061000,14834000,- -,23365000,18250000,19765000,20682000,- -,- -,- -,22749000,23793000,24845000,26450000,27878000,30778000,33197000,34981000,36709000,54345000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,2231000,1901000,1843000,1859000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2082000,- -
8,"Selling, General and Administrative Exp.",10918000,11779000,13061000,14834000,18893000,25596000,20151000,21608000,22541000,23394000,35345000,37003000,35882000,38291000,38972000,41097000,43580000,44584000,47070000,50204000,51699000,56427000,- -
9,Other Expenses,- -,- -,- -,- -,-35882000,- -,- -,- -,- -,-42047000,-55355000,-67905000,-13133000,-14498000,-14127000,-14647000,-15702000,-13806000,-13873000,-15223000,-14990000,22178000,- -
10,Operating Expenses,- -,- -,- -,- -,-16989000,- -,- -,- -,- -,-18653000,-20010000,-30902000,22749000,23793000,24845000,26450000,27878000,30778000,33197000,34981000,36709000,78605000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22749000,23793000,24845000,26450000,27878000,30778000,33197000,34981000,36709000,- -,- -
12,Interest Income ,51121000,59992000,63718000,64561000,63381000,65324000,74403000,87618000,96928000,97475000,96195000,94987000,93350000,89215000,84895000,86582000,92167000,97677000,105952000,118797000,132332000,128529000,- -
13,Interest Expense (Gain),26313000,33064000,34435000,31141000,-26405000,23885000,30363000,42362000,49952000,-43481000,-37141000,-27839000,24361000,21527000,16848000,15037000,14967000,16087000,17972000,26323000,34873000,26952000,17627000
14,Depreciation and Amortization,1745000,1909000,2513000,2316000,2242000,2467000,2418000,2403000,2249000,2237000,2414000,2568000,2425000,2788000,2790000,2559000,2748000,2745000,2856000,3012000,3426000,3514000,- -
15,EBITDA,40094000,48398000,51705000,50043000,-9894000,46898000,54667000,67257000,75482000,-27104000,-18742000,-1955000,64392000,61690000,56481000,55699000,58602000,64781000,68426000,75007000,96166000,80390000,79719000
16,EBITDA ratio,1.2832,1.4052,1.3416,1.1465,-2.3128,0.8688,0.9616,1.1234,1.1989,-25.9866,-15.7100,-1.1693,0.9334,0.9114,0.8300,0.7785,0.7591,0.7940,0.7777,7.8019,9.3583,0.6188,0.6530
17,Operating Income,- -,13425000,14757000,16586000,21267000,20546000,21886000,22492000,23281000,19696000,21203000,32574000,37606000,37375000,36843000,38103000,40887000,45949000,47598000,45672000,57867000,49924000,62092000
18,Operating Income ratio,- -,0.3898,0.3829,0.3800,4.9712,0.3806,0.3850,0.3757,0.3698,18.8840,17.7728,19.4821,0.5451,0.5522,0.5414,0.5326,0.5296,0.5632,0.5410,4.7506,5.6313,0.3843,0.5086
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,12036000,13425000,14757000,16586000,21267000,20546000,21886000,22492000,23281000,19696000,21203000,32574000,37606000,37375000,36843000,38103000,40887000,45949000,47598000,45672000,57867000,49924000,62092000
21,Income Before Tax Ratio,0.3852,0.3898,0.3829,0.3800,4.9712,0.3806,0.3850,0.3757,0.3698,18.8840,17.7728,19.4821,0.5451,0.5522,0.5414,0.5326,0.5296,0.5632,0.5410,4.7506,5.6313,0.3843,0.5086
22,Income Tax expense (Gain),3570000,4059000,4613000,5122000,- -,6351000,6684000,6933000,7138000,- -,- -,- -,10829000,10542000,10912000,11129000,12469000,14394000,19537000,8905000,12549000,11277000,14007000
23,Net Income,8466000,9366000,10144000,11464000,14269000,14195000,15202000,15559000,16143000,14140000,15985000,23316000,26777000,26833000,25931000,26974000,28418000,31555000,28061000,36767000,45318000,38647000,48085000
24,Net Income ratio,0.2710,0.2719,0.2632,0.2626,3.3354,0.2630,0.2674,0.2599,0.2564,13.5570,13.3990,13.9450,0.3881,0.3964,0.3811,0.3770,0.3681,0.3868,0.3189,3.8243,4.4101,0.2975,0.3939
25,EPS,0.95,1.04,1.13,1.27,1.57,1.56,1.67,1.71,1.79,1.58,1.80,2.65,3.01,2.85,2.75,2.88,3.04,3.40,3.01,3.93,4.85,4.12,5.17
26,EPS Diluted,0.94,1.03,1.12,1.26,1.57,1.55,1.66,1.70,1.78,1.57,1.80,2.64,3.00,2.84,2.75,2.87,3.04,3.40,3.01,3.92,4.85,4.12,5.17
27,Weighted Average Shares Outstanding,8901240,8975436,8982384,8995614,9067902,9100350,9107642,9112044,8999160,8935970,8845404,8814580,8901596,9431976,9420436,9388228,9344136,9287089,9330003,9366314,9355745,9369265,9298713
