,https://roic.ai/company/WHSI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,610000,450000,530000,570000,1150000,1147100,1295520,850640,976000,770400,1163337
2,COGS,- -,- -,270000,170000,420000,440000,320000,366700,395860,145340,261500,398170,470316
3,Gross Profit,- -,- -,340000,280000,110000,130000,830000,780400,899660,705300,714500,372230,693021
4,Gross Profit Ratio,- -,- -,0.5574,0.6222,0.2075,0.2281,0.7217,0.6803,0.6944,0.8291,0.7321,0.4832,0.5957
5,Research and Development Exp.,40000,130000,90000,- -,- -,- -,- -,- -,32400,2130,- -,- -,- -
6,General and Administrative Exp.,500000,1010000,2500000,1640000,720000,870000,1910000,1292770,1454400,4596180,958870,806870,1186993
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1678
8,"Selling, General and Administrative Exp.",500000,1010000,2500000,1640000,720000,870000,1910000,1292770,1454400,4596180,958870,806870,1188671
9,Other Expenses,210000,413500,418922,1211,3800,2435,-2444,3,-3,-9343,-8763,4352,- -
10,Operating Expenses,750000,1553500,3008922,1641211,723800,872435,1907556,1292773,1486797,4588967,950107,811222,1188671
11,COGS and Expenses,750000,1550000,3280000,1810000,1070000,1310000,2230000,1659480,1882660,4743640,1220370,1205040,1658987
12,Interest Income ,- -,4274,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-50000,208863,692368,1047360,509920,569460,211540,125786,182388,181184,34378,36456,- -
14,Depreciation and Amortization,210000,430000,430000,340000,90000,90000,90000,75690,4270,17880,17880,7490,6118
15,EBITDA,-540000,-1120000,-3537632,977360,-1740080,3849460,531540,1028176,-593702,-3536736,-226482,-671514,-447702
16,EBITDA ratio,-Infinity,-Infinity,-5.7994,2.1719,-3.2832,6.7534,0.4622,0.8963,-0.4583,-4.1577,-0.2321,-0.8716,-0.3848
17,Operating Income,-750000,-1553500,-2662066,-1357037,-614689,-741511,-1078366,-512376,-587135,-3893002,-235600,-41987,-495650
18,Operating Income ratio,-Infinity,-Infinity,-4.3640,-3.0156,-1.1598,-1.3009,-0.9377,-0.4467,-0.4532,-4.5766,-0.2414,-0.0545,-0.4261
19,Total Other Income Expenses (Gains),-50000,-206500,-1997934,947037,-1725311,3931511,1308366,1339076,-193225,157202,-43140,-673473,41830
20,Income Before Tax,-800000,-1760000,-4660000,-410000,-2340000,3190000,230000,826700,-780360,-3735800,-278740,-715460,-453820
21,Income Before Tax Ratio,-Infinity,-Infinity,-7.6393,-0.9111,-4.4151,5.5965,0.2000,0.7207,-0.6024,-4.3918,-0.2856,-0.9287,-0.3901
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-800000,-1760000,-4660000,-410000,-2340000,3190000,230000,826700,-780360,-3735800,-278740,-715460,-453820
24,Net Income ratio,-Infinity,-Infinity,-7.6393,-0.9111,-4.4151,5.5965,0.2000,0.7207,-0.6024,-4.3918,-0.2856,-0.9287,-0.3901
25,EPS,-13.33,-32.00,-40.00,-0.80,-4.00,3.36,0.06,0.13,-0.10,-0.07,-0.01,-0.00,-0.00
26,EPS Diluted,-13.33,-32.00,-40.00,-0.80,-4.00,3.36,0.06,0.13,-0.10,-0.07,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,60000,56566,113719,370129,546432,956657,3787467,6206090,7547498,49878676,49878676,94699177,369818353
28,Weighted Average Shares Outstanding Diluted,60000,56566,113719,370129,546432,956657,3787467,6206090,7547498,49878676,49878676,94699177,369818353
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1443089/000114420414017032/0001144204-14-017032-index.htm,https://www.sec.gov/Archives/edgar/data/1443089/000114420413046315/0001144204-13-046315-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000139843214000261/0001398432-14-000261-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000152013815000542/0001520138-15-000542-index.htm,https://www.sec.gov/Archives/edgar/data/1443089/000152013816001212/0001520138-16-001212-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1443089/000168316818002505/0001683168-18-002505-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000168316820001835/0001683168-20-001835-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,150000,50000,- -,- -,20000,10000,10000,- -,110000,30630,4520,3830,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,150000,50000,- -,- -,20000,10000,10000,- -,110000,30630,4520,3830,- -
34,Net Receivables,- -,90000,20000,10000,60000,10000,40000,130000,80000,54630,77290,12290,38291
35,Inventory,- -,- -,70000,20000,50000,30000,20000,70000,10000,146890,91290,5250,- -
36,Other Current Assets,20000,120000,150000,- -,- -,30000,- -,70000,320000,152090,43310,91010,180348
37,Total Current Assets,170000,260000,240000,30000,130000,80000,70000,270000,520000,384240,216410,112380,218639
38,PP&E,-180000,-390000,-810000,-1150000,10000,10000,- -,- -,50000,31480,13610,6120,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2500000,2500000,2500000,2500000,1260000,1180000,1100000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,2500000,2500000,2500000,2500000,1260000,1180000,1100000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
