,https://roic.ai/company/JRSH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,42872592,52557250,62040589,69295698,84983661,93024236,90213361
2,COGS,35193365,39912094,46636992,51342020,66206652,75040597,74213993
3,Gross Profit,7679227,12645156,15403597,17953678,18777009,17983639,15999368
4,Gross Profit Ratio,0.1791,0.2406,0.2483,0.2591,0.2209,0.1933,0.1774
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,6119030,12428435,10318253,10613607
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,6119030,12428435,10318253,10613607
9,Other Expenses,2957660,3570172,4705498,- -,- -,- -,- -
10,Operating Expenses,2957660,3570172,4705498,6119030,12428435,10318253,10613607
11,COGS and Expenses,38151025,43482266,51342490,57461050,78635087,85358850,84827600
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,726604,1009205,1322946,1216973,1255820,1993121,2552492
15,EBITDA,5493900,10085014,12015335,13027090,7628950,9643181,8047851
16,EBITDA ratio,0.1281,0.1919,0.1937,0.1880,0.0898,0.1037,0.0892
17,Operating Income,4721567,9074984,10698099,11834648,6348574,7665386,5385761
18,Operating Income ratio,0.1101,0.1727,0.1724,0.1708,0.0747,0.0824,0.0597
19,Total Other Income Expenses (Gains),-15178,-65372,-50318,-31369,23802,-21120,108509
20,Income Before Tax,4706389,9009612,10647781,11803279,6372376,7644266,5494270
21,Income Before Tax Ratio,0.1098,0.1714,0.1716,0.1703,0.0750,0.0822,0.0609
22,Income Tax expense (Gain),- -,- -,- -,1400000,1260861,1174618,1345646
23,Net Income,4767296,9075809,10692389,10410117,5112269,6475442,4149713
24,Net Income ratio,0.1112,0.1727,0.1723,0.1502,0.0602,0.0696,0.0460
25,EPS,0.42,0.80,0.94,0.92,0.46,0.57,0.37
26,EPS Diluted,0.36,0.69,0.82,0.92,0.45,0.57,0.37
27,Weighted Average Shares Outstanding,11325000,11325000,11325000,11325000,11199630,11325000,11325131
28,Weighted Average Shares Outstanding Diluted,13073660,13073660,13073660,11325000,11330310,11443364,11325311
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1696558/000114420418036362/0001144204-18-036362-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000114420419033096/0001144204-19-033096-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000121390020016032/0001213900-20-016032-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000121390021033774/0001213900-21-033774-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,2867262,2823974,3654373,8597830,27182158,26130411,21126090
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2867262,2823974,3654373,8597830,27182158,26130411,21126090
34,Net Receivables,25142,- -,6149452,5297117,4020369,5335748,12412987
35,Inventory,13622092,16510702,19151609,20293392,21074243,22633772,25035966
36,Other Current Assets,924458,1221273,1303230,2661947,3074122,4878244,6080826
37,Total Current Assets,17438954,20555949,30258664,36850286,55350892,58978175,64655869
38,PP&E,2675959,3985388,3160242,2819715,2356262,7321254,7296106
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,81461,139895,148663
44,Other Non-Current Assets,478693,479609,478388,3598280,1462482,1039712,1149467
45,Total Non-Current Assets,3154652,4464997,3638630,6417995,3900205,8500861,8594236
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20593606,25020946,33897294,43268281,59251097,67479036,73250105
48,Accounts Payable,10791717,6157294,10253053,4776812,3378258,6376320,7922839
49,Short-Term Debt,- -,- -,- -,980195,648711,210316,1012746
50,Tax Payable,- -,- -,- -,112000,1164238,1088497,1803175
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2128490,2146165,1626451,2166414,3558912,4263682,5591250
53,Total Current Liabilities,12920207,8303459,11879504,7923421,7585881,10850318,14526835
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,935773
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1288000,1403087,1877567,1094048
58,Total Non-Current Liabilities,- -,- -,- -,1288000,1403087,1877567,2029821
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,860016,1335816
61,Total Liabilities,12920207,8303459,11879504,9211421,8988968,12727885,16556656
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8788,8788,8788,9895,11325,11325,11333
64,Retained Earnings,6077191,15153000,20537889,30948006,34786735,38997177,40748314
65,Other Comprehensive Income/Loss,68582,102385,63304,47197,198299,204415,330414
66,Other Total Stockholders Equity,1091212,1091212,1091212,2742158,14956767,15235025,15301268
67,Total Stockholders Equity,7245773,16355385,21701193,33747256,49953126,54447942,56391329
68,Total Liabilities And Stockholders Equity,20165980,24658844,33580697,42958677,58942094,67175827,72947985
69,Minority Interest,427626,362102,316597,309604,309003,303209,302120
70,Total Liabilities & Equity,20593606,25020946,33897294,43268281,59251097,67479036,73250105
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1696558/000114420418036362/0001144204-18-036362-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000114420419033096/0001144204-19-033096-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000121390020016032/0001213900-20-016032-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000121390021033774/0001213900-21-033774-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,4767296,9075809,10692389,10410117,5112269,6475442,4149713
74,Depreciation and Amortization,726604,1009205,1322946,1216973,1255820,1993121,2552492
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,116578,3593888,278258,66251
77,Change in Working Capital,-2484170,10547705,18838146,362846,2001177,4194079,3373542
78,Accounts Receivable,70917,25567,-5123541,-179490,1279286,-1315286,-6697520
79,Inventory,-4390533,-2856274,-2684465,-1151531,-770720,-1559418,-2402194
80,Accounts Payable,4033843,-4644862,4113768,-5472312,-1400533,2997850,1546519
