,https://roic.ai/company/PSTL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,6726672,7685135,- -,- -,- -
2,COGS,1550580,1876460,- -,- -,- -
3,Gross Profit,5176092,5808675,- -,- -,- -
4,Gross Profit Ratio,0.7695,0.7558,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1458043,1402442,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1458043,1402442,- -,- -,- -
9,Other Expenses,1657987,1832237,- -,- -,- -
10,Operating Expenses,3116030,3234679,- -,- -,- -
11,COGS and Expenses,4666610,5111139,- -,- -,- -
12,Interest Income ,- -,- -,5928,2745,2000
13,Interest Expense (Gain),1491249,1486597,- -,- -,- -
14,Depreciation and Amortization,1415322,1541248,- -,- -,- -
15,EBITDA,3465430,4103091,- -,- -,- -
16,EBITDA ratio,0.5152,0.5339,- -,- -,- -
17,Operating Income,2060062,2573996,- -,- -,- -
18,Operating Income ratio,0.3063,0.3349,- -,- -,- -
19,Total Other Income Expenses (Gains),-1491249,-1486597,- -,- -,- -
20,Income Before Tax,568813,1087399,- -,- -,- -
21,Income Before Tax Ratio,0.0846,0.1415,- -,- -,- -
22,Income Tax expense (Gain),-543287,-60763,- -,- -,- -
23,Net Income,1102146,1136009,- -,- -,- -
24,Net Income ratio,0.1638,0.1478,- -,- -,- -
25,EPS,0.21,0.21,-0.30,-0.10,0.10
26,EPS Diluted,0.21,0.21,-0.30,-0.10,0.10
27,Weighted Average Shares Outstanding,5312794,5312794,5164264,7013621,13689251
28,Weighted Average Shares Outstanding Diluted,5312794,5312794,5164264,7013621,13689251
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1759774/000121390020007580/0001213900-20-007580-index.htm,https://www.sec.gov/Archives/edgar/data/1759774/000121390021018605/0001213900-21-018605-index.htm,https://www.sec.gov/Archives/edgar/data/1759774/000175977422000012/0001759774-22-000012-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,159700,262926,12475537,2211677,5857000
32,Short-Term Investments,- -,- -,- -,- -,16213000
33,Cash and Short-Term Investments,159700,262926,12475537,2211677,22070000
34,Net Receivables,614654,615730,1743658,3736806,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,675553,744963,3460928,5493201,- -
37,Total Current Assets,1449907,1623619,17680123,11441684,22070000
38,PP&E,- -,10914,22124,- -,- -
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,3217517,2746841,7337991,13072574,14399000
41,Intangible Assets,3217517,2746841,7337991,13072574,14399000
42,Investments,- -,- -,- -,- -,327481000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,28997731,31303058,111747959,234370553,-327481000
45,Total Non-Current Assets,32215248,34060813,119108074,247443127,14399000
46,Other Assets,- -,- -,- -,- -,370046000
47,Total Assets,33665155,35684432,136788197,258884811,377717000
48,Accounts Payable,1563983,1869084,3152799,5891622,- -
49,Short-Term Debt,- -,- -,54000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,-54000000,- -,- -
53,Total Current Liabilities,1563983,1869084,3152799,5891622,- -
54,Long-Term Debt,37700695,34792419,57211004,124628626,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1065792,793847,- -,- -,- -
57,Other Non-Current Liabilities,3345324,3842495,6601119,8726037,- -
58,Total Non-Current Liabilities,42111811,39428761,63812123,133354663,- -
59,Other Liabilities,- -,- -,- -,- -,112244000
60,Capital Lease Obligations,3345324,3842495,6601119,- -,- -
61,Total Liabilities,43675794,41297845,66964922,139246285,112244000
62,Preferred Stock,- -,- -,53131,- -,- -
63,Common Stock,4000200,4000200,53131,94644,186000
64,Retained Earnings,-10693356,-11003876,-2575754,-8916683,-18879000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,766000
66,Other Total Stockholders Equity,-3362060,1345670,51343095,100812012,283400000
67,Total Stockholders Equity,-10055216,-5658006,48873603,91989973,265473000
68,Total Liabilities And Stockholders Equity,33620578,35639839,115838525,231236258,377717000
69,Minority Interest,44577,44593,20949672,27648553,- -
70,Total Liabilities & Equity,33665155,35684432,136788197,258884811,377717000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1759774/000121390020007580/0001213900-20-007580-index.htm,https://www.sec.gov/Archives/edgar/data/1759774/000121390021018605/0001213900-21-018605-index.htm,https://www.sec.gov/Archives/edgar/data/1759774/000175977422000012/0001759774-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,1102146,1136009,-1497213,-352347,2556000
74,Depreciation and Amortization,1415322,1541248,3800059,4492090,- -
75,Deferred Income Tax,-690138,-271945,-65895,- -,- -
76,Stock Based Compensation,- -,- -,996525,2356234,- -
77,Change in Working Capital,437269,-131389,14772789,-8977262,16519938
78,Accounts Receivable,- -,- -,- -,-182545,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,476017,259569,2083673,1846659,- -
81,Other Working Capital,-114076,-245465,14527324,5550062,22070000
