,https://roic.ai/company/NMM,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,9231000,31549000,50352000,75082000,92643000,143231000,186953000,205435000,198159000,227356000,223676000,190524000,211652000,231361000,219379000,226771000
2,COGS,3640000,6970000,13960000,12176000,14340000,12119000,13534000,116273000,128621000,162332000,143679000,163633000,151400000,143409000,140759000,171147000
3,Gross Profit,5591000,24579000,36392000,62906000,78303000,131112000,173419000,89162000,69538000,65024000,79997000,26891000,60252000,87952000,78620000,55624000
4,Gross Profit Ratio,0.6057,0.7791,0.7228,0.8378,0.8452,0.9154,0.9276,0.4340,0.3509,0.2860,0.3576,0.1411,0.2847,0.3802,0.3584,0.2453
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,3798000,14212000,24049000,- -,-16898000,6305000,7839000,7931000,12351000,17163000,18458000,20984000,24012000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,3798000,14212000,24049000,- -,-16898000,6305000,7839000,7931000,12351000,17163000,18458000,20984000,24012000
9,Other Expenses,948000,8035000,10794000,21140000,15877000,41174000,95279000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,948000,8035000,10794000,24938000,30089000,65223000,95279000,-16898000,6305000,7839000,7931000,12351000,17163000,18458000,20984000,24012000
11,COGS and Expenses,4588000,15005000,24754000,37114000,44429000,77342000,108813000,99375000,134926000,170171000,151610000,175984000,168563000,161867000,161743000,195159000
12,Interest Income ,- -,- -,- -,301000,261000,1017000,821000,229000,50000,243000,222000,541000,3277000,4408000,6172000,639000
13,Interest Expense (Gain),81000,6286000,5522000,9216000,8048000,6360000,9244000,10127000,16910000,28761000,31720000,31247000,38225000,42766000,45254000,24159000
14,Depreciation and Amortization,948000,8036000,9375000,11865000,16975000,41174000,63971000,71622000,77505000,95822000,75933000,92370000,72760000,58334000,53633000,57006000
15,EBITDA,5139000,20946000,33920000,49839000,59345000,108045000,138550000,177647000,153421000,199436000,149458000,71068000,95895000,88019000,36753000,12624000
16,EBITDA ratio,0.5567,0.6639,0.6737,0.6638,0.6406,0.7543,0.7411,0.8647,0.7742,0.8772,0.6682,0.3730,0.4531,0.3804,0.1675,0.0557
17,Operating Income,4643000,16544000,25598000,47821000,48214000,65889000,78140000,83607000,63233000,57185000,72066000,14540000,43089000,69494000,57636000,31612000
18,Operating Income ratio,0.5030,0.5244,0.5084,0.6369,0.5204,0.4600,0.4180,0.4070,0.3191,0.2515,0.3222,0.0763,0.2036,0.3004,0.2627,0.1394
19,Total Other Income Expenses (Gains),- -,-13000,-6575000,-19063000,-13892000,-35000,-4382000,12291000,-4227000,17668000,-30261000,-67089000,-57940000,-82575000,-119770000,-100153000
20,Income Before Tax,- -,- -,19023000,28758000,34322000,- -,- -,95898000,59006000,74853000,41805000,-52549000,-14851000,-13081000,-62134000,-68541000
21,Income Before Tax Ratio,- -,- -,0.3778,0.3830,0.3705,- -,- -,0.4668,0.2978,0.3292,0.1869,-0.2758,-0.0702,-0.0565,-0.2832,-0.3022
22,Income Tax expense (Gain),- -,- -,-485000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,4110000,6624000,19508000,28758000,34322000,60511000,65335000,95898000,59006000,74853000,41805000,-52549000,-15090000,-13081000,-62134000,-68541000
24,Net Income ratio,0.4452,0.2100,0.3874,0.3830,0.3705,0.4225,0.3495,0.4668,0.2978,0.3292,0.1869,-0.2758,-0.0713,-0.0565,-0.2832,-0.3022
25,EPS,3.35,5.39,15.90,22.95,22.05,22.65,19.95,24.15,12.60,13.95,7.20,-9.30,-1.65,-1.20,-5.62,-6.13
26,EPS Diluted,3.35,5.39,15.90,22.95,22.05,22.65,19.95,24.15,12.60,13.95,7.20,-9.30,-1.65,-1.20,-5.62,-6.13
27,Weighted Average Shares Outstanding,1228181,1228181,1226924,1253078,1144951,2247671,3027335,3867260,4683039,5365833,5806279,5650458,9145500,10823645,10830959,11181240
28,Weighted Average Shares Outstanding Diluted,1228181,1228181,1226924,1253078,1144951,2247671,3027335,3867260,4683039,5365833,5806279,5650458,9145500,10823645,10830959,11181240
