,https://roic.ai/company/BBU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,4912000000,4884000000,4622000000,6753000000,7960000000,22823000000,37168000000,43032000000,37635000000,46587000000
2,COGS,4433000000,4440000000,4099000000,6132000000,7386000000,21876000000,34134000000,38327000000,32465000000,43151000000
3,Gross Profit,479000000,444000000,523000000,621000000,574000000,947000000,3034000000,4705000000,5170000000,3436000000
4,Gross Profit Ratio,0.0975,0.0909,0.1132,0.0920,0.0721,0.0415,0.0816,0.1093,0.1374,0.0738
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,212000000,199000000,179000000,224000000,269000000,340000000,643000000,832000000,968000000,1012000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",212000000,199000000,179000000,224000000,269000000,340000000,643000000,832000000,968000000,1012000000
9,Other Expenses,117000000,125000000,147000000,257000000,286000000,371000000,748000000,1804000000,2165000000,- -
10,Operating Expenses,329000000,324000000,326000000,481000000,555000000,711000000,1391000000,2636000000,3133000000,1012000000
11,COGS and Expenses,4762000000,4764000000,4425000000,6613000000,7941000000,22587000000,35525000000,40963000000,35598000000,44163000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),29000000,27000000,28000000,65000000,90000000,202000000,- -,- -,- -,- -
14,Depreciation and Amortization,117000000,125000000,147000000,257000000,286000000,371000000,748000000,1804000000,2165000000,- -
15,EBITDA,304000000,334000000,194000000,420000000,363000000,523000000,920000000,2039000000,2228000000,423000000
16,EBITDA ratio,0.0619,0.0684,0.0420,0.0622,0.0456,0.0229,0.0248,0.0474,0.0592,0.0091
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-40000000,92000000,-34000000,183000000,-237000000,-13000000,-342000000,-1443000000,-1303000000,-106000000
20,Income Before Tax,110000000,212000000,163000000,323000000,-218000000,223000000,1301000000,626000000,734000000,2318000000
21,Income Before Tax Ratio,0.0224,0.0434,0.0353,0.0478,-0.0274,0.0098,0.0350,0.0145,0.0195,0.0498
22,Income Tax expense (Gain),30000000,-2000000,18000000,54000000,-16000000,8000000,98000000,192000000,154000000,165000000
23,Net Income,128000000,184000000,1000000,44000000,3000000,-58000000,74000000,43000000,-91000000,258000000
24,Net Income ratio,0.0261,0.0377,0.0002,0.0065,0.0004,-0.0025,0.0020,0.0010,-0.0024,0.0055
25,EPS,2.91,4.18,0.03,1.00,0.06,-1.04,1.11,0.62,-1.13,3.20
26,EPS Diluted,2.91,4.18,0.03,1.00,0.06,-1.04,1.11,0.62,-1.13,1.71
27,Weighted Average Shares Outstanding,44000000,44000000,39000000,44000000,51845298,113500000,129300000,140100000,80530973,80530973
28,Weighted Average Shares Outstanding Diluted,44000000,44000000,39000000,44000000,51845298,113500000,129300000,140100000,150600000,150600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,195000000,163000000,354000000,1050000000,1106000000,1949000000,1986000000,2743000000,2588000000
32,Short-Term Investments,- -,66000000,219000000,259000000,335000000,207000000,265000000,734000000,1380000000,- -
33,Cash and Short-Term Investments,- -,261000000,382000000,613000000,1385000000,1313000000,2214000000,2720000000,4123000000,2588000000
34,Net Receivables,- -,1012000000,1025000000,1777000000,2016000000,3660000000,4835000000,5379000000,4989000000,5638000000
35,Inventory,- -,88000000,102000000,442000000,229000000,1068000000,1562000000,3490000000,3696000000,6359000000
36,Other Current Assets,- -,143000000,122000000,203000000,446000000,392000000,1170000000,1206000000,1685000000,- -
37,Total Current Assets,- -,1504000000,1631000000,3035000000,4076000000,6433000000,9781000000,12795000000,14493000000,14585000000
38,PP&E,- -,954000000,1075000000,2364000000,2096000000,2530000000,6947000000,13892000000,13982000000,15325000000
39,Goodwill,- -,974000000,882000000,1124000000,1152000000,1554000000,2411000000,5218000000,5244000000,8585000000
40,Intangible Assets,- -,172000000,149000000,445000000,371000000,3094000000,5523000000,11559000000,11261000000,14806000000
41,Intangible Assets,- -,1146000000,1031000000,1569000000,1523000000,4648000000,7934000000,16777000000,16505000000,23391000000
42,Investments,- -,201000000,192000000,492000000,166000000,609000000,822000000,5796000000,1690000000,10030000000
43,Tax Assets,- -,98000000,111000000,64000000,111000000,174000000,280000000,667000000,761000000,888000000
44,Other Non-Current Assets,- -,302000000,365000000,111000000,221000000,1410000000,1554000000,1824000000,7315000000,- -
45,Total Non-Current Assets,- -,2701000000,2774000000,4600000000,4117000000,9371000000,17537000000,38956000000,40253000000,49634000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4205000000,4405000000,7635000000,8193000000,15804000000,27318000000,51751000000,54746000000,64219000000
48,Accounts Payable,- -,716000000,734000000,1268000000,1325000000,1451000000,1819000000,2919000000,2971000000,- -
49,Short-Term Debt,- -,291000000,475000000,511000000,411000000,825000000,1819000000,1367000000,1939000000,1619000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
