,https://roic.ai/company/ACRHF,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,7743000,21124000,74109000,114545000,188859000
2,COGS,- -,- -,4308000,15061000,43665000,65387000,185954000
3,Gross Profit,- -,- -,3435000,6063000,30444000,49158000,2905000
4,Gross Profit Ratio,- -,- -,0.4436,0.2870,0.4108,0.4292,0.0154
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10250000,88775000,195823000,184237000,32026000
7,Selling and Marketing Exp.,- -,- -,212000,1571000,5009000,1820000,1643000
8,"Selling, General and Administrative Exp.",- -,- -,10462000,90346000,200832000,186057000,33669000
9,Other Expenses,- -,- -,20000,-15600000,7593000,6170000,109284000
10,Operating Expenses,- -,- -,10482000,74746000,208425000,192227000,142953000
11,COGS and Expenses,- -,- -,14790000,89807000,252090000,257614000,328907000
12,Interest Income ,- -,- -,330000,1178000,3978000,6695000,- -
13,Interest Expense (Gain),- -,- -,1215000,6360000,1194000,15853000,-19964000
14,Depreciation and Amortization,- -,- -,20000,3749000,7593000,6170000,- -
15,EBITDA,- -,- -,-6338000,-193554000,-136492000,-281805000,-75316000
16,EBITDA ratio,- -,- -,-0.8185,-9.1628,-1.8418,-2.4602,-0.3988
17,Operating Income,- -,- -,-7047000,-68683000,-191444000,-364811000,-47071000
18,Operating Income ratio,- -,- -,-0.9101,-3.2514,-2.5833,-3.1849,-0.2492
19,Total Other Income Expenses (Gains),- -,- -,-1519000,-149001000,1271000,-12547000,-8281000
20,Income Before Tax,- -,- -,-8566000,-217684000,-190173000,-377358000,-55352000
21,Income Before Tax Ratio,- -,- -,-1.1063,-10.3051,-2.5661,-3.2944,-0.2931
22,Income Tax expense (Gain),- -,- -,970000,2001000,4989000,-17240000,17805000
23,Net Income,- -,- -,-8543000,-205664000,-150268000,-286588000,-73157000
24,Net Income ratio,- -,- -,-1.1033,-9.7360,-2.0277,-2.5020,-0.3874
25,EPS,- -,- -,-0.13,-3.30,-1.74,-2.87,-0.73
26,EPS Diluted,- -,- -,-0.13,-3.30,-1.74,-2.87,-0.73
27,Weighted Average Shares Outstanding,- -,- -,66667000,66667000,86185000,99980000,99980000
28,Weighted Average Shares Outstanding Diluted,- -,- -,66667000,66667000,86185000,99980000,99980000
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1762359/000176235920000043/0001762359-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1762359/000176235921000018/0001762359-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1762359/000176235922000007/0001762359-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,475,104943000,26505000,32542000,43180000
32,Short-Term Investments,- -,- -,- -,149090000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,475,254033000,26505000,32542000,43180000
34,Net Receivables,- -,- -,- -,- -,2146000,2032000,8202000
35,Inventory,- -,- -,- -,17656000,18083000,23715000,41804000
36,Other Current Assets,- -,- -,- -,14365000,8601000,89731000,19793000
37,Total Current Assets,- -,- -,475,286054000,55335000,148020000,112979000
38,PP&E,- -,- -,- -,45043000,157997000,106383000,24598000
39,Goodwill,- -,- -,- -,32116000,105757000,31922000,43310000
40,Intangible Assets,- -,- -,- -,153953000,285972000,138983000,119695000
41,Intangible Assets,- -,- -,- -,186069000,391729000,170905000,163005000
42,Investments,- -,- -,- -,3844000,4499000,34126000,35226000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,50811000,82117000,102619000,155743000
45,Total Non-Current Assets,- -,- -,- -,285767000,636342000,414033000,378572000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,475,571821000,691677000,562053000,491551000
48,Accounts Payable,- -,- -,19053,5337000,32459000,18913000,- -
49,Short-Term Debt,- -,- -,262911,15144000,18059000,28631000,169151000
50,Tax Payable,- -,- -,- -,218000,4740000,14780000,24572000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,126513,11470000,6635000,50198000,-102358000
53,Total Current Liabilities,- -,- -,408477,31951000,57153000,97742000,66793000
54,Long-Term Debt,- -,- -,- -,491000,75708000,169927000,24255000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,30527000,63997000,34673000,27082000
57,Other Non-Current Liabilities,- -,- -,- -,1129000,25000,2000,169151000
58,Total Non-Current Liabilities,- -,- -,- -,32147000,139730000,204602000,220488000
