,https://roic.ai/company/SYTE,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,223749,1934637,3997350,3994616,3595879,3134204,3679982,5597330,6567264,10227438,7692908,5051916,4562562,3558557,2553749,2383696,1735203,4975246,9094051,4410374,3589899,5247732,5902243
2,COGS,6084,-662784,1665388,1956820,1790889,1185966,1052458,1602180,2244184,3061563,2945566,2330477,2481856,2156381,1340330,1106083,886932,3521755,4583981,2982502,816113,648218,519051
3,Gross Profit,217665,2597421,2331962,2037796,1804990,1948238,2627524,3995150,4323080,7165875,4747342,2721439,2080706,1402176,1213419,1277613,848271,1453491,4510070,1427872,2773786,4599514,5383192
4,Gross Profit Ratio,0.9728,1.3426,0.5834,0.5101,0.5020,0.6216,0.7140,0.7138,0.6583,0.7007,0.6171,0.5387,0.4560,0.3940,0.4752,0.5360,0.4889,0.2921,0.4959,0.3238,0.7727,0.8765,0.9121
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642588,1427136,1813262
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642588,1427136,2824639
9,Other Expenses,3336022,5772255,3483440,3876308,1585226,1631264,1800132,2815473,3366910,5794321,4292032,3084703,1112520,805088,829046,817403,760760,1708414,2499661,3559119,429879,191158,- -
10,Operating Expenses,3336022,5772255,3483440,3876308,1585226,1631264,1800132,2815473,3366910,5794321,4292032,3084703,1112520,805088,829046,817403,760760,1708414,2499661,3559119,2072467,1618294,2824639
11,COGS and Expenses,3342106,5109471,5148828,5833128,3376115,2817230,2852590,4417653,5611094,8855884,7237598,5415180,3594376,2961469,2169376,1923486,1647692,5230169,7083642,6541621,2888580,2266512,3343690
12,Interest Income ,- -,- -,- -,111,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,857919,323425,233904,284178,233598,209056,206854,158734,165154,79609,28009,12080,6800,4848,2405,- -,- -,- -,552206,312745,23651,7327
14,Depreciation and Amortization,118775,1618376,909540,414295,460061,468335,570147,1096186,1680456,2943190,2473517,1910080,340744,44403,153620,19405,50179,38770,111870,348304,161130,20526,24053
