,https://roic.ai/company/VTDRF,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,912750,111493000,278403000,485348000,471472000,732060000,875561000,772265000,182188000,212846000,225747000,760848000,126862000,158420000
2,COGS,- -,- -,66228000,176387000,284400000,230089000,335915000,421505000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,45265000,102016000,200948000,241383000,396145000,454056000,- -,- -,- -,- -,- -,126862000,158420000
4,Gross Profit Ratio,- -,- -,0.4060,0.3664,0.4140,0.5120,0.5411,0.5186,- -,- -,- -,- -,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,32612000,- -,25322000,39480000,41648000,29544000,134181000,21022000,20539000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",946989,14698594,15690000,21719000,26317000,26002000,32612000,34106000,25322000,39480000,41648000,29544000,128548000,21022000,20539000
9,Other Expenses,- -,- -,11218000,33384000,64477000,68747000,106609000,126610000,- -,681197000,- -,- -,- -,347176000,206910000
10,Operating Expenses,- -,- -,26908000,55103000,90794000,94749000,139221000,160716000,25322000,720677000,41648000,29544000,128548000,368198000,227449000
11,COGS and Expenses,946989,53086023,93136000,231490000,375194000,324838000,475136000,582221000,540822000,720677000,275637000,272303000,359261000,368198000,227449000
12,Interest Income ,- -,- -,23000,562000,96000,90000,221000,45000,84000,- -,808000,1898000,116368000,871000,124000
13,Interest Expense (Gain),- -,- -,8178000,49827000,154897000,149118000,214149000,213924000,173634000,67023000,76441000,78779000,46575000,34041000,34034000
14,Depreciation and Amortization,10421,101263,11218000,33384000,64477000,68747000,106609000,126610000,127359000,78616000,73925000,70447000,73820000,69216000,56242000
15,EBITDA,-936568,-47947395,30207000,54583000,150855000,91467000,267048000,422568000,358081000,-459501000,14749000,24284000,591250000,-168603000,-14720000
16,EBITDA ratio,-Infinity,-52.5307,0.2709,0.1961,0.3108,0.1940,0.3648,0.4826,0.4637,-2.5221,0.0693,0.1076,0.7771,-1.3290,-0.0929
17,Operating Income,-946989,-52173273,18357000,46913000,110154000,146634000,256924000,293340000,259974000,-538489000,-64395000,-45285000,401587000,-241336000,-69029000
18,Operating Income ratio,-Infinity,-57.1605,0.1646,0.1685,0.2270,0.3110,0.3510,0.3350,0.3366,-2.9557,-0.3025,-0.2006,0.5278,-1.9024,-0.4357
19,Total Other Income Expenses (Gains),7699060,4124615,-7546000,-75541000,-178673000,-273032000,-310634000,-211306000,-197850000,-67620000,-71222000,-79657000,70009000,-30524000,-36081000
20,Income Before Tax,6752071,-48048658,10811000,-28628000,-68519000,-126398000,-53710000,82034000,62124000,-606109000,-135617000,-124942000,471596000,-271860000,-105110000
21,Income Before Tax Ratio,Infinity,-52.6416,0.0970,-0.1028,-0.1412,-0.2681,-0.0734,0.0937,0.0804,-3.3268,-0.6372,-0.5535,0.6198,-2.1430,-0.6635
22,Income Tax expense (Gain),2298564,-670466,1972000,18951000,11432000,18906000,28115000,40028000,39870000,13319000,14168000,16526000,15121000,4897000,5141000
23,Net Income,4453507,-47378192,8839000,-47579000,-79951000,-145304000,-81825000,42006000,17218000,-618459000,-149785000,-141468000,455734000,-276757000,-110137000
24,Net Income ratio,Infinity,-51.9071,0.0793,-0.1709,-0.1647,-0.3082,-0.1118,0.0480,0.0223,-3.3946,-0.7037,-0.6267,0.5990,-2.1816,-0.6952
25,EPS,0.16,-0.78,0.07,-0.19,-0.28,-0.50,-0.27,0.14,0.06,-123.69,-29.96,-28.29,80.27,-21.10,-8.40
26,EPS Diluted,0.14,-0.78,0.07,-0.19,-0.28,-0.50,-0.27,0.14,0.06,-123.69,-29.96,-28.29,80.27,-21.10,-8.40
27,Weighted Average Shares Outstanding,23212912,60913811,123421000,250415789,285539286,290608000,302432000,306487000,311836678,5000000,5000000,5000000,5677000,13115000,13115000
28,Weighted Average Shares Outstanding Diluted,31810764,60913811,123421000,250415789,285539286,290608000,302432000,310641000,311836678,5000000,5000000,5000000,5677000,13115000,13115000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465872/000156459016015692/0001564590-16-015692-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459017003993/0001564590-17-003993-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459018007050/0001564590-18-007050-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459019007843/0001564590-19-007843-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459020009483/0001564590-20-009483-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459021014207/0001564590-21-014207-index.htm,https://www.sec.gov/Archives/edgar/data/1465872/000095017022005073/0000950170-22-005073-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1262625,16557351,15992000,120443000,110031000,502726000,54686000,82812000,203420000,231727000,195455000,224967000,231947000,141945000,73343000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1262625,16557351,15992000,120443000,110031000,502726000,54686000,82812000,203420000,231727000,195455000,224967000,231947000,141945000,73343000
34,Net Receivables,- -,3276843,20809000,50190000,100908000,122399000,173515000,163022000,85057000,29078000,52563000,41858000,56625000,24717000,37527000
35,Inventory,- -,- -,10789000,19760000,24376000,37944000,55804000,65892000,64495000,45206000,43955000,45195000,48368000,- -,37580000
36,Other Current Assets,273196126,3685737,33630000,40476000,23937000,25776000,20981000,19024000,7771000,4195000,6023000,14213000,8897000,85180000,137047000
37,Total Current Assets,274458751,23519931,81220000,230869000,259252000,688845000,304986000,330750000,360743000,310206000,297996000,326233000,345837000,251842000,285497000
38,PP&E,111651,630896130,888212000,1718132000,1805075000,2717506000,3190648000,3117892000,2948387000,834528000,763191000,787303000,727832000,794944000,382054000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
