,https://roic.ai/company/EPSN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,249154,3680536,8299549,5438851,14753440,58811651,43076784,46514365,52936176,23830421,25396349,26939603,29684205,- -,- -,- -
2,COGS,62275,540501,1792252,1340333,1485215,2402303,36321318,28391589,34791081,23175931,20924997,16213906,15127430,- -,- -,- -
3,Gross Profit,186879,3140035,6507297,4098518,13268225,56409348,6755466,18122776,18145095,654490,4471352,10725697,14556775,- -,- -,- -
4,Gross Profit Ratio,0.7501,0.8531,0.7841,0.7536,0.8993,0.9592,0.1568,0.3896,0.3428,0.0275,0.1761,0.3981,0.4904,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,7518847,4611219,4077536,3751532,3612309,7067997,932792,1979011,2129868,4502390,4935738,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",784773,3747462,7518847,4611219,4077536,3751532,3612309,7067997,932792,1979011,2129868,4502390,4935738,- -,- -,- -
9,Other Expenses,152902,2476113,2071421,3458197,4920170,4957092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,937674,6223576,9590268,8069416,8997706,8708624,3612309,7067997,932792,1979011,2129868,4502390,4935738,- -,- -,- -
11,COGS and Expenses,999949,6764077,11382520,9409749,10482921,11110927,39933627,35459586,35723873,25154942,23054865,20716296,20063168,- -,- -,- -
12,Interest Income ,157770,853666,- -,- -,- -,- -,95552,13864,76576,14298,75474,26520,12087,158879,43540,38865
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,3613487,4444897,4396418,3933672,3911881,1170006,141000,- -,- -,- -
14,Depreciation and Amortization,150269,1357539,- -,3458197,4920170,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-440124,-872335,-31087916,-16770422,8947493,4915744,8471869,-4266020,16822996,-35859823,1832456,8900827,7545485,- -,- -,- -
16,EBITDA ratio,-1.7665,-0.2370,-3.7457,-3.0834,0.6065,0.0836,0.1967,-0.0917,0.3178,-1.5048,0.0722,0.3304,0.2542,- -,- -,- -
17,Operating Income,-750795,-3083540,-37182104,-22754794,3974096,4915744,5977967,-2257579,17632937,-35834721,2341484,6223307,9621037,- -,- -,- -
18,Operating Income ratio,-3.0134,-0.8378,-4.4800,-4.1838,0.2694,0.0836,0.1388,-0.0485,0.3331,-1.5037,0.0922,0.2310,0.3241,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-1118573,6094188,2526175,53227,- -,-1119585,-6453338,-5206359,-3958774,-4420909,1507514,-2216552,- -,- -,- -
20,Income Before Tax,- -,- -,-31087916,-20228619,4027323,4915744,4858382,-8710917,12426578,-39793495,-2079425,7730821,7404485,- -,- -,- -
21,Income Before Tax Ratio,- -,- -,-3.7457,-3.7193,0.2730,0.0836,0.1128,-0.1873,0.2347,-1.6699,-0.0819,0.2870,0.2494,- -,- -,- -
22,Income Tax expense (Gain),- -,- -,2600000,- -,- -,-14286627,8988046,4811364,5810626,-14269838,874906,-4404143,742425,- -,- -,- -
23,Net Income,-590392,-2229874,-33687916,-20228619,4027323,19202371,-4129664,-13522281,6615952,-25523657,-2954331,12134964,6662060,- -,- -,- -
24,Net Income ratio,-2.3696,-0.6059,-4.0590,-3.7193,0.2730,0.3265,-0.0959,-0.2907,0.1250,-1.0711,-0.1163,0.4505,0.2244,- -,- -,- -
25,EPS,-0.08,-0.16,-1.38,-0.78,0.16,0.76,-0.16,-0.52,0.25,-1.05,-0.12,0.46,0.24,0.32,0.03,0.49
26,EPS Diluted,-0.08,-0.16,-1.38,-0.78,0.16,0.74,-0.16,-0.52,0.25,-1.05,-0.12,0.46,0.24,0.32,0.03,0.49
27,Weighted Average Shares Outstanding,7917709,13961740,24430913,25882006,25690254,25585608,25636575,25847323,25486990,24197180,23596531,26119927,27462788,27129430,25122501,23705193
28,Weighted Average Shares Outstanding Diluted,7917709,13961740,24430913,25882006,26319737,25866795,25733422,25894564,25521027,24197180,23596531,26133294,27474125,27129430,25122501,23857102
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1726126/000155837019002613/0001558370-19-002613-index.html,https://www.sec.gov/Archives/edgar/data/1726126/000155837020002895/0001558370-20-002895-index.htm,https://www.sec.gov/Archives/edgar/data/1726126/000155837021003486/0001558370-21-003486-index.htm,https://www.sec.gov/Archives/edgar/data/1726126/000155837022004185/0001558370-22-004185-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7292648,47208702,8233442,15288547,18670574,17183681,7579172,3624398,16061731,16954664,31486593,9998853,14401257,14052417,13270913,26497305
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7292648,47208702,8233442,15288547,18670574,17183681,7579172,3624398,16061731,16954664,31486593,9998853,14401257,14052417,13270913,26497305
34,Net Receivables,313842,576531,7498508,1488429,2746406,3377225,9063110,6638379,4705461,3214406,4387487,3366021,5042134,4296917,3917288,4596931
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7130,336377,262979,162382,209079,355321,2296794,285641,279430,138985,670529,1069039,449944,4074990,589868,569870
37,Total Current Assets,7613620,48121611,15994929,16939358,21626059,20916227,18939076,10548418,21046622,20308055,36544609,14433913,19893335,22424324,17778069,31664106
38,PP&E,13872117,67909554,84353485,66691074,63308624,88996983,150996871,161507478,145491456,102159208,90716131,101911329,67446113,74682461,68331878,67230370
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,18972312,7071432,300000,8800,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,18972312,7071432,300000,8800,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9905440
44,Other Non-Current Assets,861627,1623690,33721150,750744,848070,108010,-7063558,-284626,-8800,- -,- -,- -,558261,562418,566237,-9337322
45,Total Non-Current Assets,14733745,69533243,118074635,67441818,64156694,108077305,151004745,161522852,145491456,102159208,90716131,101911329,68004374,75244879,68898115,67798488
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22347364,117654854,134069564,84381176,85782753,128993532,169943821,172071270,166538078,122467263,127260740,116345242,87897709,97669203,86676184,99462594
48,Accounts Payable,2575909,1061609,- -,- -,- -,- -,11913521,11142277,5868563,4596083,5003737,5433824,2585324,2828495,1592451,1189905
49,Short-Term Debt,- -,- -,19199708,- -,- -,- -,- -,9000000,7000000,7000000,40848210,2900000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2644527,- -,- -,- -,1098425
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10102852,- -
52,Other Current Liabilities,- -,8467416,14636468,3460740,2196966,16437717,- -,1569988,- -,- -,336352,2644527,3753866,4670373,-7184923,6355467
53,Total Current Liabilities,2575909,9529025,33836176,3460740,2196966,16437717,11913521,21712265,12868563,11596083,46188299,10978351,6339190,7498868,4510380,7545372
54,Long-Term Debt,- -,- -,18999,- -,- -,- -,33996268,33070745,31493461,26790579,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9905440
56,Deferred Tax Liabilities,- -,- -,2600000,- -,- -,8911761,17899807,22685171,28495797,14225959,15077065,18849595,9989278,12401464,10102852,9905440
57,Other Non-Current Liabilities,38801,181616,319763,214393,249111,804873,956995,1905546,1996621,2327785,2442935,2806783,1625154,1405877,3043509,-7156991
58,Total Non-Current Liabilities,38801,181616,2938762,214393,249111,9716634,52853070,57661462,61985879,43344323,17520000,21656378,11614432,13807341,13146361,12653889
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2614711,9710640,36774938,3675133,2446077,26154351,64766591,79373727,74854442,54940406,63708299,32634729,17953622,21306209,17656741,20199261
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,137328850,136726805,130231489,127371404,126315325,144304163,143611023,140808923,131730401,- -
64,Retained Earnings,-647066,-2879159,-36558958,-56787577,-52760254,-41401084,-45530748,-59053029,-54975850,-79877471,-82556063,-81242299,-89983894,-81285895,-80410724,-68783207
65,Other Comprehensive Income/Loss,26745,162032,-9807036,-6876926,-6228066,499975,611496,2789561,5710249,9216725,8741323,9314115,9797930,9810478,9820647,9818605
66,Other Total Stockholders Equity,20530601,112327348,171510419,195887105,199697666,191471656,12767632,12234206,10717748,10816199,11051856,11334534,6519028,7029488,7879119,138227935
67,Total Stockholders Equity,19732654,107944214,97294626,80706043,83336676,102839181,105177230,92697543,91683636,67526857,63552441,83710513,69944087,76362994,69019443,79263333
