,https://roic.ai/company/ZS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,53707000,80325000,125717000,190174000,302836000,431269000,673100000
2,COGS,14431000,20127000,27472000,37875000,59669000,95733000,150317000
3,Gross Profit,39276000,60198000,98245000,152299000,243167000,335536000,522783000
4,Gross Profit Ratio,0.7313,0.7494,0.7815,0.8008,0.8030,0.7780,0.7767
5,Research and Development Exp.,15034000,20940000,33561000,39379000,61969000,97879000,174653000
6,General and Administrative Exp.,4469000,9399000,20521000,31135000,46598000,73632000,96535000
7,Selling and Marketing Exp.,32191000,56702000,79236000,116409000,169913000,277981000,459407000
8,"Selling, General and Administrative Exp.",36660000,66101000,99757000,147544000,216511000,351613000,555942000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,51694000,87041000,133318000,186923000,278480000,449492000,730595000
11,COGS and Expenses,66125000,107168000,160790000,224798000,338149000,545225000,880912000
12,Interest Income ,- -,- -,- -,- -,- -,6477000,2812000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,5025000,50743000
14,Depreciation and Amortization,2854000,4872000,6840000,7988000,11306000,21118000,36458000
15,EBITDA,-9745000,-22098000,-27743000,-24321000,-16606000,-86585000,-169977000
16,EBITDA ratio,-0.1814,-0.2751,-0.2207,-0.1279,-0.0548,-0.2008,-0.2525
17,Operating Income,-12418000,-26843000,-35073000,-34624000,-35313000,-113956000,-207812000
18,Operating Income ratio,-0.2312,-0.3342,-0.2790,-0.1821,-0.1166,-0.2642,-0.3087
19,Total Other Income Expenses (Gains),-181000,-127000,490000,2315000,7401000,1228000,-49366000
20,Income Before Tax,-12599000,-26970000,-34583000,-32309000,-27912000,-112728000,-257178000
21,Income Before Tax Ratio,-0.2346,-0.3358,-0.2751,-0.1699,-0.0922,-0.2614,-0.3821
22,Income Tax expense (Gain),233000,468000,877000,1337000,743000,2388000,4851000
23,Net Income,-12832000,-27438000,-35460000,-33646000,-28655000,-115116000,-262029000
24,Net Income ratio,-0.2389,-0.3416,-0.2821,-0.1769,-0.0946,-0.2669,-0.3893
25,EPS,-0.13,-0.35,-0.35,-0.63,-0.23,-0.89,-1.93
26,EPS Diluted,-0.13,-0.35,-0.35,-0.63,-0.23,-0.89,-1.93
27,Weighted Average Shares Outstanding,101722000,103626000,101722000,63881000,123566000,129323000,135654000
28,Weighted Average Shares Outstanding Diluted,101722000,103626000,101722000,63881000,123566000,129323000,135654000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713683/000162828018011833/0001628280-18-011833-index.html,https://www.sec.gov/Archives/edgar/data/1713683/000171368319000030/zs-20190731.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368320000163/0001713683-20-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368321000175/0001713683-21-000175-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,92842000,87978000,135579000,78484000,141851000,275898000
