,https://roic.ai/company/DCLT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,16823,365,58009,129345,353461,474620,450345,548689,556363,630395,671814,605105,640613,612798,631117,629097,2826,580
2,COGS,12191,- -,45425,43081,77861,86714,101940,121297,116045,115128,132258,151000,153772,150039,178198,192044,197703,216
3,Gross Profit,4632,365,12584,86264,275600,387906,348405,427392,440318,515267,539556,454105,486841,462759,452919,437053,-194877,364
4,Gross Profit Ratio,0.2753,1.0000,0.2169,0.6669,0.7797,0.8173,0.7736,0.7789,0.7914,0.8174,0.8031,0.7505,0.7600,0.7552,0.7176,0.6947,-68.9586,0.6273
5,Research and Development Exp.,- -,- -,- -,21993,2772,1091,52091,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1056791,1054415,1647029,1703745,706093,514345,523847,534621,429458,672235,643756,678869,682325,642686,462486,422830,391360,- -
7,Selling and Marketing Exp.,6147,13032,15930,23727,122192,16692,46090,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1062938,1067447,1662959,1727472,828285,531037,569937,534621,429458,672235,643756,678869,682325,642686,462486,422830,391360,366
9,Other Expenses,2541,8774,24686,26312,70757,17228,12191,2080,2465,3218,2097,1462,1278,9009,3964,2246,2826,1
10,Operating Expenses,1065479,1076221,1687645,1775777,901814,549356,634219,536701,431923,675453,645853,680331,683603,651695,466450,425076,394186,367
11,COGS and Expenses,1077670,1076221,1733070,1818858,979675,636070,736159,657998,547968,790581,778111,831331,837375,801734,644648,617120,591889,583
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,17,11,9,1163,7,7,3,3,-0
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,4741,5464,5339,5464,5464,5515,-2442,- -
14,Depreciation and Amortization,2541,8774,34409,199644,22424,17228,12191,2079,2465,3217,2097,1462,1278,9009,3964,2246,2826,1065
15,EBITDA,-1058306,-1067082,-1640652,-1489869,-603790,-148823,-329653,-107230,10860,-156952,-104189,-224755,-194321,-179920,-9560,14226,-22070,1081
16,EBITDA ratio,-62.9083,-2923.5123,-28.2827,-11.5186,-1.7082,-0.3136,-0.7320,-0.1954,0.0195,-0.2490,-0.1551,-0.3714,-0.3033,-0.2936,-0.0151,0.0226,-7.8096,1.8627
17,Operating Income,-1060847,-1075856,-1675061,-1689513,- -,-166051,-341844,-109309,8395,-160186,-106297,-226226,-196762,-188936,- -,- -,- -,-3
18,Operating Income ratio,-63.0593,-2947.5507,-28.8759,-13.0621,- -,-0.3499,-0.7591,-0.1992,0.0151,-0.2541,-0.1582,-0.3739,-0.3071,-0.3083,- -,- -,- -,-0.0055
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-59983,-4730,-5455,-4176,-5457,-5457,-5512,- -,19
20,Income Before Tax,-1060847,-1075856,-1675061,-1689513,-626214,-166051,-341844,-109309,8395,-220169,-111027,-231681,-200938,-194393,-18988,6465,-22454,16
21,Income Before Tax Ratio,-63.0593,-2947.5507,-28.8759,-13.0621,-1.7717,-0.3499,-0.7591,-0.1992,0.0151,-0.3493,-0.1653,-0.3829,-0.3137,-0.3172,-0.0301,0.0103,-7.9455,0.0272
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1060847,-1075856,-1675061,-1689513,-626214,-166051,-341844,-109309,8395,-220169,-111027,-231681,-200938,-194393,-18988,6465,-22454,16
24,Net Income ratio,-63.0593,-2947.5507,-28.8759,-13.0621,-1.7717,-0.3499,-0.7591,-0.1992,0.0151,-0.3493,-0.1653,-0.3829,-0.3137,-0.3172,-0.0301,0.0103,-7.9455,0.0272
25,EPS,-0.20,-0.15,-0.15,-0.15,-0.05,-0.01,-0.02,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00
26,EPS Diluted,-0.20,-0.15,-0.15,-0.15,-0.05,-0.01,-0.02,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00
27,Weighted Average Shares Outstanding,5254716,7214271,10431420,13150620,15674220,16678620,19876420,19909753,19976421,64329846,125976421,141946284,144976410,145164908,152384838,156498515,156663816,156663816
28,Weighted Average Shares Outstanding Diluted,5254716,7214271,10431420,13150620,15674220,16678620,19876420,19909753,20170368,64329846,125976421,141946284,144976410,145164908,152384838,164695787,156663816,156663816
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321828/000129534508000104/0001295345-08-000104-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321828/000129534513000029/0001295345-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534514000061/0001295345-14-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534515000071/0001295345-15-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534516000449/0001295345-16-000449-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000129534517000192/0001295345-17-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534518000009/0001295345-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315219003012/0001493152-19-003012-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315220004875/0001493152-20-004875-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315221006430/0001493152-21-006430-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000149315222007820/0001493152-22-007820-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15122,671228,281699,30413,8971,37531,23052,44851,14568,- -,58741,85810,53499,44590,23006,27529,28107,13817
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15122,671228,281699,30413,8971,37531,23052,44851,14568,- -,58741,85810,53499,44590,23006,27529,28107,13817
34,Net Receivables,- -,- -,10024,20644,17506,16603,26472,47224,317164,203371,114563,56846,69361,73386,81431,74282,65304,67276
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10537,- -,- -,- -,- -,30000,30000,- -,3500,- -,2580,11370,17000,6100,14978,13400,- -,- -
37,Total Current Assets,25659,671228,291723,51057,26477,84134,79524,92075,335232,203371,175884,154026,139860,124076,119415,115211,93411,81093
38,PP&E,29131,90798,81416,55104,32680,16020,6133,4053,1588,5768,3671,2209,931,8298,5221,2975,151723,4971
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1295,5255,5255,5255,5255,5255,5255,5255,1755,800,800,800,800,800,800,800,-144887,800
45,Total Non-Current Assets,30426,96053,86671,60359,37935,21275,11388,9308,3343,6568,4471,3009,1731,9098,6021,3775,6836,5771
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,56085,767281,378394,111416,64412,105409,90912,101383,338575,209939,180355,157035,141591,133174,125436,118986,100247,86864
48,Accounts Payable,55000,66792,87521,69073,75533,29086,35059,40889,89998,52617,33084,18684,20336,21826,22856,23841,21218,24113
49,Short-Term Debt,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,50100,43064,36028,28992,21956,14920,7200,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,68674,82800,269834,139071,6084,4057,- -,14446,12261,- -,- -,- -
52,Other Current Liabilities,- -,20000,- -,52550,112708,184711,179792,187117,179771,108232,32692,25550,25965,23100,23622,23966,32476,2254
53,Total Current Liabilities,55000,86792,137521,121623,188241,213797,283525,310806,539603,299920,121960,91355,82329,88364,80695,62727,60894,26367
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,10141,4057,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,204400,204400,204400,204400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,204400,204400,204400,204400,- -,- -,- -,- -,10141,4057,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,55000,291192,341921,326023,392641,213797,283525,310806,539603,310061,126017,91355,82329,88364,80695,62727,60894,26367
62,Preferred Stock,- -,- -,- -,- -,- -,- -,800,800,800,800,810,810,810,810,810,810,810,- -
63,Common Stock,33200,48708,58368,73068,83213,85882,99382,19976,19976,125976,125976,144976,4833,145484,155997,156498,- -,157498
64,Retained Earnings,-3318865,-4394721,-6069782,-7759295,-8385509,-8551560,-8893404,-9002713,-8994318,-9214487,-9325514,-9557195,-9758133,-9952526,-9971514,-9965049,- -,-9971717
65,Other Comprehensive Income/Loss,-3428,-12202,-40277,-272945,-85624,-102852,-115043,-117122,-119587,-122805,-124902,-126364,-127642,-136651,-140615,-142861,- -,- -
66,Other Total Stockholders Equity,3290178,4834304,6088164,7744565,8059691,8460142,8715652,8889636,8892101,9110394,9377968,9603453,9939394,9987693,10000063,10006861,39353,9874716
67,Total Stockholders Equity,1085,476089,36473,-214607,-328229,-108388,-192613,-209423,-201028,-100122,54338,65680,59262,44810,44741,56259,39353,60497
68,Total Liabilities And Stockholders Equity,56085,767281,378394,111416,64412,105409,90912,101383,338575,209939,180355,157035,141591,133174,125436,118986,100247,86864
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,56085,767281,378394,111416,64412,105409,90912,101383,338575,209939,180355,157035,141591,133174,125436,118986,100247,86864
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321828/000129534508000104/0001295345-08-000104-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321828/000129534513000029/0001295345-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534514000061/0001295345-14-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534515000071/0001295345-15-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534516000449/0001295345-16-000449-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000129534517000192/0001295345-17-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534518000009/0001295345-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315219003012/0001493152-19-003012-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315220004875/0001493152-20-004875-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315221006430/0001493152-21-006430-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000149315222007820/0001493152-22-007820-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-1060847,-1075856,-1675061,-1689513,-626214,-166051,-341844,-109309,8395,-220169,-111027,-231681,-200938,-194393,-18988,6465,-22454,16
74,Depreciation and Amortization,2541,8774,34409,199644,22424,17228,12191,2079,2465,3217,2097,1462,1278,9009,3964,2246,2826,1065
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,153535,53160,117500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-6832,613777,-430234,-224768,-91198,32101,-74338,-14730,14360,107822,150473,8747,-5140,-21819,3008,13764,-19967,22209
78,Accounts Receivable,- -,- -,- -,- -,3138,903,-9869,-20752,-269940,113793,88808,57717,-12515,-4025,-8045,7149,8978,-1972
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,6460,-46447,10983,5819,49109,-38016,-19533,-14400,1652,-1899,1030,985,5725,2895
81,Other Working Capital,-29341,584436,154202,-70566,-161764,-129663,-204001,-218731,-204371,-96549,53924,62671,57531,35712,38720,52484,32517,54726
82,Other Non-Cash Items,566000,-223548,741661,888351,355011,17690,234315,123759,-55503,173459,29948,255577,179525,221706,-1645,-10916,53780,-30380
83,Cash Provided by Operating Activities,-499138,-676853,-1329225,-826286,-186442,-45872,-52176,1799,-30283,64329,71491,34105,-25275,14503,-13661,11559,14185,-7090
84,CAPEX,-28657,-70441,-15304,- -,- -,-568,-2303,- -,- -,-7397,- -,- -,- -,-16376,-887,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16376,-887,- -,-5887,- -
89,Cash Used for Investing Activites,-28657,-70441,-15304,- -,- -,-568,-2303,- -,- -,-7397,- -,- -,- -,-16376,-887,- -,-5887,- -
