,https://roic.ai/company/NRIX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,37449000,31115000,17820000,29750000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -
5,Research and Development Exp.,40514000,45025000,66494000,116434000
6,General and Administrative Exp.,6674000,8326000,16309000,31202000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6674000,8326000,16309000,31202000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,47188000,53351000,82803000,147636000
11,COGS and Expenses,47188000,53351000,82803000,147636000
12,Interest Income ,818000,776000,1206000,823000
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,2988000,2354000,2180000,6082000
15,EBITDA,-5933000,-19106000,-61597000,-110981000
16,EBITDA ratio,-0.1584,-0.6140,-3.4566,-3.7305
17,Operating Income,-9739000,-22236000,-64983000,-117886000
18,Operating Income ratio,-0.2601,-0.7146,-3.6466,-3.9626
19,Total Other Income Expenses (Gains),818000,776000,1206000,823000
20,Income Before Tax,-8921000,-21460000,-63777000,-117063000
21,Income Before Tax Ratio,-0.2382,-0.6897,-3.5790,-3.9349
22,Income Tax expense (Gain),507000,239000,-20535000,131000
23,Net Income,-9428000,-21699000,-43242000,-117194000
24,Net Income ratio,-0.2518,-0.6974,-2.4266,-3.9393
25,EPS,-0.59,-1.35,-2.76,-2.64
26,EPS Diluted,-0.59,-1.35,-2.76,-2.64
27,Weighted Average Shares Outstanding,16106403,16106403,15673424,44374389
28,Weighted Average Shares Outstanding Diluted,16106403,16106403,15673424,44374389
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1549595/000156459021006071/0001564590-21-006071-index.htm,https://www.sec.gov/Archives/edgar/data/1549595/000156459022003007/0001564590-22-003007-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,25591000,34816000,119356000,80506000
32,Short-Term Investments,13448000,2904000,161792000,215214000
33,Cash and Short-Term Investments,39039000,37720000,281148000,295720000
34,Net Receivables,- -,- -,11346000,6204000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,1615000,1634000,5940000,9194000
37,Total Current Assets,40654000,39354000,298434000,311118000
38,PP&E,4422000,3871000,6672000,25345000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,506000,90890000,137189000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,321000,317000,347000,3119000
45,Total Non-Current Assets,4743000,4694000,97909000,165653000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,45397000,44048000,396343000,476771000
48,Accounts Payable,1297000,1598000,3412000,6650000
49,Short-Term Debt,- -,- -,- -,3847000
50,Tax Payable,- -,- -,74000,75000
51,Deferred Revenue,28420000,9612000,32799000,41212000
52,Other Current Liabilities,3115000,4927000,8328000,14549000
53,Total Current Liabilities,32832000,16137000,44539000,66258000
54,Long-Term Debt,- -,- -,- -,9189000
55,Deferred Revenue,- -,35693000,60685000,59022000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,49412000,49932000,850000,- -
58,Total Non-Current Liabilities,49412000,85625000,61535000,68211000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,13036000
61,Total Liabilities,82244000,101762000,106074000,134469000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,3000,4000,39000,45000
64,Retained Earnings,-38757000,-60456000,-103698000,-220892000
65,Other Comprehensive Income/Loss,-8671000,-11003000,87000,-608000
66,Other Total Stockholders Equity,10578000,13741000,393841000,563757000
67,Total Stockholders Equity,-36847000,-57714000,290269000,342302000
68,Total Liabilities And Stockholders Equity,45397000,44048000,396343000,476771000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,45397000,44048000,396343000,476771000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1549595/000156459021006071/0001564590-21-006071-index.htm,https://www.sec.gov/Archives/edgar/data/1549595/000156459022003007/0001564590-22-003007-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-9428000,-21699000,-43242000,-117194000
74,Depreciation and Amortization,2988000,2354000,2180000,6082000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,431000,510000,4301000,15800000
77,Change in Working Capital,-25306000,15395000,230678000,9113000
78,Accounts Receivable,- -,- -,- -,-6000000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-519000,302000,1234000,1589000
81,Other Working Capital,7822000,23217000,253895000,6750000
82,Other Non-Cash Items,-360000,4041000,-193997000,1834000
83,Cash Provided by Operating Activities,-31675000,601000,-80000,-84365000
84,CAPEX,-1595000,-1651000,-4553000,-5661000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-12917000,-9351000,-275224000,-348497000
87,Sales/Maturities of Investments,54500000,19500000,25373000,245907000
88,Other Investing Activites,6000,- -,- -,- -
89,Cash Used for Investing Activites,39994000,8498000,-254404000,-108251000
