,https://roic.ai/company/AGI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,69781,- -,1,- -,- -,- -,2726391,54655335,74027792,132973975,171430000,189272000,227364000,329372000,282187000,169938000,355100000,482200000,542800000,651800000,683100000,748100000,823600000
2,COGS,- -,- -,- -,- -,- -,- -,- -,29030818,45971201,58957338,58204000,55650000,88448000,137257000,154838000,137656000,384000000,429300000,456800000,639400000,521400000,475500000,534100000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,25624517,28056591,74016637,113226000,133622000,138916000,192115000,127349000,32282000,-28900000,52900000,86000000,12400000,161700000,272600000,289500000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.4688,0.3790,0.5566,0.6605,0.7060,0.6110,0.5833,0.4513,0.1900,-0.0814,0.1097,0.1584,0.0190,0.2367,0.3644,0.3515
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12283000,22947000,23138000,21811000,25143000,16377000,24900000,26500000,23000000,24000000,29000000,31300000,35600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",103780,- -,- -,- -,1377999,3359221,- -,- -,- -,- -,12283000,22947000,23138000,21811000,25143000,16377000,24900000,26500000,23000000,24000000,29000000,31300000,35600000
9,Other Expenses,641158,- -,300139,883696,60308,90268,8879625,18071938,20466217,34000165,28500000,28347000,9540000,6488000,7559000,6158000,9700000,5100000,8300000,11000000,6700000,7200000,14700000
10,Operating Expenses,744938,- -,300139,883696,1438307,3449489,8879625,18071938,20466217,34000165,40783000,51294000,32678000,28299000,32702000,22535000,34600000,31600000,31300000,35000000,35700000,38500000,50300000
