,https://roic.ai/company/PSTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2985000,- -,- -,- -,31238
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,19099000,30883000,60393000,103520000,136734
6,General and Administrative Exp.,5479000,9674000,18457000,23029000,35915
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5479000,9674000,18457000,23029000,35915
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,24578000,40557000,78850000,126549000,172649
11,COGS and Expenses,24578000,40557000,78850000,126549000,- -
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),558000,1796000,3553000,3506000,-3358
14,Depreciation and Amortization,676000,1749000,1193000,2586000,- -
15,EBITDA,-18955000,-38808000,-77657000,-123963000,-128332
16,EBITDA ratio,-6.3501,-Infinity,-Infinity,-Infinity,-4.1082
17,Operating Income,-19668000,-41989000,-85533000,-126549000,-141411000
18,Operating Income ratio,-6.5889,-Infinity,-Infinity,-Infinity,-4526.8903
19,Total Other Income Expenses (Gains),-521000,-2617000,-994000,-3226000,141286026
20,Income Before Tax,-20189000,-44606000,-86527000,-129775000,-124974
21,Income Before Tax Ratio,-6.7635,-Infinity,-Infinity,-Infinity,-4.0007
22,Income Tax expense (Gain),-527000,-202000,- -,- -,- -
23,Net Income,-19662000,-44404000,-86527000,-129775000,-124974
24,Net Income ratio,-6.5869,-Infinity,-Infinity,-Infinity,-4.0007
25,EPS,-0.49,-1.12,-2.41,-3.61,-2.01
26,EPS Diluted,-0.49,-1.12,-2.41,-3.61,-2.01
27,Weighted Average Shares Outstanding,39733866,39733866,35930061,35996901,62235940
28,Weighted Average Shares Outstanding Diluted,39733866,39733866,35930061,35996901,62235940
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1661460/000156459021012509/0001564590-21-012509-index.htm,https://www.sec.gov/Archives/edgar/data/1661460/000156459022009681/0001564590-22-009681-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,15625000,30395000,87784000,83966000,206325000
32,Short-Term Investments,- -,- -,37534000,225186000,- -
33,Cash and Short-Term Investments,15625000,30395000,125318000,309152000,206325000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,201000,2245000,1861000,4844000,7548000
37,Total Current Assets,15826000,32640000,127179000,313996000,213873000
38,PP&E,1725000,3416000,10858000,48322000,48227000
39,Goodwill,4228000,4228000,4228000,4228000,4228000
40,Intangible Assets,2604000,1320000,1320000,1320000,1320000
41,Intangible Assets,6832000,5548000,5548000,5548000,5548000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1070000,3516000,3411000,3618000,1661000
45,Total Non-Current Assets,9627000,12480000,19817000,57488000,55436000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,25453000,45120000,146996000,371484000,269309000
48,Accounts Payable,1164000,2856000,4929000,763000,8961000
49,Short-Term Debt,1111000,- -,3000000,3000000,6337000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,4497000
52,Other Current Liabilities,4970000,10169000,13926000,26262000,23540000
53,Total Current Liabilities,7245000,13025000,21855000,30025000,43335000
54,Long-Term Debt,8597000,19086000,26140000,29133000,54861000
55,Deferred Revenue,- -,- -,- -,- -,9265000
56,Deferred Tax Liabilities,257000,55000,55000,55000,55000
57,Other Non-Current Liabilities,42899000,89672000,248457000,50303000,5582000
58,Total Non-Current Liabilities,51753000,108813000,274652000,79491000,69763000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,30182000,- -
61,Total Liabilities,58998000,121838000,296507000,109516000,113098000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,2000,6000,6000
64,Retained Earnings,-21290000,-65694000,-152221000,-281885000,-406859000
65,Other Comprehensive Income/Loss,-550000,-1015000,-2009000,5000,- -
66,Other Total Stockholders Equity,-11705000,-10011000,4717000,543842000,563064000
67,Total Stockholders Equity,-33544000,-76718000,-149511000,261968000,156211000
68,Total Liabilities And Stockholders Equity,25454000,45120000,146996000,371484000,269309000
69,Minority Interest,-1000,- -,- -,- -,- -
70,Total Liabilities & Equity,25453000,45120000,146996000,371484000,269309000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1661460/000156459021012509/0001564590-21-012509-index.htm,https://www.sec.gov/Archives/edgar/data/1661460/000156459022009681/0001564590-22-009681-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-19662000,-44404000,-86527000,-129775000,-124974
74,Depreciation and Amortization,676000,1749000,1193000,2586000,- -
